frequency_hz,s11_raw_real,s11_raw_imag
1800000,0.015078954,-0.000313818
1803655,0.015080648,-0.000300552
1807310,0.01508218,-0.000323875
1810965,0.015064146,-0.00032491
1814620,0.015082998,-0.000313966
1818275,0.015082196,-0.00031346
1821930,0.015078694,-0.000330795
1825585,0.015079522,-0.000309693
1829240,0.015069644,-0.000312376
1832895,0.015061074,-0.000304772
1836550,0.015072438,-0.000305752
1840205,0.015060308,-0.000314029
1843860,0.015066414,-0.000314618
1847515,0.015068494,-0.000319632
1851170,0.01507119,-0.000319549
1854825,0.01506379,-0.000319646
1858480,0.015059602,-0.00032665
1862135,0.01506708,-0.000328442
1865790,0.01507433,-0.000317166
1869445,0.01507537,-0.000323156
1873100,0.015071156,-0.000310995
1876755,0.015073462,-0.00032158
1880410,0.015083524,-0.000324756
1884065,0.0150811,-0.000321147
1887720,0.015074356,-0.000322147
1891375,0.015063492,-0.000347244
1895030,0.015072822,-0.000325928
1898685,0.01507534,-0.000325334
1902340,0.015049598,-0.000322465
1905995,0.015071382,-0.000323323
1909650,0.015066818,-0.000320842
1913305,0.015076014,-0.000340126
1916960,0.015060802,-0.000334479
1920615,0.015068244,-0.000327121
1924270,0.015069254,-0.000315347
1927925,0.015074186,-0.000329723
1931580,0.015066044,-0.00031866
1935235,0.015059502,-0.000323505
1938890,0.01507054,-0.000326714
1942545,0.015067292,-0.00033327
1946200,0.015079686,-0.000329818
1949855,0.015066362,-0.00034035
1953510,0.01507193,-0.000330558
1957165,0.015080472,-0.000336067
1960820,0.015080836,-0.00033293
1964475,0.015084198,-0.000334819
1968130,0.015070014,-0.000323608
1971785,0.015073964,-0.000324207
1975440,0.01506528,-0.000331086
1979095,0.015068298,-0.00033202
1982750,0.015061706,-0.000328369
1986405,0.015076586,-0.00032338
1990060,0.01506509,-0.000347439
1993715,0.01508178,-0.000326567
1997370,0.01506108,-0.000327744
2001025,0.01506806,-0.000334732
2004680,0.015083944,-0.000327515
2008335,0.01505451,-0.0003357
2011990,0.015066534,-0.000327964
2015645,0.015075566,-0.000336515
2019300,0.015080938,-0.000345723
2022955,0.015072822,-0.000323105
2026610,0.015074236,-0.000332094
2030265,0.015074058,-0.000341563
2033920,0.01507149,-0.000349208
2037575,0.015068178,-0.000336319
2041230,0.015097448,-0.000337342
2044885,0.015081738,-0.000332934
2048540,0.015070816,-0.000332226
2052195,0.015084738,-0.000339158
2055850,0.015071142,-0.000331755
2059505,0.01506769,-0.000335337
2063160,0.015074596,-0.000320278
2066815,0.015068912,-0.000345123
2070470,0.015080774,-0.000330477
2074125,0.015086396,-0.000330364
2077780,0.01507693,-0.000324225
2081435,0.015065086,-0.000329061
2085090,0.015080648,-0.00033124
2088745,0.015079052,-0.000347256
2092400,0.015075146,-0.000316134
2096055,0.015081488,-0.000342371
2099710,0.015077108,-0.000338347
2103365,0.015075684,-0.000341574
2107020,0.015067696,-0.000337422
2110675,0.015077088,-0.000331463
2114330,0.015062168,-0.000333555
2117985,0.015075426,-0.000343144
2121640,0.01506268,-0.000343559
2125295,0.015081816,-0.000340812
2128950,0.015081262,-0.000332194
2132605,0.015083568,-0.000333596
2136260,0.015073142,-0.000342775
2139915,0.015090458,-0.000347415
2143570,0.01507483,-0.000361885
2147225,0.015080784,-0.000349136
2150880,0.015070728,-0.000333733
2154535,0.015086112,-0.000353641
2158190,0.015081414,-0.00033687
2161845,0.015086388,-0.000346931
2165500,0.015074722,-0.000342339
2169155,0.01508638,-0.000341223
2172810,0.015079726,-0.000352036
2176465,0.015080082,-0.000353218
2180120,0.01507833,-0.000342553
2183775,0.015087146,-0.000360396
2187430,0.015090238,-0.000354051
2191085,0.015075102,-0.000355975
2194740,0.015079296,-0.00035552
2198395,0.015058536,-0.000346503
2202050,0.015079636,-0.000353725
2205705,0.015072928,-0.000347522
2209360,0.015077734,-0.000351333
2213015,0.015072674,-0.000357749
2216670,0.015083564,-0.000362663
2220325,0.015079468,-0.000349695
2223980,0.015076536,-0.000353864
2227635,0.015075286,-0.000363074
2231290,0.015075512,-0.000370893
2234945,0.01507813,-0.000357567
2238600,0.01507855,-0.000351571
2242255,0.01506974,-0.000345636
2245910,0.015077082,-0.000347192
2249565,0.015078886,-0.000351991
2253220,0.015084882,-0.000356944
2256875,0.015085282,-0.00035788
2260530,0.01508189,-0.000356587
2264185,0.015072816,-0.000355988
2267840,0.01508783,-0.000376447
2271495,0.015086014,-0.000341941
2275150,0.0150603,-0.000349161
2278805,0.015080038,-0.000359835
2282460,0.015078212,-0.000361323
2286115,0.015091598,-0.000356641
2289770,0.015083622,-0.00035583
2293425,0.015075932,-0.000363684
2297080,0.01508827,-0.00037284
2300735,0.015085504,-0.000362394
2304390,0.015074698,-0.000356311
2308045,0.01509044,-0.000352874
2311700,0.015074648,-0.000360661
2315355,0.01508349,-0.000351944
2319010,0.015086648,-0.000367906
2322665,0.015075278,-0.000350824
2326320,0.01508451,-0.000372091
2329975,0.015083078,-0.000363981
2333630,0.015075094,-0.000351097
2337285,0.015073874,-0.000359484
2340940,0.015071344,-0.000352645
2344595,0.015079944,-0.000355184
2348250,0.015069292,-0.000367594
2351905,0.01509351,-0.000372075
2355560,0.015073566,-0.000365344
2359215,0.015082736,-0.000359669
2362870,0.015073766,-0.000382063
2366525,0.015089916,-0.000367913
2370180,0.01509555,-0.000356408
2373835,0.015099098,-0.000382388
2377490,0.015085362,-0.000371643
2381145,0.015067752,-0.000366225
2384800,0.01508061,-0.000369265
2388455,0.015070874,-0.000367508
2392110,0.015084732,-0.00037108
2395765,0.01508856,-0.000367327
2399420,0.015087406,-0.00037852
2403075,0.015085836,-0.000362497
2406730,0.015079978,-0.000360486
2410385,0.015080938,-0.000386877
2414040,0.015074364,-0.000370414
2417695,0.01508276,-0.000369318
2421350,0.015083384,-0.000381078
2425005,0.015081864,-0.000370497
2428660,0.015089206,-0.000377749
2432315,0.015066986,-0.000371092
2435970,0.015084502,-0.000379083
2439625,0.015083948,-0.000372027
2443280,0.015082228,-0.000377263
2446935,0.015079338,-0.000381134
2450590,0.015087384,-0.000374882
2454245,0.01507987,-0.000385524
2457900,0.015081994,-0.000382078
2461555,0.015089962,-0.000377531
2465210,0.015087086,-0.000384649
2468865,0.015086456,-0.000382531
2472520,0.015079554,-0.000389444
2476175,0.01508314,-0.00036982
2479830,0.015099524,-0.000367277
2483485,0.015076426,-0.000386397
2487140,0.01509189,-0.000374162
