frequency_hz,s11_raw_real,s11_raw_imag
1800000,0.015079628,-0.00031693
1803655,0.015070646,-0.000296164
1807310,0.015077464,-0.000308682
1810965,0.015082548,-0.000308549
1814620,0.015067836,-0.000296279
1818275,0.015079974,-0.000292474
1821930,0.015077456,-0.000310927
1825585,0.015075946,-0.000299883
1829240,0.015080352,-0.000311618
1832895,0.015070152,-0.000316552
1836550,0.015069088,-0.000320789
1840205,0.015084856,-0.000322904
1843860,0.015086914,-0.000310318
1847515,0.015071322,-0.000305313
1851170,0.015070764,-0.000317819
1854825,0.015073342,-0.000319182
1858480,0.015074554,-0.000302286
1862135,0.01507541,-0.000316462
1865790,0.015064086,-0.000311059
1869445,0.01505635,-0.000315619
1873100,0.015060772,-0.000300519
1876755,0.015088866,-0.00030744
1880410,0.015082354,-0.000308708
1884065,0.015090724,-0.000302522
1887720,0.015079336,-0.000315066
1891375,0.015081772,-0.000323993
1895030,0.015079026,-0.00031931
1898685,0.01506663,-0.000317738
1902340,0.01508963,-0.000310503
1905995,0.015074878,-0.000322861
1909650,0.01509076,-0.000321596
1913305,0.015086784,-0.00030695
1916960,0.015069542,-0.000316615
1920615,0.01507448,-0.000318202
1924270,0.01509157,-0.000308343
1927925,0.015077572,-0.000308068
1931580,0.015081616,-0.000324187
1935235,0.0150791,-0.000314716
1938890,0.015074324,-0.000325765
1942545,0.015090514,-0.000321766
1946200,0.015073482,-0.000317487
1949855,0.015077068,-0.000311924
1953510,0.015079978,-0.000324824
1957165,0.015074126,-0.000324044
1960820,0.015078082,-0.000318903
1964475,0.015076964,-0.000310738
1968130,0.01509077,-0.000316926
1971785,0.015088172,-0.000333299
1975440,0.015078706,-0.000328115
1979095,0.015069412,-0.000323057
1982750,0.015075948,-0.000310573
1986405,0.015086408,-0.000324789
1990060,0.015076262,-0.000316501
1993715,0.015084266,-0.000316939
1997370,0.015084938,-0.000324838
2001025,0.015096706,-0.000325864
2004680,0.015090094,-0.000328419
2008335,0.01507535,-0.000328747
2011990,0.015078752,-0.000334255
2015645,0.015095986,-0.000329094
2019300,0.015079272,-0.000323747
2022955,0.015083432,-0.000325336
2026610,0.015092472,-0.000340703
2030265,0.015077,-0.000325925
2033920,0.015065808,-0.000317356
2037575,0.01507858,-0.000330024
2041230,0.015080494,-0.00032141
2044885,0.015076288,-0.000333276
2048540,0.015077874,-0.000325233
2052195,0.015076744,-0.000335881
2055850,0.015074214,-0.000333317
2059505,0.015083388,-0.000328261
2063160,0.015084336,-0.000333913
2066815,0.015086886,-0.00033047
2070470,0.015089068,-0.000341142
2074125,0.015084468,-0.000328563
2077780,0.015086826,-0.000335601
2081435,0.015084838,-0.000337006
2085090,0.01507853,-0.000326292
2088745,0.015076612,-0.000338644
2092400,0.015083836,-0.000349749
2096055,0.01509107,-0.000321477
2099710,0.015086146,-0.000343047
2103365,0.015094398,-0.000325882
2107020,0.015087504,-0.000328808
2110675,0.015083294,-0.000342366
2114330,0.015073908,-0.000326415
2117985,0.01506627,-0.000344218
2121640,0.015090478,-0.000330404
2125295,0.015084342,-0.000330157
2128950,0.015091996,-0.000333731
2132605,0.0150791,-0.000334315
2136260,0.015091006,-0.000338209
2139915,0.015079924,-0.000351966
2143570,0.01508927,-0.00034017
2147225,0.015075778,-0.000339533
2150880,0.01507772,-0.000338955
2154535,0.01507626,-0.00033275
2158190,0.015088898,-0.000339684
2161845,0.01508849,-0.000338189
2165500,0.015074318,-0.000339971
2169155,0.015083334,-0.000338367
2172810,0.015076824,-0.000350959
2176465,0.01508788,-0.000331883
2180120,0.01509192,-0.000341988
2183775,0.015085986,-0.000348812
2187430,0.015081066,-0.0003416
2191085,0.015078438,-0.00033142
