frequency_hz,s11_raw_real,s11_raw_imag
1800000,-0.877134592,0.005503881
1803655,-0.877125888,0.005567589
1807310,-0.877137792,0.005582207
1810965,-0.877135168,0.005574824
1814620,-0.877110016,0.005602784
1818275,-0.877132736,0.005655425
1821930,-0.877092288,0.005651889
1825585,-0.877127616,0.005670053
1829240,-0.8771152,0.005690575
1832895,-0.877121408,0.005714884
1836550,-0.877093504,0.005751457
1840205,-0.877104512,0.005787022
1843860,-0.877117248,0.005780406
1847515,-0.877102016,0.005809402
1851170,-0.877082432,0.005827148
1854825,-0.87710752,0.005832344
1858480,-0.877088384,0.005873896
1862135,-0.877121856,0.005866336
1865790,-0.877086336,0.005908108
1869445,-0.87709344,0.005919992
1873100,-0.877085568,0.005957356
1876755,-0.877084352,0.005979336
1880410,-0.877094336,0.005974323
1884065,-0.877103424,0.006015049
1887720,-0.877063744,0.006023895
1891375,-0.877082112,0.006036777
1895030,-0.87707904,0.006070265
1898685,-0.877092672,0.006098369
1902340,-0.87707936,0.006096241
1905995,-0.877092032,0.006122427
1909650,-0.87707968,0.006152847
1913305,-0.87707456,0.00617728
1916960,-0.877045312,0.006212982
1920615,-0.877060736,0.006219961
1924270,-0.87706528,0.006238397
1927925,-0.877075712,0.006265693
1931580,-0.877038528,0.006274787
1935235,-0.877051392,0.00628213
1938890,-0.877080192,0.006310629
1942545,-0.877036928,0.006365955
1946200,-0.877046144,0.006370849
1949855,-0.877085056,0.006388763
1953510,-0.877048768,0.00642223
1957165,-0.877065792,0.006448935
1960820,-0.877053504,0.006441479
1964475,-0.877044224,0.006480996
1968130,-0.877051904,0.006506638
1971785,-0.877045568,0.006524124
1975440,-0.877027136,0.006547529
1979095,-0.877040384,0.006549087
1982750,-0.877041728,0.006580467
1986405,-0.87705344,0.006606625
1990060,-0.877045184,0.006597688
1993715,-0.87703936,0.006648089
1997370,-0.877040896,0.006652856
2001025,-0.87703776,0.006660742
2004680,-0.87705024,0.006709632
2008335,-0.877041792,0.006736357
2011990,-0.877031552,0.006763496
2015645,-0.87704512,0.006771993
2019300,-0.877051584,0.006799654
2022955,-0.877055744,0.006822165
2026610,-0.877048256,0.00683322
2030265,-0.87701504,0.006850909
2033920,-0.877030208,0.006866367
2037575,-0.877023552,0.006894552
2041230,-0.877017344,0.006909019
2044885,-0.877000192,0.006925141
2048540,-0.877006784,0.006957961
2052195,-0.876991488,0.006997972
2055850,-0.877006656,0.006988307
2059505,-0.87701728,0.00701275
2063160,-0.877009856,0.007035848
2066815,-0.877022592,0.007077149
2070470,-0.877029568,0.007089667
2074125,-0.877016704,0.007084896
2077780,-0.877008768,0.007099412
2081435,-0.876994304,0.00712891
2085090,-0.877016576,0.00716171
2088745,-0.877003648,0.007183461
2092400,-0.877001088,0.007207687
2096055,-0.87698528,0.007227284
2099710,-0.876978432,0.007237414
2103365,-0.877003072,0.007248472
2107020,-0.877000192,0.007281989
2110675,-0.87701472,0.00728388
2114330,-0.87697472,0.007335189
2117985,-0.87700704,0.007337069
2121640,-0.876997376,0.007365233
2125295,-0.877017856,0.00739769
2128950,-0.876987712,0.007424932
2132605,-0.877004224,0.00743634
2136260,-0.876990912,0.007453316
2139915,-0.876997056,0.007455038
2143570,-0.876978368,0.007481282
2147225,-0.876982272,0.007512389
2150880,-0.876980096,0.007515305
2154535,-0.876981248,0.007538946
2158190,-0.87696416,0.007577572
2161845,-0.877,0.007607839
2165500,-0.876969664,0.00761737
2169155,-0.8769952,0.007620264
2172810,-0.876968128,0.007636697
2176465,-0.876977472,0.007668419
