captured_at,run,configuration,change,effect,minimum_swr,minimum_swr_frequency_hz,valid_for_final_configuration
2026-08-17T22:30:48.289996-07:00,2026-08-17_2230_efhw_8ft_initial/broad,Initial approximate inverted V; apex about 8 ft; far end low.,Baseline after initial assembly.,"Established the initial 6.304 MHz resonance at SWR 1.52, below 40m.",1.5239712029340644,6304000,False
2026-08-17T22:31:29.670766-07:00,2026-08-17_2230_efhw_8ft_initial/focused,Same 8 ft inverted V; three-pass focused repeat.,Higher-resolution confirmation.,Confirmed the baseline within 0.4 kHz and 0.001 SWR.,1.523729884942572,6304375,False
2026-08-17T22:35:41.379315-07:00,2026-08-17_2230_efhw_8ft_initial/coax-rerouted,Same 8 ft inverted V; middle of 12 ft coax rerouted.,Common-mode sensitivity check.,Shifted resonance down 2.6 kHz and SWR down 0.009; small but measurable feed-line sensitivity.,1.5147400995322609,6301750,False
2026-08-17T22:41:06.381644-07:00,2026-08-17_2240_efhw_8ft_after_22in,8 ft inverted V; 22 in total removed.,Removed 22 in of radiator.,Moved resonance up 158 kHz to 6.460 MHz; minimum SWR rose to 1.59.,1.5851758587667555,6459555,False
2026-08-17T22:45:31.910991-07:00,2026-08-17_2245_efhw_8ft_after_52in,8 ft inverted V; 52 in total removed.,"Removed another 30 in, 52 in cumulative.",Moved resonance up another 254 kHz to 6.714 MHz; minimum SWR improved to 1.51.,1.5142921901968944,6713611,False
2026-08-17T22:50:16.432404-07:00,2026-08-17_2250_efhw_8ft_after_60in,8 ft inverted V; 60 in total removed.,"Removed another 8 in, 60 in cumulative.",Moved resonance up another 99 kHz to 6.812 MHz; minimum SWR improved to 1.48.,1.4807809740542661,6812375,False
2026-08-17T23:01:44.110914-07:00,2026-08-17_2301_efhw_25ft_sloper_60in_trim,25 ft to 3 ft sloper; 8 in feed loop; 12 ft coax; no choke or counterpoise.,Raised far end to about 25 ft and changed coax route.,Moved resonance into 40m at 7.025 MHz and improved minimum SWR to 1.38.,1.3795765581268085,7025000,False
2026-08-17T23:02:29.510590-07:00,2026-08-17_2301_efhw_25ft_sloper_60in_trim/focused,25 ft to 3 ft sloper; 8 in feed loop; 12 ft coax; no choke or counterpoise.,Three-pass focused repeat of the raised sloper.,Confirmed the raised-sloper result within 0.4 kHz and 0.001 SWR.,1.3796619215065329,7025375,False
2026-08-17T23:14:15.242185-07:00,2026-08-17_2314_efhw_25ft_sloper_14in_loop,25 ft to 3 ft sloper; 8 in feed loop; 14 in far loop; no choke or counterpoise.,Set permanent 14 in far-end tie-off loop.,Shifted resonance down 4.6 kHz and raised minimum SWR by 0.019.,1.3988505757124228,7020750,False
2026-08-17T23:21:37.243919-07:00,2026-08-17_2319_efhw_harmonics_25ft_sloper,Same sloper and loops; no choke or counterpoise.,Three-pass 40m/20m/15m/10m harmonic characterization.,"Measured minima of 1.40 on 40m, 2.23 on 20m, 4.59 on 15m, and 1.81 on 10m.",1.4041192844920765,7020500,False
2026-08-18T00:27:25.447889-07:00,2026-08-18_0024_gowenic_efhw_final,"Final 62.5 ft wire, 8 in feed loop, 14 in far loop, 25 ft to 3 ft sloper, 96 in grounded counterpoise, no choke.",Added the final 96 in counterpoise and repeated full OSL-calibrated span.,"Kept 40m essentially unchanged at 1.41, improved 15m from 4.59 to 1.89 and 10m from 1.81 to 1.68, while 20m changed from 2.23 to 2.58.",1.406056041265677,7022995,True
