band,frequency_hz,frequency_mhz,swr,return_loss_db,resistance_ohm,reactance_ohm,s11_real,s11_imag,phase_deg
160m,1800000,1.800000,4.48175108,3.94243183,12.59107904,-17.41951106,-0.4828205426,-0.4126787594,-139.47866301
160m,1803655,1.803655,4.53787451,3.89201372,12.38423730,-17.11696722,-0.4907398520,-0.4090287272,-140.18899623
160m,1807310,1.807310,4.59189112,3.84471086,12.18907898,-16.81358045,-0.4984677404,-0.4051291371,-140.89755002
160m,1810965,1.810965,4.64580369,3.79864986,12.00089656,-16.51748815,-0.5059951763,-0.4012080285,-141.58879146
160m,1814620,1.814620,4.70106375,3.75258663,11.81545033,-16.22720648,-0.5134256857,-0.3972901753,-142.26719941
160m,1818275,1.818275,4.75707418,3.70704111,11.63328194,-15.93610691,-0.5208252330,-0.3932296437,-142.94673351
160m,1821930,1.821930,4.81246655,3.66308849,11.45942364,-15.65713998,-0.5279266097,-0.3892480499,-143.59810269
160m,1825585,1.825585,4.86737448,3.62055161,11.29167947,-15.37963379,-0.5349001244,-0.3851452926,-144.24489918
160m,1829240,1.829240,4.92442938,3.57740017,11.12430271,-15.10768725,-0.5418210656,-0.3810816552,-144.87994259
160m,1832895,1.832895,4.97947874,3.53674275,10.96495696,-14.82766582,-0.5486759942,-0.3766631069,-145.53061190
160m,1836550,1.836550,5.03779887,3.49467919,10.80559757,-14.57071198,-0.5552790018,-0.3726880960,-146.13156707
160m,1840205,1.840205,5.09474692,3.45457223,10.65269791,-14.30754772,-0.5618228408,-0.3684230972,-146.74458672
160m,1843860,1.843860,5.15231522,3.41496527,10.50266750,-14.04522985,-0.5683037089,-0.3640696680,-147.35535240
160m,1847515,1.847515,5.20531506,3.37930596,10.36600322,-13.78524379,-0.5744556301,-0.3595443386,-147.95808369
160m,1851170,1.851170,5.26066881,3.34285906,10.22856610,-13.52955010,-0.5805828449,-0.3550570131,-148.55201599
160m,1854825,1.854825,5.31651275,3.30688698,10.09447215,-13.28180010,-0.5865472547,-0.3506512784,-149.12805853
160m,1858480,1.858480,5.37570047,3.26960640,9.95733894,-13.03262531,-0.5926058452,-0.3461767252,-149.70822940
160m,1862135,1.862135,5.43075175,3.23568654,9.83183624,-12.78937521,-0.5983215416,-0.3416497835,-150.27304211
160m,1865790,1.865790,5.49095653,3.19939699,9.70088392,-12.55326837,-0.6040948824,-0.3372920504,-150.82350582
160m,1869445,1.869445,5.54915811,3.16508888,9.57677293,-12.31775542,-0.6096962404,-0.3328116582,-151.37143169
160m,1873100,1.873100,5.60449741,3.13315082,9.46049195,-12.08160256,-0.6151092238,-0.3281692951,-151.91946093
160m,1876755,1.876755,5.66548472,3.09869932,9.33809198,-11.85128800,-0.6206119018,-0.3236763728,-152.45598006
160m,1880410,1.880410,5.72075260,3.06813335,9.22771568,-11.61784948,-0.6258411932,-0.3189178923,-152.99739248
160m,1884065,1.884065,5.77452048,3.03897599,9.12234786,-11.38551362,-0.6309244560,-0.3140760353,-153.53574412
160m,1887720,1.887720,5.83024136,3.00934437,9.01729533,-11.16561183,-0.6358649123,-0.3094928786,-154.04654364
160m,1891375,1.891375,5.89022924,2.97808906,8.90832307,-10.94826588,-0.6408752012,-0.3049609468,-154.55252385
160m,1895030,1.895030,5.94873679,2.94823012,8.80419375,-10.73211389,-0.6457419317,-0.3003576567,-155.05517764
160m,1898685,1.898685,6.00718383,2.91899950,8.70283583,-10.52018470,-0.6504872973,-0.2957852200,-155.54807601
