frequency_hz,s11_raw_real,s11_raw_imag
500000,0.014999658,-0.000539907
501338,0.015007114,-0.000521001
502675,0.015014724,-0.000519489
504013,0.014994534,-0.000515223
505350,0.015000554,-0.000519916
506688,0.015010384,-0.000522829
508025,0.015023856,-0.000519084
509363,0.015010518,-0.00052694
510700,0.015008834,-0.000515908
512038,0.015006486,-0.000514033
513375,0.014998352,-0.000519722
514713,0.015005872,-0.000524542
516050,0.015011764,-0.00052103
517388,0.015012226,-0.00051567
518725,0.01500514,-0.000521816
520063,0.015005314,-0.000522809
521400,0.015014066,-0.000520765
522738,0.015022392,-0.00052707
524075,0.015009666,-0.000505011
525413,0.015010722,-0.000515683
526750,0.01501625,-0.000514673
528088,0.01501691,-0.000504336
529425,0.015010552,-0.000516425
530763,0.015008438,-0.00052467
532100,0.01501214,-0.00050052
533438,0.01500869,-0.00052096
534775,0.015016976,-0.000530983
536113,0.015012168,-0.000500734
537450,0.015003718,-0.000511017
538788,0.01501539,-0.000498359
540125,0.015013698,-0.000503823
541463,0.01501044,-0.000509841
542800,0.015005194,-0.000518158
544138,0.015004886,-0.00051681
545475,0.01501018,-0.00050923
546813,0.015005244,-0.000511412
548150,0.014981372,-0.000517704
549488,0.015010526,-0.000520209
550825,0.0149988,-0.000507563
552163,0.015008542,-0.000506586
553500,0.015001142,-0.000499334
554838,0.015010274,-0.000505364
556175,0.015011064,-0.000502838
557513,0.015008412,-0.000505765
558850,0.01502554,-0.000506992
560188,0.015011942,-0.000502729
561525,0.01501362,-0.00051116
562863,0.015011468,-0.000509348
564200,0.014998468,-0.00050047
565538,0.0150219,-0.000532149
566875,0.015000412,-0.000513046
568213,0.014999598,-0.000493083
569550,0.015015062,-0.000504963
570888,0.014995146,-0.000503614
572225,0.015000388,-0.000501663
573563,0.014999178,-0.00051248
574900,0.015004396,-0.000495721
576238,0.015010928,-0.000495433
577575,0.014999098,-0.000497987
578913,0.015013352,-0.000507943
580250,0.015005836,-0.000491661
581588,0.015005336,-0.000490097
582925,0.015009332,-0.000502585
584263,0.01501765,-0.000507779
585600,0.015016612,-0.000492865
586938,0.015020256,-0.000486828
588275,0.015020412,-0.000509881
589613,0.01498377,-0.000486237
590950,0.01501062,-0.000498355
592288,0.015013562,-0.000502104
593625,0.015002496,-0.000493946
594963,0.015001584,-0.000496717
596300,0.015009708,-0.000507512
597638,0.015020326,-0.000486692
598975,0.015012184,-0.000499177
600313,0.015014288,-0.000487259
601650,0.015002756,-0.000494854
602988,0.015009832,-0.000485462
604325,0.015023558,-0.000499741
605663,0.015012384,-0.000484339
607000,0.015006234,-0.000491144
608338,0.01502443,-0.000497503
609675,0.015019098,-0.00050306
611013,0.01500752,-0.000491616
612350,0.015007714,-0.000490482
613688,0.015018654,-0.000499916
615025,0.015019624,-0.000495563
616363,0.015008594,-0.000491607
617700,0.01501452,-0.000491402
619038,0.015014146,-0.000492799
620375,0.01500351,-0.000484436
621713,0.015017288,-0.000485947
623050,0.015029132,-0.000505064
624388,0.015012312,-0.000490085
625725,0.015005214,-0.00048961
627063,0.015015894,-0.000486391
628400,0.015018124,-0.000478908
629738,0.015007176,-0.000483315
631075,0.015016462,-0.000488616
632413,0.015030642,-0.000485497
633750,0.015017344,-0.000490338
635088,0.015006834,-0.000504694
636425,0.015009278,-0.000494126
637763,0.01502006,-0.00049868
639100,0.015017604,-0.000474807
640438,0.015001676,-0.000490742
641775,0.015008478,-0.000491282
643113,0.015017374,-0.000496198
644450,0.01501522,-0.000494536
645788,0.015029714,-0.000490758
647125,0.015008338,-0.000478971
648463,0.015028556,-0.000490366
649800,0.014998096,-0.000490564
651138,0.015017852,-0.000497697
652475,0.015018524,-0.000500596
653813,0.01502544,-0.000481998
655150,0.015012918,-0.000491789
656488,0.015013464,-0.000483074
