frequency_hz,s11_raw_real,s11_raw_imag
500000,0.182716464,0.631166016
501338,0.187623344,0.628542336
502675,0.192229152,0.62581888
504013,0.196473904,0.62158336
505350,0.202425008,0.62015328
506688,0.206615216,0.616520192
508025,0.211796928,0.613163968
509363,0.216094528,0.610034304
510700,0.220702864,0.606964544
512038,0.225494224,0.603302144
513375,0.230520032,0.599990656
514713,0.234646032,0.596983552
516050,0.24049064,0.593364736
517388,0.243914496,0.589899584
518725,0.249157968,0.585355968
520063,0.253812944,0.581838144
521400,0.258466336,0.57776032
522738,0.262612944,0.573763648
524075,0.267667536,0.570378368
525413,0.271742784,0.56634624
526750,0.276292608,0.561986112
528088,0.280768992,0.557869696
529425,0.285262912,0.553925824
530763,0.28933136,0.549720064
532100,0.294309088,0.545160192
533438,0.298713056,0.540575104
534775,0.30329408,0.536553088
536113,0.30778112,0.532351968
537450,0.31201376,0.527312384
538788,0.316161472,0.522683968
540125,0.319448,0.519189312
541463,0.325403968,0.51455344
542800,0.329719296,0.51158624
544138,0.333738432,0.504351488
545475,0.33316928,0.496992544
546813,0.344075104,0.495408224
548150,0.347098048,0.489095648
549488,0.348526784,0.48461648
550825,0.353737632,0.479530464
552163,0.35859456,0.473869664
553500,0.363174112,0.468199264
554838,0.366788288,0.462987552
556175,0.37130112,0.457849408
557513,0.374851104,0.452177056
558850,0.37903328,0.446956992
560188,0.383843808,0.439926816
561525,0.387187104,0.434311168
562863,0.389650944,0.427861984
564200,0.39426864,0.421921696
565538,0.398718656,0.415586048
566875,0.402996896,0.409483296
568213,0.40676256,0.401789504
569550,0.405637888,0.40049424
570888,0.41410096,0.390142592
572225,0.416570336,0.382028288
573563,0.421467488,0.37600336
574900,0.422645248,0.366132576
576238,0.42612384,0.360935136
577575,0.43008464,0.353126432
578913,0.432955104,0.3464296
580250,0.43782912,0.339990688
581588,0.439495168,0.330598208
582925,0.441948448,0.323635008
584263,0.444870912,0.31578256
585600,0.446133504,0.307394368
586938,0.44955728,0.299108704
588275,0.451653408,0.290939168
589613,0.452765632,0.282886368
