frequency_hz,s11_raw_real,s11_raw_imag
5500000,0.015042446,-0.000767038
5501500,0.015043408,-0.000752824
5503000,0.01505896,-0.00075147
5504500,0.015053798,-0.000751437
5506000,0.015045948,-0.000760282
5507500,0.015049908,-0.00075357
5509000,0.01503487,-0.000768546
5510500,0.015050936,-0.000761066
5512000,0.01504062,-0.000758664
5513500,0.015051534,-0.000759811
5515000,0.015047058,-0.000769754
5516500,0.015054472,-0.000756558
5518000,0.015044332,-0.000756387
5519500,0.015034232,-0.000757033
5521000,0.015045976,-0.000766653
5522500,0.015045562,-0.000755065
5524000,0.015038856,-0.000767199
5525500,0.01505044,-0.000756411
5527000,0.015040902,-0.000765334
5528500,0.015052266,-0.000754184
5530000,0.01505124,-0.000767178
5531500,0.015045972,-0.000762263
5533000,0.015047892,-0.000760027
5534500,0.015033798,-0.00076583
5536000,0.01503107,-0.000760261
5537500,0.015048962,-0.000756927
5539000,0.015053476,-0.000762916
5540500,0.015051398,-0.000762182
5542000,0.015042744,-0.000753054
5543500,0.015041248,-0.000771136
5545000,0.015049842,-0.000739554
5546500,0.01506063,-0.000762301
5548000,0.01503401,-0.000772343
5549500,0.015054042,-0.00076085
5551000,0.015038824,-0.00078085
5552500,0.01505268,-0.00075302
5554000,0.015043352,-0.000771678
5555500,0.015031902,-0.000775642
5557000,0.0150406,-0.000772269
5558500,0.015047252,-0.000765776
5560000,0.015042878,-0.0007626
5561500,0.01503589,-0.000758439
5563000,0.015029122,-0.000776787
5564500,0.015062892,-0.000762672
5566000,0.01506081,-0.000762038
5567500,0.015041244,-0.00077218
5569000,0.015042158,-0.00077128
5570500,0.015047754,-0.0007655
5572000,0.015044334,-0.00078418
5573500,0.015048004,-0.000762121
5575000,0.01505581,-0.000770851
5576500,0.015056302,-0.000762486
5578000,0.015051934,-0.000765815
5579500,0.015038988,-0.000772192
5581000,0.015053382,-0.000770874
5582500,0.015061182,-0.000790566
5584000,0.015048914,-0.000778734
5585500,0.01504963,-0.000767912
5587000,0.015043186,-0.00076428
5588500,0.015052568,-0.000769399
5590000,0.015043278,-0.000757979
5591500,0.015060556,-0.000750918
5593000,0.015049204,-0.000773886
5594500,0.01505617,-0.000768848
5596000,0.015037566,-0.000787882
5597500,0.015055822,-0.000771194
5599000,0.01504586,-0.000781155
5600500,0.015047466,-0.000767478
5602000,0.015051074,-0.000767567
5603500,0.01504384,-0.000760508
5605000,0.015053732,-0.000765398
5606500,0.015048868,-0.000765001
5608000,0.015044956,-0.000782446
5609500,0.015049258,-0.000760585
5611000,0.01504381,-0.000775917
5612500,0.015058652,-0.00074983
5614000,0.015040818,-0.000782072
5615500,0.01504969,-0.000777878
5617000,0.01505031,-0.00077617
5618500,0.015041218,-0.000765617
5620000,0.015041586,-0.000769018
5621500,0.01504686,-0.00077035
5623000,0.015050154,-0.000792634
5624500,0.01504582,-0.00078008
5626000,0.01504282,-0.000778172
5627500,0.015043196,-0.000773636
5629000,0.015042586,-0.00077936
5630500,0.015050094,-0.000770993
5632000,0.015046502,-0.000768666
5633500,0.01503578,-0.000769899
5635000,0.01505949,-0.000772672
5636500,0.01503636,-0.000773622
5638000,0.01504914,-0.000777489
5639500,0.015052246,-0.00077396
5641000,0.015061746,-0.000778874
5642500,0.015055746,-0.000772549
5644000,0.01504207,-0.000788253
5645500,0.01504846,-0.000777238
5647000,0.015053812,-0.000773284
5648500,0.01505335,-0.000772178
5650000,0.015043512,-0.000780002
5651500,0.015045698,-0.000770985
5653000,0.0150443,-0.000776476
5654500,0.015051462,-0.000775243
5656000,0.015055846,-0.000778342
5657500,0.01504852,-0.000780482
5659000,0.015033124,-0.000791871
5660500,0.015048536,-0.00078474
5662000,0.01505211,-0.000776929
5663500,0.015046768,-0.000790565
5665000,0.015049676,-0.000790561
5666500,0.015049632,-0.000777415
5668000,0.015039606,-0.000775322
5669500,0.01505039,-0.000784468
5671000,0.015046146,-0.000772575
5672500,0.015040228,-0.000783737
5674000,0.015048366,-0.000775851
5675500,0.015067096,-0.00078161
5677000,0.015046448,-0.000795191
5678500,0.015048958,-0.000786308
5680000,0.01504909,-0.000781817
5681500,0.01505354,-0.000771398
5683000,0.015050648,-0.000782959
5684500,0.01504538,-0.000775801
5686000,0.015029104,-0.000795257
5687500,0.015056624,-0.000794254
5689000,0.015052228,-0.000779435
5690500,0.015048142,-0.000780818
5692000,0.015042378,-0.000777182
5693500,0.0150603,-0.00077433
5695000,0.01504893,-0.000788063
5696500,0.015059428,-0.000780736
5698000,0.015058618,-0.000800441
5699500,0.015055386,-0.000770129
5701000,0.015046018,-0.000786884
5702500,0.015044864,-0.000797175
5704000,0.015053934,-0.000785961
5705500,0.015044536,-0.000784645
5707000,0.015065456,-0.000788569
5708500,0.01504595,-0.000781881
5710000,0.015040218,-0.000784971
5711500,0.01505369,-0.000794189
5713000,0.015044386,-0.000788192
5714500,0.015041158,-0.000787201
5716000,0.015040906,-0.000790843
5717500,0.015041396,-0.000798861
5719000,0.015040218,-0.000791691
5720500,0.015046538,-0.000795077
5722000,0.0150602,-0.000786755
5723500,0.015045758,-0.000777071
5725000,0.015050916,-0.00078377
5726500,0.015041506,-0.000788744
5728000,0.015073556,-0.000788967
5729500,0.015058074,-0.000796522
5731000,0.015046168,-0.000775834
5732500,0.015047498,-0.000784838
5734000,0.015056016,-0.000793967
5735500,0.015045826,-0.00079245
5737000,0.01503396,-0.000796304
5738500,0.015041594,-0.000785418
5740000,0.015053404,-0.000796562
5741500,0.015048888,-0.00079204
5743000,0.015043396,-0.000799809
5744500,0.015044786,-0.000779347
5746000,0.015062072,-0.000794314
5747500,0.015036814,-0.000807807
5749000,0.015032206,-0.000808466
5750500,0.015050746,-0.00079867
5752000,0.015056144,-0.000792019
5753500,0.015058582,-0.000796182
5755000,0.015041984,-0.00079219
5756500,0.015038466,-0.000794342
5758000,0.015055188,-0.000809676
5759500,0.015054798,-0.000800225
5761000,0.015047494,-0.000799587
5762500,0.015044618,-0.000790413
5764000,0.015060886,-0.0008009
5765500,0.015047696,-0.000779525
5767000,0.015068652,-0.000794769
5768500,0.015044942,-0.000814093
5770000,0.015052954,-0.000789676
5771500,0.015054172,-0.00078782
5773000,0.015048588,-0.000800791
5774500,0.015057464,-0.000803941
5776000,0.015043034,-0.000792802
5777500,0.015050942,-0.000794771
5779000,0.015061352,-0.000804981
5780500,0.015054098,-0.000800924
5782000,0.01504924,-0.00079466
5783500,0.01504544,-0.00079255
5785000,0.015056454,-0.000801491
5786500,0.015050906,-0.000795296
5788000,0.015048052,-0.000813486
5789500,0.015048076,-0.000790543
5791000,0.015053738,-0.000804272
5792500,0.015042212,-0.000810546
5794000,0.015062454,-0.000808441
5795500,0.015034062,-0.0007923
5797000,0.01504115,-0.000794682
5798500,0.015049872,-0.000799518
5800000,0.015049146,-0.00080157
5801500,0.015038528,-0.000797586
5803000,0.015056678,-0.000787671
5804500,0.01504325,-0.000788503
5806000,0.015063506,-0.00080192
5807500,0.015057596,-0.000806259
5809000,0.01505623,-0.000808924
5810500,0.015057384,-0.000808636
5812000,0.015051212,-0.000806061
5813500,0.015050104,-0.000805421
5815000,0.015057206,-0.000806119
5816500,0.01505489,-0.000791324
5818000,0.015048702,-0.000797253
5819500,0.015052456,-0.00080495
5821000,0.01504104,-0.000807282
5822500,0.01504532,-0.000800483
5824000,0.015054664,-0.000794283
5825500,0.015046542,-0.000810542
5827000,0.015045106,-0.000801856
5828500,0.015049492,-0.000809969
5830000,0.015059036,-0.000797568
5831500,0.01504545,-0.000808007
5833000,0.015052112,-0.000803329
5834500,0.015054574,-0.000799163
5836000,0.015051002,-0.000800023
5837500,0.01504929,-0.000801417
5839000,0.015051032,-0.000808939
5840500,0.015053036,-0.000809044
5842000,0.015041662,-0.000806506
5843500,0.01504452,-0.000804967
5845000,0.015047968,-0.000817039
5846500,0.015051384,-0.000805282
5848000,0.015036228,-0.000812503
5849500,0.015053404,-0.00080398
5851000,0.01504095,-0.00080366
5852500,0.015050392,-0.000820338
5854000,0.01505301,-0.000811784
5855500,0.015042878,-0.00079735
5857000,0.015049214,-0.000815302
5858500,0.015057286,-0.000815135
5860000,0.015056942,-0.000806208
5861500,0.015045018,-0.000804596
5863000,0.01505295,-0.000805709
5864500,0.015053694,-0.000798511
5866000,0.01504381,-0.000804529
5867500,0.015038608,-0.000794605
5869000,0.015057204,-0.000796877
5870500,0.015052014,-0.000810576
5872000,0.015063094,-0.000801377
5873500,0.01505788,-0.000807574
5875000,0.01507495,-0.000807459
5876500,0.015052858,-0.000802158
5878000,0.01504135,-0.000816494
5879500,0.015047972,-0.000808851
5881000,0.01504791,-0.00081445
5882500,0.01504745,-0.000793889
5884000,0.015041664,-0.000813948
5885500,0.015048834,-0.000824011
5887000,0.01505241,-0.000810154
5888500,0.015052726,-0.000809669
5890000,0.01506154,-0.00080467
5891500,0.015048076,-0.000807464
5893000,0.015046418,-0.000814238
5894500,0.015054072,-0.000815326
5896000,0.015047866,-0.000808019
5897500,0.01504412,-0.000798035
5899000,0.015038716,-0.000799485
5900500,0.015048328,-0.000798579
5902000,0.015046272,-0.000807351
5903500,0.015040324,-0.00081963
5905000,0.015052246,-0.000806003
5906500,0.015057894,-0.000822472
5908000,0.015063536,-0.000822393
5909500,0.015045186,-0.000814887
5911000,0.015064356,-0.000810958
5912500,0.015059044,-0.000821874
5914000,0.015058204,-0.00082288
5915500,0.015045762,-0.00079825
5917000,0.015046572,-0.000809393
5918500,0.015048354,-0.000802902
5920000,0.015054206,-0.000814801
5921500,0.015059688,-0.000826743
5923000,0.015073862,-0.000820403
5924500,0.015055456,-0.000811241
5926000,0.015041502,-0.000824429
5927500,0.015049986,-0.000823108
5929000,0.01505213,-0.000819759
5930500,0.015054438,-0.000821702
5932000,0.015055318,-0.000825947
5933500,0.01504904,-0.000829341
5935000,0.015041716,-0.000825077
5936500,0.015057742,-0.000818136
5938000,0.015053026,-0.000816245
5939500,0.01505346,-0.000818845
5941000,0.015050508,-0.000827114
5942500,0.015048844,-0.000822955
5944000,0.015045958,-0.000813698
