frequency_hz,s11_raw_real,s11_raw_imag
5500000,0.67101088,-0.010107468
5501500,0.670994752,-0.010114524
5503000,0.671017024,-0.010109356
5504500,0.671007424,-0.01012425
5506000,0.671009664,-0.010129772
5507500,0.671010624,-0.010129876
5509000,0.671011392,-0.010146354
5510500,0.67101376,-0.010146958
5512000,0.671021376,-0.010140102
5513500,0.671027136,-0.01014964
5515000,0.671016832,-0.010157478
5516500,0.671010624,-0.010160558
5518000,0.67101792,-0.01015387
5519500,0.671017664,-0.010169604
5521000,0.671016064,-0.010168
5522500,0.67100224,-0.010176762
5524000,0.671012928,-0.010165466
5525500,0.671017152,-0.010190312
5527000,0.671009472,-0.010173462
5528500,0.671018432,-0.010188286
5530000,0.67102912,-0.01019089
5531500,0.671022912,-0.010205102
5533000,0.671034752,-0.010201282
5534500,0.671023552,-0.010204848
5536000,0.67102656,-0.010201738
5537500,0.671023424,-0.010192232
5539000,0.671026752,-0.010212852
5540500,0.671017792,-0.010210194
5542000,0.671029632,-0.010211674
5543500,0.671030016,-0.01021341
5545000,0.671014016,-0.010245352
5546500,0.671025728,-0.010224424
5548000,0.67100672,-0.010247136
5549500,0.671017024,-0.01023244
5551000,0.671029824,-0.01023046
5552500,0.671019968,-0.010246734
5554000,0.67102176,-0.010257478
5555500,0.67103136,-0.010241608
5557000,0.671019648,-0.010266334
5558500,0.671028544,-0.01025871
5560000,0.671034944,-0.010263218
5561500,0.671032832,-0.010261176
5563000,0.67105088,-0.010274716
5564500,0.671031232,-0.010283378
5566000,0.67102816,-0.010259132
5567500,0.671025664,-0.010271428
5569000,0.671034432,-0.01028924
5570500,0.671024768,-0.010285882
5572000,0.671038336,-0.010303394
5573500,0.671029696,-0.010293456
5575000,0.6710352,-0.01029178
5576500,0.671024832,-0.010302038
5578000,0.671019648,-0.010307156
5579500,0.671031936,-0.01029997
5581000,0.671038592,-0.010312626
5582500,0.671027392,-0.01030976
5584000,0.67104352,-0.010314764
5585500,0.671021504,-0.010324168
5587000,0.671004672,-0.010328134
5588500,0.67102688,-0.010326268
5590000,0.6710192,-0.010333668
5591500,0.671028352,-0.010320638
5593000,0.671035328,-0.0103389
5594500,0.671030976,-0.010334176
5596000,0.671037184,-0.010348464
5597500,0.671020032,-0.010344126
