frequency_hz,s11_raw_real,s11_raw_imag
5500000,-0.87590688,0.02619177
5501500,-0.87589696,0.02621386
5503000,-0.87590816,0.026209306
5504500,-0.87590432,0.026222664
5506000,-0.875883072,0.026234694
5507500,-0.875884352,0.026229946
5509000,-0.875901824,0.026253972
5510500,-0.875906176,0.026254562
5512000,-0.87590976,0.026273458
5513500,-0.875882176,0.026273354
5515000,-0.875882432,0.02628461
5516500,-0.875909632,0.026286666
5518000,-0.875877056,0.026309182
5519500,-0.875890048,0.026279924
5521000,-0.875885056,0.0263024
5522500,-0.875893504,0.026300958
5524000,-0.875898432,0.026313094
5525500,-0.875881728,0.026346046
5527000,-0.875893504,0.026319876
5528500,-0.875877056,0.02634319
5530000,-0.87590336,0.026359888
5531500,-0.87589024,0.02637229
5533000,-0.87588864,0.026379048
5534500,-0.875880448,0.02636654
5536000,-0.875877312,0.026368994
5537500,-0.875889024,0.026389258
5539000,-0.87588224,0.02642587
5540500,-0.8758784,0.026402078
5542000,-0.875863872,0.026414884
5543500,-0.875860992,0.02643173
5545000,-0.875888,0.026440538
5546500,-0.87588608,0.026443636
5548000,-0.875886016,0.02643724
5549500,-0.875895232,0.026453362
5551000,-0.875878592,0.02648769
5552500,-0.875880064,0.026500418
5554000,-0.875890368,0.026498534
5555500,-0.875865472,0.026492388
5557000,-0.875877952,0.026504112
5558500,-0.875861184,0.026512612
5560000,-0.875865728,0.026527744
5561500,-0.875838784,0.026512476
5563000,-0.875874944,0.026540996
5564500,-0.875867392,0.026518234
5566000,-0.875873472,0.026558878
5567500,-0.875856,0.02653517
5569000,-0.875862528,0.02657207
5570500,-0.875862784,0.026570338
5572000,-0.875875328,0.02658555
5573500,-0.875863616,0.026581546
5575000,-0.87587072,0.026614436
5576500,-0.87587392,0.026601672
5578000,-0.875856512,0.026597954
5579500,-0.8758656,0.026638718
5581000,-0.875841344,0.026632004
5582500,-0.875855104,0.026639064
5584000,-0.8758336,0.02665125
5585500,-0.875857024,0.026661512
5587000,-0.875867968,0.026683114
5588500,-0.875867584,0.026684206
5590000,-0.875866688,0.026687074
5591500,-0.875860224,0.02669158
5593000,-0.875886976,0.02669304
5594500,-0.875849728,0.026710334
5596000,-0.875840512,0.026712018
5597500,-0.875854016,0.02671226
5599000,-0.875861504,0.026728552
5600500,-0.875857728,0.026725476
5602000,-0.875837952,0.02672836
5603500,-0.87584224,0.026755358
5605000,-0.87583424,0.026751896
5606500,-0.875828864,0.02678699
5608000,-0.875837952,0.026762756
5609500,-0.875848832,0.02678804
5611000,-0.87585856,0.026793006
5612500,-0.875853696,0.026807768
5614000,-0.875856192,0.026831746
