frequency_hz,s11_raw_real,s11_raw_imag
6500000,0.015075472,-0.000932482
6509800,0.015068062,-0.000933287
6519600,0.015072344,-0.000932905
6529400,0.015063272,-0.000925336
6539200,0.01507802,-0.000949105
6549000,0.015083246,-0.000937859
6558800,0.015068448,-0.000939797
6568600,0.015072898,-0.000953279
6578400,0.015079938,-0.000931192
6588200,0.015067098,-0.000951132
6598000,0.01506711,-0.000943677
6607800,0.01508131,-0.000945785
6617600,0.015062474,-0.000954536
6627400,0.015078394,-0.000946548
6637200,0.015082608,-0.000961779
6647000,0.015069776,-0.000957021
6656800,0.015065458,-0.000960537
6666600,0.015077776,-0.000960568
6676400,0.015078464,-0.000949807
6686200,0.015069682,-0.000959988
6696000,0.015083756,-0.000959761
6705800,0.015071252,-0.000955026
6715600,0.015077004,-0.000950811
6725400,0.01507521,-0.000971739
6735200,0.015080332,-0.000973702
6745000,0.015081836,-0.000987752
6754800,0.015074346,-0.000974523
6764600,0.015078506,-0.00096407
6774400,0.01506815,-0.00097419
6784200,0.015087764,-0.000975569
6794000,0.01507119,-0.000975003
6803800,0.015073602,-0.000984221
6813600,0.015068974,-0.000967615
6823400,0.015081866,-0.00098449
6833200,0.015088376,-0.000975095
6843000,0.015068588,-0.00098242
6852800,0.015076182,-0.000984881
6862600,0.015092446,-0.000993237
6872400,0.015092016,-0.000984228
6882200,0.015091474,-0.000986938
6892000,0.015070236,-0.000975104
6901800,0.015097222,-0.001004449
6911600,0.015082498,-0.000992347
6921400,0.015072202,-0.001012794
6931200,0.015087516,-0.000993512
6941000,0.015079602,-0.000990193
6950800,0.015084806,-0.001000995
6960600,0.015074878,-0.000999474
6970400,0.015092358,-0.000988639
6980200,0.015071522,-0.001006303
6990000,0.01508101,-0.000988591
6999800,0.01508088,-0.001012356
7009600,0.015074088,-0.001004338
7019400,0.015071452,-0.001017922
7029200,0.015084222,-0.001022043
7039000,0.015069098,-0.001025854
7048800,0.015075256,-0.001000135
7058600,0.015082398,-0.001008877
7068400,0.01508166,-0.001023671
7078200,0.015086584,-0.00103057
7088000,0.01508069,-0.001014017
7097800,0.015088788,-0.0010232
7107600,0.015078614,-0.001008658
7117400,0.015076234,-0.001012159
7127200,0.015081676,-0.001017133
7137000,0.01507814,-0.001025635
7146800,0.015078794,-0.001027173
7156600,0.015074056,-0.001044913
7166400,0.015094602,-0.001022417
7176200,0.015072132,-0.001030913
7186000,0.015089862,-0.001026618
7195800,0.015084514,-0.001041395
7205600,0.015090778,-0.00104925
7215400,0.015080986,-0.00103107
7225200,0.015070834,-0.001047786
7235000,0.015077984,-0.001046006
7244800,0.015082148,-0.001050076
7254600,0.015079644,-0.001053744
7264400,0.015076478,-0.0010543
7274200,0.015091558,-0.001046498
7284000,0.01507789,-0.001048361
7293800,0.015080066,-0.001047173
7303600,0.015069452,-0.001058085
7313400,0.015080658,-0.001061291
