frequency_hz,s11_raw_real,s11_raw_imag
6500000,0.671380096,-0.012820352
6509800,0.67139232,-0.012848422
6519600,0.671371328,-0.012877628
6529400,0.67136192,-0.012881852
6539200,0.671362304,-0.012914562
6549000,0.671374784,-0.012930702
6558800,0.671371072,-0.012961366
6568600,0.671368192,-0.012969134
6578400,0.671381824,-0.013006026
6588200,0.671358592,-0.013015714
6598000,0.671352832,-0.013038062
6607800,0.671366336,-0.01306122
6617600,0.671357184,-0.013090462
6627400,0.671363264,-0.013114614
6637200,0.671368064,-0.013128406
6647000,0.671372224,-0.013155196
6656800,0.671379776,-0.01319382
6666600,0.671368,-0.013195474
6676400,0.671361728,-0.013210136
6686200,0.671367552,-0.0132494
6696000,0.6713616,-0.013279314
6705800,0.671385664,-0.013282494
6715600,0.671362304,-0.013301244
6725400,0.671352704,-0.013313982
6735200,0.671362944,-0.013349548
6745000,0.671357312,-0.013377078
6754800,0.671361344,-0.013400618
6764600,0.671350208,-0.013402232
6774400,0.671345024,-0.013434664
6784200,0.671361536,-0.013460674
6794000,0.671353152,-0.013496962
6803800,0.671346752,-0.013511836
6813600,0.671347136,-0.013517744
6823400,0.67133504,-0.013554454
6833200,0.671344448,-0.013560778
6843000,0.671350656,-0.013588704
6852800,0.671338944,-0.013627972
6862600,0.67133888,-0.013624956
6872400,0.671327616,-0.013650362
6882200,0.6713312,-0.013676826
6892000,0.671336832,-0.013706604
6901800,0.671324864,-0.013731702
6911600,0.67134016,-0.013743026
6921400,0.671343232,-0.013764578
6931200,0.671339712,-0.0137867
6941000,0.67132608,-0.013809474
6950800,0.671324928,-0.013842708
6960600,0.671329408,-0.013860846
6970400,0.671326144,-0.013870878
6980200,0.67133056,-0.013912204
6990000,0.671332864,-0.013931694
6999800,0.671335168,-0.013941814
7009600,0.67133024,-0.013957944
7019400,0.671332032,-0.01398091
7029200,0.6713344,-0.014004818
7039000,0.671326528,-0.0140277
7048800,0.671333888,-0.01404392
7058600,0.671326848,-0.014075224
7068400,0.671322432,-0.01408886
7078200,0.671313536,-0.014133924
7088000,0.671324352,-0.014150496
7097800,0.671325696,-0.014163534
7107600,0.671321792,-0.014180534
7117400,0.671323648,-0.01421072
7127200,0.671312896,-0.014232488
