frequency_hz,s11_raw_real,s11_raw_imag
6500000,-0.875872064,0.031909834
6509800,-0.875867072,0.031937574
6519600,-0.87585024,0.032003708
6529400,-0.875849088,0.03203766
6539200,-0.875854464,0.032109528
6549000,-0.875831808,0.032147578
6558800,-0.875825408,0.032215628
6568600,-0.875846912,0.032273926
6578400,-0.875827904,0.032327864
6588200,-0.875839488,0.032366082
6598000,-0.8758144,0.032433934
6607800,-0.875824704,0.032482098
6617600,-0.875829504,0.032514426
6627400,-0.875805184,0.032555416
6637200,-0.875795008,0.032620944
6647000,-0.875796608,0.032677546
6656800,-0.875808768,0.032718242
6666600,-0.875806592,0.032792494
6676400,-0.875796416,0.032831408
6686200,-0.875800896,0.032881488
6696000,-0.8757872,0.03292108
6705800,-0.875806656,0.032977368
6715600,-0.875765696,0.033037982
6725400,-0.87574336,0.033105296
6735200,-0.875756864,0.03316988
6745000,-0.87575008,0.033193778
6754800,-0.875735168,0.033224136
6764600,-0.875747264,0.033300262
6774400,-0.875756032,0.03335454
6784200,-0.87576416,0.03339542
6794000,-0.875731968,0.03345612
6803800,-0.875740096,0.033513568
6813600,-0.87573952,0.033564768
6823400,-0.875723712,0.03361896
6833200,-0.875739648,0.033661812
6843000,-0.875711424,0.033732732
6852800,-0.87570784,0.033764952
6862600,-0.875689088,0.033811232
6872400,-0.875730112,0.033846908
6882200,-0.875709376,0.033925308
6892000,-0.875691904,0.033998548
6901800,-0.875692672,0.034026132
6911600,-0.875670976,0.034068568
6921400,-0.875680128,0.034147396
6931200,-0.875674304,0.034180128
6941000,-0.87567648,0.0342413
6950800,-0.875639488,0.034294144
6960600,-0.875673408,0.034340756
6970400,-0.875661376,0.034384564
6980200,-0.875663808,0.03444794
6990000,-0.875668928,0.034496
6999800,-0.875631424,0.034561304
7009600,-0.875650752,0.034607852
7019400,-0.875635712,0.034675932
7029200,-0.875626304,0.0347021
7039000,-0.875629568,0.034775536
7048800,-0.87564704,0.03481244
7058600,-0.87562176,0.034878584
7068400,-0.875623104,0.034907388
7078200,-0.875615104,0.03496324
7088000,-0.875609024,0.035020608
7097800,-0.875601792,0.035075796
7107600,-0.875589056,0.035101508
7117400,-0.875599488,0.035179736
7127200,-0.875588672,0.035236084
7137000,-0.875584384,0.035262548
7146800,-0.875586368,0.035320312
7156600,-0.87559232,0.035382812
7166400,-0.87558144,0.03543856
7176200,-0.875568704,0.0354655
7186000,-0.875579968,0.035551676
7195800,-0.875564672,0.035601616
7205600,-0.875571392,0.035629132
7215400,-0.875586752,0.03569224
7225200,-0.875536768,0.0357313
7235000,-0.87554336,0.03577212
7244800,-0.875565696,0.035849192
7254600,-0.87554752,0.035894696
7264400,-0.87553984,0.035937652
7274200,-0.875525504,0.03598926
7284000,-0.875524352,0.036046588
7293800,-0.875508864,0.036083172
7303600,-0.875498624,0.036154288
7313400,-0.875536512,0.036209304
7323200,-0.875527232,0.036250056
7333000,-0.87551264,0.03632494
7342800,-0.875486784,0.036379088
7352600,-0.875509376,0.036409212
7362400,-0.875493056,0.036468152
7372200,-0.875490112,0.036513256
7382000,-0.87546656,0.036577788
7391800,-0.875473408,0.036608264
7401600,-0.875488576,0.03666654
7411400,-0.875487296,0.036707952
7421200,-0.875476032,0.03676718
7431000,-0.875453376,0.03680884
7440800,-0.87546016,0.036875608
7450600,-0.87546336,0.036918712
7460400,-0.875459968,0.036976832
7470200,-0.875450496,0.037032088
7480000,-0.875431808,0.037102236
7489800,-0.875450624,0.03711448
7499600,-0.875427264,0.037188408
7509400,-0.875461312,0.037243412
7519200,-0.875431552,0.037296596
7529000,-0.875397952,0.037324116
7538800,-0.875414208,0.037390828
7548600,-0.87542112,0.037424056
7558400,-0.87540416,0.037471796
7568200,-0.875403776,0.03754586
7578000,-0.87537824,0.037582548
7587800,-0.875394496,0.03764192
7597600,-0.875390848,0.03768848
7607400,-0.875364032,0.037744972
7617200,-0.875378112,0.037813184
7627000,-0.875371008,0.037867788
7636800,-0.875376896,0.037894268
7646600,-0.875363776,0.037948536
7656400,-0.875382848,0.037990724
7666200,-0.875353152,0.038071612
7676000,-0.875370752,0.038093752
7685800,-0.875330816,0.03816488
7695600,-0.875343296,0.038208488
7705400,-0.875359616,0.038275912
7715200,-0.875348736,0.038310064
7725000,-0.875309312,0.038375884
7734800,-0.875335872,0.038402736
7744600,-0.87532192,0.038465632
7754400,-0.875313792,0.038529252
7764200,-0.875305088,0.03859148
7774000,-0.875309952,0.038611116
