band,frequency_hz,frequency_mhz,swr,return_loss_db,resistance_ohm,reactance_ohm,s11_real,s11_imag,phase_deg
80m,3503230,3.503230,1.57547924,13.01656780,32.22965975,-4.79161737,-0.2119908631,-0.0706241092,-161.57466285
80m,3506885,3.506885,1.55339037,13.28171237,32.60991015,-4.36193287,-0.2071429975,-0.0637390443,-162.89657936
80m,3510540,3.510540,1.52997616,13.57720191,33.03333927,-3.91756127,-0.2016606168,-0.0566950473,-164.29715509
80m,3514195,3.514195,1.50633543,13.89201758,33.48547082,-3.49694907,-0.1957153133,-0.0500848292,-165.64568893
80m,3517850,3.517850,1.48288192,14.22230240,33.95511481,-3.08615043,-0.1895053241,-0.0437256547,-167.00720406
80m,3521505,3.521505,1.46078115,14.55156570,34.41956205,-2.71807132,-0.1833328571,-0.0380999737,-168.25998042
80m,3525160,3.525160,1.43934823,14.88929847,34.87719925,-2.27265443,-0.1773286340,-0.0315239093,-169.91977196
80m,3528815,3.528815,1.41698560,15.26306013,35.38391402,-1.86182575,-0.1706241912,-0.0255258650,-171.49149009
80m,3532470,3.532470,1.39516904,15.65106510,35.90179481,-1.47021518,-0.1637791298,-0.0199181606,-173.06596921
80m,3536125,3.536125,1.37342449,16.06345254,36.44189343,-1.08524158,-0.1566641679,-0.0145214316,-174.70430188
80m,3539780,3.539780,1.35297983,16.47736629,36.97277558,-0.72869410,-0.1497043764,-0.0096327016,-176.31838854
80m,3543435,3.543435,1.33288263,16.91203519,37.51577194,-0.30008483,-0.1426377446,-0.0039180167,-178.42657783
80m,3547090,3.547090,1.31210348,17.39417308,38.10695243,0.07451749,-0.1349834004,0.0009599256,179.59255169
80m,3550745,3.550745,1.29201857,17.89615318,38.70625584,0.42943543,-0.1272897891,0.0054573173,177.54505150
80m,3554400,3.554400,1.27241811,18.42504545,39.31954564,0.76823134,-0.1194929646,0.0096286829,175.39308874
80m,3558055,3.558055,1.25384089,18.96723332,39.93123398,1.10623661,-0.1117924953,0.0136760668,173.02541116
80m,3561710,3.561710,1.23538904,19.55133753,40.57761315,1.48836871,-0.1037275420,0.0181364189,170.08227690
80m,3565365,3.565365,1.21681949,20.19264042,41.25714426,1.80528211,-0.0953759503,0.0216691266,167.19986159
80m,3569020,3.569020,1.19899393,20.86768417,41.94554024,2.09557017,-0.0870356712,0.0247750954,164.11075838
80m,3572675,3.572675,1.18214988,21.56911393,42.64198649,2.38742203,-0.0787077918,0.0277987427,160.54732910
80m,3576330,3.576330,1.16653384,22.28525977,43.34450849,2.68862194,-0.0704122595,0.0308313144,156.35290051
80m,3579985,3.579985,1.15116593,23.06440004,44.09266710,2.97763920,-0.0617188088,0.0335989578,151.43667295
80m,3583640,3.583640,1.13662594,23.88390691,44.85743586,3.22310395,-0.0529978917,0.0357791841,145.97648572
80m,3587295,3.587295,1.12298471,24.74191465,45.65118915,3.43964345,-0.0441151200,0.0375466711,139.59867357
80m,3590950,3.590950,1.11184999,25.52054262,46.42505474,3.65215808,-0.0355892414,0.0392235775,132.21881155
