# CURRENT (as-built sloper from the operator's GPX): how far the
# three-band score moves if the wrist-GPS end point is wrong.
# d_bearing / d_run are offsets from the GPX end; end_ft is the
# assumed end height. Runs longer than the GPX value are not
# listed: at 45 ft the wire cannot reach them. Slant model,
# METHOD.md section 9 - LOW confidence. Generated by
# tools/compare_options.py.
d_bearing_deg,d_run_m,run_m,bearing_true_deg,end_ft,mb3_aggregate_dBi,mb3_workable_of_75,mb3_regions_covered,mb3_worst_dBi,parcel
-10,-5.0,31.58,128.9,45,-3.45,28,18,-71.8,setback ok
-10,-2.5,34.08,128.9,45,-3.70,27,18,-69.9,setback ok
-10,0.0,36.58,128.9,45,-3.93,26,18,-68.8,setback ok
-5,-5.0,31.58,133.9,45,-3.32,32,20,-60.0,on lot, in setback
-5,-2.5,34.08,133.9,45,-3.59,26,18,-64.3,on lot, in setback
-5,0.0,36.58,133.9,45,-3.84,25,17,-68.7,on lot, in setback
0,-5.0,31.58,138.9,45,-3.15,30,19,-53.8,on lot, in setback
0,-2.5,34.08,138.9,45,-3.44,29,19,-56.5,on lot, in setback
0,0.0,36.58,138.9,45,-3.70,24,17,-58.9,past line
5,-5.0,31.58,143.9,45,-2.89,29,19,-53.0,on lot, in setback
5,-2.5,34.08,143.9,45,-3.17,28,19,-68.2,past line
5,0.0,36.58,143.9,45,-3.43,28,19,-100.3,past line
10,-5.0,31.58,148.9,45,-2.56,32,20,-114.7,past line
10,-2.5,34.08,148.9,45,-2.82,29,20,-71.1,past line
10,0.0,36.58,148.9,45,-3.07,28,19,-62.5,past line
0,0.0,36.58,138.9,35,-4.96,22,15,-66.9,past line
0,0.0,36.58,138.9,40,-4.29,23,15,-63.4,past line
0,0.0,36.58,138.9,50,-3.20,30,19,-54.3,past line
