# Every straight sloper off the roof point on NEC-2 (tools/nec_roof_sloper_scan.py).
# Roof feed ENU (-10.7, -10.5), cells workable >= 1.02 dBi. brg in degrees true.
roof_ft,dir,brg_true,brg_mag,run_m,end_ft,slope_deg,cells3,regions3,dBi3,worst3,cells2,dBi2,cells3_thr_minus2,cells3_thr_plus2,nbr_mean3,on_lot,setback_ok
25,down,0.00,344.70,39.30,9.0,7.1,22,12,0.04,-15.1,12,-0.35,38,10,,1,1
25,down,0.00,344.70,39.35,10.4,6.4,21,12,0.01,-15.9,11,-0.36,38,10,,1,1
25,down,0.00,344.70,39.40,12.0,5.8,21,13,0.01,-16.8,12,-0.36,37,11,,1,1
25,down,0.00,344.70,39.45,13.7,5.0,21,13,0.03,-17.9,12,-0.35,37,11,,1,1
25,down,0.00,344.70,39.50,15.8,4.1,20,13,0.10,-19.4,11,-0.31,37,12,,1,1
25,down,0.00,344.70,39.55,18.5,2.9,20,13,0.24,-21.5,11,-0.24,40,12,,1,1
25,down,1.00,345.70,39.30,9.0,7.1,22,12,0.06,-14.8,12,-0.36,41,10,,1,1
25,down,1.00,345.70,39.35,10.4,6.4,21,12,0.03,-15.5,11,-0.38,38,10,,1,1
25,down,1.00,345.70,39.40,12.0,5.8,21,12,0.03,-16.3,11,-0.38,35,10,,1,1
25,down,1.00,345.70,39.45,13.7,5.0,19,12,0.05,-17.1,10,-0.37,37,9,,1,1
25,down,1.00,345.70,39.50,15.8,4.1,21,14,0.12,-18.1,11,-0.34,37,11,,1,1
25,down,1.00,345.70,39.55,18.5,2.9,21,14,0.26,-19.3,11,-0.27,38,12,,1,1
25,down,2.00,346.70,39.30,9.0,7.1,21,12,0.08,-14.2,12,-0.37,41,9,,1,1
25,down,2.00,346.70,39.35,10.4,6.4,20,12,0.06,-14.8,11,-0.39,41,10,,1,1
25,down,2.00,346.70,39.40,12.0,5.8,21,13,0.05,-15.3,11,-0.39,39,10,,1,1
25,down,2.00,346.70,39.45,13.7,5.0,19,13,0.08,-15.9,9,-0.38,40,10,,1,1
25,down,2.00,346.70,39.50,15.8,4.1,20,14,0.15,-16.5,10,-0.35,39,10,,1,1
25,down,2.00,346.70,39.55,18.5,2.9,23,16,0.29,-17.0,11,-0.28,39,10,,1,1
25,down,3.00,347.70,39.30,9.0,7.1,20,11,0.11,-13.5,12,-0.38,42,9,,1,1
25,down,3.00,347.70,39.35,10.4,6.4,20,12,0.09,-13.8,11,-0.39,41,9,,1,1
25,down,3.00,347.70,39.40,12.0,5.8,20,13,0.09,-14.2,10,-0.40,39,8,,1,1
25,down,3.00,347.70,39.45,13.7,5.0,20,13,0.12,-14.5,10,-0.39,40,10,,1,1
25,down,3.00,347.70,39.50,15.8,4.1,19,13,0.19,-14.8,9,-0.36,40,10,,1,1
25,down,3.00,347.70,39.55,18.5,2.9,23,17,0.33,-16.3,12,-0.29,42,10,,1,1
25,down,4.00,348.70,39.30,9.0,7.1,21,12,0.15,-12.6,12,-0.38,42,9,,1,1
25,down,4.00,348.70,39.35,10.4,6.4,20,12,0.13,-12.8,11,-0.39,40,9,,1,1
25,down,4.00,348.70,39.40,12.0,5.8,19,12,0.13,-13.0,10,-0.40,40,8,,1,1
25,down,4.00,348.70,39.45,13.7,5.0,22,15,0.16,-13.2,11,-0.39,40,9,,1,1
25,down,4.00,348.70,39.50,15.8,4.1,24,17,0.23,-14.3,12,-0.37,42,9,,1,1
25,down,4.00,348.70,39.55,18.5,2.9,26,18,0.38,-17.0,13,-0.30,42,10,,1,1
25,down,5.00,349.70,39.30,9.0,7.1,23,15,0.18,-11.7,12,-0.37,42,9,,1,1
25,down,5.00,349.70,39.35,10.4,6.4,23,15,0.17,-11.8,12,-0.39,42,8,,1,1
25,down,5.00,349.70,39.40,12.0,5.8,23,15,0.17,-11.9,12,-0.40,41,8,,1,1
25,down,5.00,349.70,39.45,13.7,5.0,24,16,0.20,-12.3,13,-0.39,41,8,,1,1
25,down,5.00,349.70,39.50,15.8,4.1,25,17,0.28,-15.4,13,-0.37,43,9,,1,1
25,down,5.00,349.70,39.55,18.5,2.9,25,17,0.43,-19.9,12,-0.30,43,9,,1,1
25,down,6.00,350.70,39.30,9.0,7.1,22,14,0.22,-10.8,12,-0.37,45,9,,1,1
25,down,6.00,350.70,39.35,10.4,6.4,22,15,0.21,-10.9,12,-0.39,42,8,,1,1
25,down,6.00,350.70,39.40,12.0,5.8,25,16,0.21,-10.9,13,-0.40,40,8,,1,1
25,down,6.00,350.70,39.45,13.7,5.0,25,16,0.24,-12.2,13,-0.39,40,8,,1,1
25,down,6.00,350.70,39.50,15.8,4.1,26,17,0.32,-14.2,13,-0.37,42,7,,1,1
25,down,6.00,350.70,39.55,18.5,2.9,28,18,0.47,-15.9,14,-0.31,42,8,,1,1
25,down,7.00,351.70,39.30,9.0,7.1,24,15,0.25,-10.4,13,-0.36,44,9,,1,1
25,down,7.00,351.70,39.35,10.4,6.4,23,15,0.24,-10.9,12,-0.38,42,8,,1,1
25,down,7.00,351.70,39.40,12.0,5.8,23,15,0.25,-11.4,12,-0.39,42,8,,1,1
25,down,7.00,351.70,39.45,13.7,5.0,25,16,0.28,-12.0,13,-0.39,42,7,,1,1
25,down,7.00,351.70,39.50,15.8,4.1,27,18,0.36,-13.4,13,-0.37,43,7,,1,1
25,down,7.00,351.70,39.55,18.5,2.9,29,19,0.51,-15.7,14,-0.30,43,9,,1,1
25,down,8.00,352.70,39.30,9.0,7.1,25,16,0.28,-11.3,13,-0.35,44,9,,1,1
25,down,8.00,352.70,39.35,10.4,6.4,25,16,0.27,-11.9,13,-0.37,42,8,,1,1
25,down,8.00,352.70,39.40,12.0,5.8,24,16,0.27,-12.6,12,-0.39,42,8,,1,1
25,down,8.00,352.70,39.45,13.7,5.0,25,17,0.31,-13.3,12,-0.39,41,7,,1,1
25,down,8.00,352.70,39.50,15.8,4.1,25,17,0.39,-15.7,12,-0.36,41,7,,1,1
25,down,8.00,352.70,39.55,18.5,2.9,28,19,0.54,-19.9,13,-0.30,43,10,,1,1
25,down,9.00,353.70,39.30,9.0,7.1,26,16,0.30,-12.1,13,-0.35,40,8,,1,1
25,down,9.00,353.70,39.35,10.4,6.4,25,16,0.29,-12.9,12,-0.37,38,8,,1,1
25,down,9.00,353.70,39.40,12.0,5.8,26,17,0.29,-13.7,12,-0.38,42,7,,1,1
25,down,9.00,353.70,39.45,13.7,5.0,26,17,0.33,-14.7,12,-0.38,41,8,,1,1
25,down,9.00,353.70,39.50,15.8,4.1,26,17,0.41,-15.9,12,-0.36,42,9,,1,1
25,down,9.00,353.70,39.55,18.5,2.9,27,17,0.56,-17.4,13,-0.31,43,11,,1,1
25,down,10.00,354.70,39.30,9.0,7.1,25,15,0.31,-12.9,13,-0.34,41,8,,1,1
25,down,10.00,354.70,39.35,10.4,6.4,24,15,0.30,-13.8,12,-0.37,39,8,,1,1
25,down,10.00,354.70,39.40,12.0,5.8,25,16,0.31,-14.8,12,-0.38,37,8,,1,1
25,down,10.00,354.70,39.45,13.7,5.0,26,17,0.34,-16.0,12,-0.38,37,9,,1,1
25,down,10.00,354.70,39.50,15.8,4.1,25,17,0.42,-17.7,11,-0.37,41,9,,1,1
25,down,10.00,354.70,39.55,18.5,2.9,25,17,0.57,-20.1,12,-0.31,39,13,,1,1
25,down,11.00,355.70,39.30,9.0,7.1,22,14,0.31,-13.5,11,-0.34,43,10,,1,1
25,down,11.00,355.70,39.35,10.4,6.4,23,15,0.30,-14.5,11,-0.37,41,9,,1,1
25,down,11.00,355.70,39.40,12.0,5.8,23,15,0.31,-15.6,11,-0.38,40,10,,1,1
25,down,11.00,355.70,39.45,13.7,5.0,23,15,0.34,-17.0,11,-0.39,39,10,,1,1
25,down,11.00,355.70,39.50,15.8,4.1,25,17,0.42,-19.0,11,-0.37,39,10,,1,1
25,down,11.00,355.70,39.55,18.5,2.9,26,17,0.56,-22.2,12,-0.32,37,14,,1,1
25,down,12.00,356.70,39.30,9.0,7.1,22,14,0.31,-13.9,11,-0.35,43,10,,1,1
25,down,12.00,356.70,39.35,10.4,6.4,22,14,0.29,-14.8,11,-0.37,41,9,,1,1
25,down,12.00,356.70,39.40,12.0,5.8,22,14,0.30,-15.9,11,-0.39,40,10,,1,1
25,down,12.00,356.70,39.45,13.7,5.0,25,15,0.33,-17.2,12,-0.40,39,10,,1,1
25,down,12.00,356.70,39.50,15.8,4.1,24,15,0.40,-18.9,11,-0.38,39,11,,1,1
25,down,12.00,356.70,39.55,18.5,2.9,26,17,0.55,-21.5,12,-0.33,37,12,,1,1
25,down,13.00,357.70,39.30,9.0,7.1,23,13,0.29,-13.9,12,-0.35,43,11,,1,1
