theta_deg_from_wire_axis,F_n2_40m,dB_n2_40m,F_n4_20m,dB_n4_20m,F_n6_15m,dB_n6_15m
0,0.000,-inf,0.000,-inf,0.000,-inf
5,,,0.0009,-68.0,,
10,,,0.0141,-44.4,,
15,,,0.0720,-30.2,,
20,,,0.2056,-21.1,0.4663,-15.2
25,,,0.4190,-14.9,,
30,0.1729,-21.3,0.6526,-11.1,1.3946,-5.7
35,,,1.0178,-7.2,,
40,0.3996,-14.0,1.4011,-4.4,2.4773,-0.7
45,,,1.7910,-2.3,,
48.2,,,,,2.6830,0.0
50,0.7497,-8.5,2.1260,-0.8,,
55,,,2.3120,-0.1,,
57.5,,,2.3370,0.0,,
60,1.1550,-4.8,2.3090,-0.1,1.1547,-7.3
65,,,2.0760,-1.0,,
70,1.5710,-2.1,1.6470,-3.0,0.0036,-57.4
75,,,1.0920,-6.6,,
80,1.8837,-0.5,0.5479,-12.6,0.9490,-9.0
85,,,0.1469,-24.0,,
90,2.0000,0.0,0.0000,-inf,2.0000,-2.5
