band,frequency_hz,frequency_mhz,swr,return_loss_db,resistance_ohm,reactance_ohm,s11_real,s11_imag,phase_deg
80m,3500013,3.500013,1.39399247,15.67269716,41.85633631,12.91237445,-0.0675611752,0.1500685766,114.23736992
80m,3501350,3.501350,1.38659359,15.81047651,42.09167528,12.81802981,-0.0652374015,0.1482679593,113.74933243
80m,3502688,3.502688,1.37995385,15.93675376,42.45493838,12.85086910,-0.0611075033,0.1474897270,112.50505911
80m,3504025,3.504025,1.37190407,16.09332369,42.77266264,12.78195347,-0.0578235572,0.1457439196,111.64058637
80m,3505363,3.505363,1.36522034,16.22633291,43.05511742,12.73180895,-0.0548847619,0.1443294214,110.82052023
80m,3506700,3.506700,1.35768616,16.37967706,43.30684047,12.61939661,-0.0524812842,0.1423441056,110.23858062
80m,3508038,3.508038,1.35081136,16.52288264,43.59321527,12.55132861,-0.0495777210,0.1407537378,109.40380445
80m,3509375,3.509375,1.34438185,16.65976184,43.94742164,12.53851171,-0.0457970207,0.1395752854,108.16554151
80m,3510713,3.510713,1.33688070,16.82320823,44.25866772,12.44565580,-0.0427315785,0.1376794159,107.24278186
80m,3512050,3.512050,1.33040237,16.96775511,44.57108198,12.38507657,-0.0395762753,0.1361434330,106.20890694
80m,3513388,3.513388,1.32328589,17.13031808,44.79093652,12.23708142,-0.0376599114,0.1339572040,105.70247328
80m,3514725,3.514725,1.31702060,17.27684819,45.13591331,12.18840082,-0.0341535584,0.1324912710,104.45499253
80m,3516063,3.516063,1.31051660,17.43248533,45.46661116,12.11228593,-0.0308922074,0.1307940130,103.28913507
80m,3517400,3.517400,1.30370666,17.59945713,45.77661166,12.00410837,-0.0279484810,0.1288373513,102.23944592
80m,3518738,3.518738,1.29718866,17.76328855,46.10420189,11.90699624,-0.0248060476,0.1269701170,101.05458518
80m,3520075,3.520075,1.29073868,17.92945472,46.30579518,11.74642467,-0.0231381942,0.1247922381,100.50413691
80m,3521413,3.521413,1.28517637,18.07612374,46.68961014,11.69472197,-0.0193253849,0.1232886031,98.90857514
80m,3522750,3.522750,1.27862914,18.25294222,47.01179099,11.56679518,-0.0163540572,0.1211807255,97.68596779
80m,3524088,3.524088,1.27264440,18.41869823,47.30513260,11.44080292,-0.0136816319,0.1191852008,96.54849316
80m,3525425,3.525425,1.26643702,18.59498183,47.60679624,11.30043416,-0.0109679421,0.1170448894,95.35339086
80m,3526763,3.526763,1.26047030,18.76881200,47.83878206,11.13890419,-0.0090110578,0.1148754846,94.48520874
80m,3528100,3.528100,1.25545453,18.91840932,48.24285536,11.05860409,-0.0051498295,0.1131436375,92.60606776
80m,3529438,3.529438,1.24929292,19.10672152,48.53674514,10.88961059,-0.0026048596,0.1108010669,91.34673771
80m,3530775,3.530775,1.24373443,19.28109154,48.84005953,10.73758909,0.0000654787,0.1086288906,89.96546360
80m,3532113,3.532113,1.23805246,19.46395190,49.08853883,10.56006266,0.0021348896,0.1063444695,88.84992859
80m,3533450,3.533450,1.23267373,19.64155822,49.37552926,10.39397718,0.0046053499,0.1041112370,87.46717823
80m,3534788,3.534788,1.22795566,19.80112337,49.76820351,10.25909830,0.0081641952,0.1019898190,85.42328232
80m,3536125,3.536125,1.22253464,19.98901826,50.06419889,10.06947551,0.0106600562,0.0995574286,83.88837183
80m,3537463,3.537463,1.21767807,20.16167649,50.37803087,9.89320954,0.0133503637,0.0972437047,82.18286254
80m,3538800,3.538800,1.21253821,20.34907511,50.57993603,9.68917739,0.0149076445,0.0948970039,81.07220388
80m,3540138,3.540138,1.20829625,20.50751759,50.92141070,9.51708665,0.0178639798,0.0926173499,79.08288749
80m,3541475,3.541475,1.20403482,20.67028309,51.27551815,9.32829606,0.0209011159,0.0901829428,76.95130710
80m,3542813,3.542813,1.19963335,20.84234409,51.54954258,9.12284284,0.0231427802,0.0877573120,75.22667384
80m,3544150,3.544150,1.19550616,21.00748433,51.87011723,8.91190723,0.0258135820,0.0852247864,73.14905875
80m,3545488,3.545488,1.19066772,21.20598656,52.05830273,8.67393541,0.0271947751,0.0826787185,71.79287359
80m,3546825,3.546825,1.18817253,21.31050669,52.44394517,8.49538770,0.0305234245,0.0803959605,69.21005024
80m,3548163,3.548163,1.18392151,21.49209021,52.73579238,8.23735695,0.0328470645,0.0775463329,67.04346286
80m,3549500,3.549500,1.18084630,21.62630844,53.00441453,8.02343457,0.0350228109,0.0751660147,65.01733162
80m,3550838,3.550838,1.17707584,21.79428483,53.25399561,7.76804756,0.0369651730,0.0724514368,62.96904296
80m,3552175,3.552175,1.17358094,21.95347582,53.49030963,7.51550722,0.0387950834,0.0698030812,60.93561591
80m,3553513,3.553513,1.17216344,22.01903146,53.87200336,7.28835295,0.0419932932,0.0672201438,58.00644586
80m,3554850,3.554850,1.16934452,22.15114769,54.12883199,7.02330540,0.0440002838,0.0644804886,55.69110103
80m,3556188,3.556188,1.16697088,22.26424665,54.38662974,6.76188614,0.0460258799,0.0617958870,53.32107826
80m,3557525,3.557525,1.16435212,22.39105199,54.60370025,6.49176967,0.0476787577,0.0591016393,51.10602082
80m,3558863,3.558863,1.16235123,22.48941307,54.85326701,6.21606666,0.0496263912,0.0563414557,48.62592151
80m,3560200,3.560200,1.16211750,22.50098783,55.21142234,5.93913174,0.0525519434,0.0534829651,45.50306301
80m,3561538,3.561538,1.16074190,22.56947593,55.45673562,5.65216859,0.0544600303,0.0506781410,42.93992129
80m,3562875,3.562875,1.15998624,22.60736699,55.72007272,5.36238208,0.0565331553,0.0478549586,40.24770324
80m,3564213,3.564213,1.15773759,22.72126869,55.86397118,5.06388919,0.0575479760,0.0450811788,38.07397327
80m,3565550,3.565550,1.15815652,22.69991667,56.14755938,4.77915724,0.0598210905,0.0423303453,35.28382586
80m,3566888,3.566888,1.15878555,22.66797048,56.45041523,4.45022897,0.0622344361,0.0392039005,32.20842699
80m,3568225,3.568225,1.15873428,22.67056920,56.66872703,4.14015656,0.0639282684,0.0363319562,29.61059988
80m,3569563,3.569563,1.15936723,22.63854948,56.92448522,3.79511493,0.0659372354,0.0331530756,26.69313457
80m,3570900,3.570900,1.15830749,22.69223693,57.02651321,3.50994206,0.0666559071,0.0306090854,24.66507911
80m,3572238,3.572238,1.16111812,22.55068243,57.34967389,3.17654765,0.0692797447,0.0275406262,21.67919755
80m,3573575,3.573575,1.16255310,22.47943053,57.58399118,2.81496176,0.0711296009,0.0243041239,18.86467693
80m,3574913,3.574913,1.16383918,22.41614452,57.76274460,2.52051698,0.0725428960,0.0216927602,16.64842968
