frequency_hz,s11_raw_real,s11_raw_imag
500000,0.015231836,-0.000553577
501338,0.015238782,-0.000545407
502675,0.015232208,-0.000535306
504013,0.015247546,-0.000549237
505350,0.015250268,-0.000532275
506688,0.015242544,-0.000539016
508025,0.015240124,-0.000546389
509363,0.015239282,-0.000547174
510700,0.015236354,-0.000540753
512038,0.015255146,-0.000538965
513375,0.015252316,-0.000545116
514713,0.015237406,-0.000528541
516050,0.015262256,-0.000534536
517388,0.015233494,-0.000545499
518725,0.015230266,-0.000535814
520063,0.015251554,-0.000545112
521400,0.015247154,-0.000531293
522738,0.015259756,-0.000523369
524075,0.015253946,-0.000532346
525413,0.015245638,-0.000529786
526750,0.015251504,-0.000538652
528088,0.015243814,-0.000541373
529425,0.015252682,-0.000529315
530763,0.015236534,-0.000542786
532100,0.015250292,-0.000523443
533438,0.015245244,-0.000528155
534775,0.01523949,-0.000537522
536113,0.015248392,-0.000525507
537450,0.015249044,-0.000535386
538788,0.015246456,-0.000528593
540125,0.015246636,-0.000534213
541463,0.015268486,-0.000514417
542800,0.015256514,-0.000534965
544138,0.015243756,-0.000519767
545475,0.015249386,-0.000525678
546813,0.015255782,-0.000541341
548150,0.015244734,-0.000534664
549488,0.015258478,-0.000527255
550825,0.01526587,-0.000529223
552163,0.015248396,-0.00052929
553500,0.015257214,-0.000529131
554838,0.015250552,-0.000530262
556175,0.015249686,-0.000516889
557513,0.015248092,-0.000521504
558850,0.015245976,-0.000527782
560188,0.015228354,-0.000531434
561525,0.015254116,-0.000528793
562863,0.01523948,-0.000517571
564200,0.015250098,-0.000522831
565538,0.01526674,-0.000480947
566875,0.01524609,-0.000523073
568213,0.015254122,-0.000528098
569550,0.015241476,-0.00052785
570888,0.015238042,-0.000514563
572225,0.015238188,-0.000525627
573563,0.015249236,-0.000517583
574900,0.015247412,-0.000513548
576238,0.015253382,-0.000517796
577575,0.01524378,-0.000518488
578913,0.015237808,-0.000516907
580250,0.015254202,-0.000530118
581588,0.015239214,-0.000512653
582925,0.0152318,-0.000503066
584263,0.015260668,-0.000515852
585600,0.015248754,-0.000506469
586938,0.015246278,-0.000517217
588275,0.015247492,-0.000497673
589613,0.015237984,-0.000483941
590950,0.015250536,-0.000525757
592288,0.015246958,-0.000520195
593625,0.015255832,-0.000506468
594963,0.015263924,-0.000515515
596300,0.015252176,-0.000521208
597638,0.015237486,-0.000513725
598975,0.015246472,-0.000505428
600313,0.015250334,-0.000507882
601650,0.015257436,-0.000515974
602988,0.01525063,-0.000505872
604325,0.015242414,-0.000493424
605663,0.015269466,-0.000504966
607000,0.015248526,-0.000509404
608338,0.015249826,-0.000520854
609675,0.015241544,-0.000511862
611013,0.015259632,-0.000504884
612350,0.015252766,-0.000522125
613688,0.015251084,-0.000518154
615025,0.0152519,-0.000514653
616363,0.015252094,-0.000512529
617700,0.015256938,-0.000520128
619038,0.015251682,-0.00051943
620375,0.01526484,-0.000521155
621713,0.015249142,-0.000502882
623050,0.015235576,-0.000517291
624388,0.015259098,-0.000511663
625725,0.01526188,-0.000507874
627063,0.015259658,-0.000523471
628400,0.0152582,-0.000497089
629738,0.015252222,-0.000507333
631075,0.01524706,-0.000509974
632413,0.01523876,-0.000499676
633750,0.015244084,-0.000506967
635088,0.015252066,-0.000506756
636425,0.015237222,-0.000512313
637763,0.01525047,-0.0005141
639100,0.015256776,-0.000512007
640438,0.01524256,-0.000498454
641775,0.015248714,-0.000505741
643113,0.015250732,-0.000505251
644450,0.015249954,-0.000520146
645788,0.015260868,-0.000501832
647125,0.015250302,-0.000515329
648463,0.015248932,-0.000504173
649800,0.015252128,-0.000513055
651138,0.01525187,-0.000498241
652475,0.0152494,-0.000504685
653813,0.015244528,-0.00050695
655150,0.015255946,-0.000520673
656488,0.0152427,-0.000499527
657825,0.015267394,-0.000501784
659163,0.015245846,-0.000516068
660500,0.015253532,-0.000511814
661838,0.015244836,-0.00051204
663175,0.015249898,-0.000505403
664513,0.015258514,-0.000508803
665850,0.015242362,-0.000512607
667188,0.015252188,-0.000505919
668525,0.015263012,-0.000508803
669863,0.015261306,-0.000507157
671200,0.015246814,-0.000499431
672538,0.015259824,-0.00050727
673875,0.01526175,-0.000509018
675213,0.015241012,-0.000497192
676550,0.015251396,-0.000505029
677888,0.015254906,-0.000505027
679225,0.01526348,-0.000507001
680563,0.015247826,-0.000495987
681900,0.015266324,-0.000500808
683238,0.015255512,-0.000498067
684575,0.015257672,-0.00050411
685913,0.015251374,-0.000507743
687250,0.015251506,-0.00051615
688588,0.015246342,-0.000510462
689925,0.015254894,-0.000496957
691263,0.015246728,-0.000500653
692600,0.015253424,-0.000497095
693938,0.015249212,-0.00050404
695275,0.01525265,-0.000495432
696613,0.01525712,-0.000497349
697950,0.015251972,-0.000506822
699288,0.015256372,-0.000511469
700625,0.015266766,-0.000504349
701963,0.015248352,-0.000515557
703300,0.015255086,-0.000499359
704638,0.015263464,-0.000514974
705975,0.015269836,-0.000501276
707313,0.015241342,-0.000510592
708650,0.015257976,-0.000498466
709988,0.015256206,-0.00050247
711325,0.015257802,-0.000505559
712663,0.0152503,-0.000498842
714000,0.01525973,-0.000501087
715338,0.015253712,-0.000503525
716675,0.015241746,-0.000504489
718013,0.01524926,-0.000506687
719350,0.015244164,-0.000511417
720688,0.01526243,-0.000494549
722025,0.015255024,-0.000496262
723363,0.015262964,-0.000507602
724700,0.015265436,-0.000502273
726038,0.015255796,-0.000502594
727375,0.015264858,-0.000498172
728713,0.015243184,-0.000502796
730050,0.015257054,-0.00050836
731388,0.015240422,-0.000499827
732725,0.015241426,-0.000497459
734063,0.015263626,-0.000507724
735400,0.01525146,-0.000489152
736738,0.015271852,-0.000497447
738075,0.015270204,-0.000501488
739413,0.015257156,-0.000503356
740750,0.015267572,-0.000508677
742088,0.015251132,-0.000511677
743425,0.015255642,-0.000529993
744763,0.015253902,-0.00049708
746100,0.015261806,-0.000505347
747438,0.015257038,-0.000508132
748775,0.015268028,-0.00051493
750113,0.015262958,-0.000519321
751450,0.015256334,-0.000516212
752788,0.015261244,-0.000516505
754125,0.015245426,-0.000496874
755463,0.015262176,-0.000492391
756800,0.015239052,-0.000502426
758138,0.0152532,-0.000505438
759475,0.015263246,-0.000514739
760813,0.015246946,-0.000521775
762150,0.015254746,-0.000502479
763488,0.015251722,-0.000508775
764825,0.015246816,-0.0005098
766163,0.01525403,-0.000505364
767500,0.015254522,-0.000499549
768838,0.015252696,-0.00050449
770175,0.015251954,-0.000494961
771513,0.015256928,-0.00051398
