frequency_hz,s11_raw_real,s11_raw_imag
500000,0.015019512,-0.000545458
501338,0.015027694,-0.000532641
502675,0.01502407,-0.000545131
504013,0.0150193,-0.000551827
505350,0.015026272,-0.000545228
506688,0.01502901,-0.000540096
508025,0.015016994,-0.000536322
509363,0.015020248,-0.000542623
510700,0.015007942,-0.000532973
512038,0.01503722,-0.000535087
513375,0.015040512,-0.000534627
514713,0.015039522,-0.000531587
516050,0.01501167,-0.00053088
517388,0.015021662,-0.000542485
518725,0.01502871,-0.000528842
520063,0.015021914,-0.000527716
521400,0.015026466,-0.000522783
522738,0.015017934,-0.000541278
524075,0.015028302,-0.00051778
525413,0.015017974,-0.00054536
526750,0.01503375,-0.000545812
528088,0.015039748,-0.000530192
529425,0.015027912,-0.000531624
530763,0.015035806,-0.000545448
532100,0.015029298,-0.000530864
533438,0.015035124,-0.000525898
534775,0.015019704,-0.000529782
536113,0.015031152,-0.000514745
537450,0.015027282,-0.000529794
538788,0.015026186,-0.00052206
540125,0.015031744,-0.000520809
541463,0.015035748,-0.000522116
542800,0.015037656,-0.000519622
544138,0.015039874,-0.000532722
545475,0.015031942,-0.000522844
546813,0.015033674,-0.000522584
548150,0.015022846,-0.000529236
549488,0.015027814,-0.000508646
550825,0.015029346,-0.000513672
552163,0.015025874,-0.000532359
553500,0.015023848,-0.000530246
554838,0.015044692,-0.000522894
556175,0.015034618,-0.000523431
557513,0.015027194,-0.00053291
558850,0.015028338,-0.000529647
560188,0.015025904,-0.000524181
561525,0.015039734,-0.000518307
562863,0.015036308,-0.000526425
564200,0.015030924,-0.000519335
565538,0.015008408,-0.000537244
566875,0.015029714,-0.00052621
568213,0.015033902,-0.000520573
569550,0.01501738,-0.000515996
570888,0.015033612,-0.000512357
572225,0.015014304,-0.000517423
573563,0.015034334,-0.000505315
574900,0.01502818,-0.000534406
576238,0.015048132,-0.00050459
577575,0.015033854,-0.000506869
578913,0.015029882,-0.000528529
580250,0.01502468,-0.000501821
581588,0.015029764,-0.000513274
582925,0.015010146,-0.00050548
584263,0.015036634,-0.000515103
585600,0.015030352,-0.000517042
586938,0.015029086,-0.000500073
588275,0.015041306,-0.000518712
589613,0.015021118,-0.000505459
590950,0.01502854,-0.000506329
592288,0.015028968,-0.000524166
593625,0.01503094,-0.000512781
594963,0.01503408,-0.000506939
596300,0.01502851,-0.000524127
597638,0.015032694,-0.000505218
598975,0.015020338,-0.000514124
600313,0.015021918,-0.00052918
601650,0.015034402,-0.000515347
602988,0.015025924,-0.000509568
604325,0.015034618,-0.00053006
605663,0.015037498,-0.000518714
607000,0.01502477,-0.000523513
608338,0.015040596,-0.000498157
609675,0.015034622,-0.00051218
611013,0.015024634,-0.000507893
612350,0.015045658,-0.000515976
613688,0.015039316,-0.00050935
615025,0.015041874,-0.000503025
616363,0.015030822,-0.000507655
617700,0.015031062,-0.000506816
619038,0.015039816,-0.000498423
620375,0.01503142,-0.000506473
621713,0.01502738,-0.000499047
623050,0.015047096,-0.000509186
624388,0.015030944,-0.000506703
625725,0.015033946,-0.000501252
627063,0.015033378,-0.000507988
628400,0.015042438,-0.000507191
629738,0.01503527,-0.000515774
631075,0.015026754,-0.000507676
632413,0.015033604,-0.000498192
633750,0.015040254,-0.000504295
635088,0.015024724,-0.00051273
636425,0.01502514,-0.000518919
637763,0.015028446,-0.000493018
639100,0.015044878,-0.000498079
640438,0.01503763,-0.000499135
641775,0.015028838,-0.000514494
643113,0.015038934,-0.00050774
644450,0.01503056,-0.000505085
645788,0.015019502,-0.000512371
647125,0.015026508,-0.00049074
648463,0.015043606,-0.000502415
649800,0.015036282,-0.000513972
651138,0.015039508,-0.000509919
652475,0.015041728,-0.000496455
653813,0.015043848,-0.000506519
655150,0.015027806,-0.000498367
656488,0.015031442,-0.000498943
657825,0.015026982,-0.000488019
659163,0.01504252,-0.000499024
660500,0.015035528,-0.000502358
661838,0.015037782,-0.000495288
663175,0.015035052,-0.000500346
664513,0.015042874,-0.000491026
665850,0.01502493,-0.00050322
667188,0.015033812,-0.000510972
668525,0.015028948,-0.000503509
669863,0.01503208,-0.00050474
671200,0.015025912,-0.000510193
672538,0.015045538,-0.000492088
673875,0.015036356,-0.000499808
675213,0.015024424,-0.000504164
676550,0.015044344,-0.000502718
677888,0.015031644,-0.000504997
679225,0.015040898,-0.000495764
680563,0.015034372,-0.000511387
681900,0.015031432,-0.000499613
683238,0.015036636,-0.000506991
684575,0.015037366,-0.000503785
685913,0.015021266,-0.000510688
687250,0.015027806,-0.000495651
688588,0.015035664,-0.00049043
689925,0.015042366,-0.000503237
691263,0.015030452,-0.000508982
692600,0.015030248,-0.000509211
693938,0.015037224,-0.000512829
695275,0.015043122,-0.000499799
696613,0.015048634,-0.000512416
697950,0.015039862,-0.000512734
699288,0.015052106,-0.000500949
700625,0.015019444,-0.000513704
701963,0.015047622,-0.000510924
703300,0.015032492,-0.000501186
704638,0.015032778,-0.000494513
705975,0.015036028,-0.000507327
707313,0.01504071,-0.000491367
708650,0.015036848,-0.000504747
709988,0.015032646,-0.000500067
711325,0.015038648,-0.000493062
712663,0.015036398,-0.000493595
714000,0.015051286,-0.000506159
715338,0.015042388,-0.000508099
716675,0.015034146,-0.00049675
718013,0.015041778,-0.00048792
719350,0.015049118,-0.000511819
720688,0.01503412,-0.000501205
722025,0.01504047,-0.000480925
723363,0.015035066,-0.000506334
724700,0.015035324,-0.000491036
726038,0.01505171,-0.000505547
727375,0.0150373,-0.000495857
728713,0.01503709,-0.000517338
730050,0.015037856,-0.000509117
731388,0.015037908,-0.000486501
732725,0.01504954,-0.000508304
734063,0.01504013,-0.000503538
735400,0.015029208,-0.000499268
736738,0.015028072,-0.000494616
738075,0.015032566,-0.000497339
739413,0.015040292,-0.000497762
740750,0.01503127,-0.000500361
742088,0.015040592,-0.000509897
743425,0.015034212,-0.000502764
744763,0.015048554,-0.000496053
746100,0.015044364,-0.000519094
747438,0.015035154,-0.000504055
748775,0.01503736,-0.000496769
750113,0.015022978,-0.000498044
751450,0.015050944,-0.000513643
752788,0.015019528,-0.000496461
754125,0.015028794,-0.000499148
755463,0.015041366,-0.000492272
756800,0.015040294,-0.00050152
758138,0.015031918,-0.000498294
759475,0.01501853,-0.000500743
760813,0.01504032,-0.000498455
762150,0.015045074,-0.000499194
763488,0.015043904,-0.000499645
764825,0.01503781,-0.000498231
766163,0.01504332,-0.000500517
767500,0.015039754,-0.00049853
768838,0.015027098,-0.000495307
770175,0.015029002,-0.000512375
771513,0.015024876,-0.00050755
772850,0.015038812,-0.000509351
774188,0.015034996,-0.000505587
775525,0.015035876,-0.000506455
776863,0.015043912,-0.000488414
778200,0.015033992,-0.000501476
779538,0.015036408,-0.000493706
780875,0.015039582,-0.000507022
