frequency_hz,s11_raw_real,s11_raw_imag
500000,0.671598016,0.001954306
501338,0.671624192,0.001945565
502675,0.671624448,0.00192107
504013,0.671624704,0.001931521
505350,0.671616384,0.001919566
506688,0.671616448,0.001897843
508025,0.671612672,0.00190205
509363,0.671635776,0.00188232
510700,0.67161696,0.001877705
512038,0.671622528,0.001868226
513375,0.671620992,0.001856198
514713,0.671612416,0.001864697
516050,0.671659584,0.001850889
517388,0.671629504,0.001846156
518725,0.671634048,0.001834692
520063,0.671622464,0.001811689
521400,0.671639488,0.001815534
522738,0.671628608,0.001806088
524075,0.671620864,0.001805692
525413,0.671639552,0.00179835
526750,0.671624448,0.001785515
528088,0.671602944,0.001771325
529425,0.67163008,0.001748386
530763,0.67161792,0.001767932
532100,0.671621632,0.001758315
533438,0.67163136,0.001741995
534775,0.671625408,0.001735089
536113,0.671628032,0.001721641
537450,0.671630464,0.001728551
538788,0.671626496,0.001720617
540125,0.671636928,0.001687106
541463,0.671641216,0.001699676
542800,0.671625216,0.001689653
544138,0.671658624,0.001690711
545475,0.671640512,0.001678629
546813,0.67162976,0.001657627
548150,0.671628032,0.001655145
549488,0.671626688,0.001645471
550825,0.671614336,0.001638753
552163,0.671615168,0.001629308
553500,0.67163584,0.001631674
554838,0.671640128,0.001610171
556175,0.67162624,0.001606054
557513,0.671625024,0.001606522
558850,0.67165312,0.001594837
560188,0.671644672,0.001568116
561525,0.67164576,0.001562131
562863,0.6716272,0.001570737
564200,0.67157504,0.001582806
565538,0.671642944,0.001565267
566875,0.671627264,0.001551173
568213,0.671629376,0.001545837
569550,0.671628928,0.001553235
570888,0.671632064,0.001536797
572225,0.671634496,0.001521091
573563,0.67161984,0.00153299
574900,0.671631488,0.001523808
576238,0.671639232,0.001509599
577575,0.671643072,0.001492944
578913,0.671622336,0.001492504
580250,0.671631552,0.001486229
581588,0.671630208,0.001467355
582925,0.67163232,0.001478154
584263,0.671647744,0.00145537
585600,0.671634368,0.001453876
586938,0.671625856,0.001462826
588275,0.6716176,0.00140138
589613,0.6716208,0.001436861
590950,0.67163584,0.001428863
592288,0.67161984,0.001427259
593625,0.671642304,0.001416735
594963,0.67163232,0.001412602
596300,0.671617216,0.001402483
597638,0.671619072,0.00139196
598975,0.671617408,0.001406575
600313,0.671650624,0.001387404
601650,0.671628736,0.001369877
602988,0.671621504,0.001358401
604325,0.671625856,0.001346893
605663,0.671634496,0.001352307
607000,0.671630784,0.001350477
608338,0.67164448,0.001332462
609675,0.671650944,0.001341624
611013,0.671636736,0.001331551
612350,0.671628992,0.001320196
613688,0.671628032,0.001320009
615025,0.671640192,0.001295784
616363,0.671637056,0.001295571
617700,0.671631808,0.001290294
619038,0.671632192,0.00128561
620375,0.671632256,0.00127365
621713,0.671646976,0.001277536
623050,0.671633728,0.001258715
624388,0.671646848,0.001271426
625725,0.671629184,0.001261985
627063,0.67164,0.001237503
628400,0.671616576,0.001226822
629738,0.671619008,0.001224495
631075,0.6716352,0.001222206
632413,0.671619456,0.001225996
633750,0.671635328,0.001215475
635088,0.671657088,0.001193697
636425,0.67164864,0.001189317
637763,0.671647424,0.001174543
639100,0.671664832,0.001176584
640438,0.671664832,0.001171431
641775,0.671648832,0.001169212
643113,0.671662016,0.001157024
644450,0.671663552,0.001129711
645788,0.67165984,0.001136228
647125,0.671650816,0.001128926
648463,0.671655232,0.001122431
649800,0.671669248,0.001113397
651138,0.671664,0.001099236
652475,0.671643072,0.001109982
653813,0.671655872,0.001116497
655150,0.671653568,0.001088353
656488,0.671641024,0.001100566
657825,0.671643392,0.001082331
659163,0.671644416,0.001074602
660500,0.671662464,0.00106959
661838,0.671642176,0.001068942
663175,0.671650112,0.001073914
664513,0.671652288,0.001061807
665850,0.671664768,0.00104718
667188,0.671649664,0.001048297
668525,0.67165088,0.00102099
669863,0.67165504,0.001024488
671200,0.671654272,0.001014317
672538,0.671650112,0.001003101
673875,0.671644032,0.001010445
675213,0.671648192,0.000998434
676550,0.67164448,0.000989846
677888,0.671636352,0.001013018
679225,0.671653504,0.000992863
680563,0.671662912,0.000974881
681900,0.671670528,0.000980139
683238,0.671659392,0.000943751
684575,0.671655296,0.00096232
685913,0.671661504,0.000957165
687250,0.671645696,0.00093931
688588,0.6716528,0.000950198
689925,0.671674752,0.000927624
691263,0.671656256,0.000933364
692600,0.671652288,0.00092532
693938,0.671647552,0.000922988
695275,0.671663552,0.000910388
696613,0.67165952,0.000900805
697950,0.671629312,0.000906135
699288,0.671646208,0.000907743
700625,0.671625344,0.000895291
701963,0.671638976,0.000882993
703300,0.671650944,0.000874228
704638,0.67164256,0.000879943
705975,0.671646272,0.000857218
707313,0.671626624,0.000850644
708650,0.67164448,0.000861394
709988,0.671656064,0.000864923
711325,0.67163008,0.000828855
712663,0.671652416,0.000826557
714000,0.671660416,0.000820208
715338,0.671635968,0.00081584
716675,0.671649344,0.000819291
718013,0.67165664,0.000806393
719350,0.671641152,0.000799227
720688,0.671657344,0.000804848
722025,0.671643584,0.000790687
723363,0.671635584,0.000789691
724700,0.671632896,0.00077857
726038,0.671639872,0.000768779
727375,0.671629184,0.000762693
728713,0.671639872,0.0007598
730050,0.671638848,0.000751944
731388,0.671633344,0.000749548
732725,0.671632576,0.000755544
734063,0.67162624,0.000740026
735400,0.671630528,0.000732894
736738,0.671609792,0.000731873
738075,0.67165472,0.00072418
739413,0.671639168,0.000725689
740750,0.671657152,0.000712493
742088,0.67164768,0.000703193
743425,0.671634944,0.00069739
744763,0.671632448,0.000705058
746100,0.67163904,0.00067893
747438,0.671642624,0.000684093
748775,0.671636096,0.000685816
750113,0.67164,0.000670808
751450,0.671639424,0.000665277
752788,0.671650176,0.000663802
754125,0.671644928,0.000656088
755463,0.671635392,0.00064516
756800,0.671633088,0.00063523
758138,0.671636032,0.000624789
759475,0.671619648,0.000625659
760813,0.671641408,0.000615502
762150,0.671645952,0.00062926
763488,0.671636736,0.000620134
764825,0.671634432,0.000609217
766163,0.671641728,0.000616804
767500,0.67163488,0.000590796
768838,0.671651648,0.000569692
770175,0.671644928,0.000566583
771513,0.67163872,0.00056939
772850,0.671648768,0.000571279
774188,0.671635328,0.000562347
775525,0.671652224,0.000549412
776863,0.671651264,0.000558826
778200,0.671658304,0.000551543
779538,0.67163328,0.000536694
780875,0.67164512,0.000532711
782213,0.671649408,0.00052347
783550,0.67164736,0.000507506
784888,0.671648128,0.000515036
786225,0.67164448,0.000519666
787563,0.671638464,0.000500465
788900,0.671649152,0.000526779
790238,0.671642752,0.000500403
791575,0.67163104,0.000497222
792913,0.671640768,0.000474512
794250,0.67164992,0.000461402
795588,0.671643968,0.000456063
796925,0.671631936,0.000482186
798263,0.671643904,0.000451584
799600,0.67165216,0.000452001
800938,0.671643264,0.000439498
802275,0.671642432,0.000445442
803613,0.671641216,0.000439173
804950,0.6716432,0.000436698
806288,0.671650624,0.000435162
807625,0.671643328,0.000420169
808963,0.671660928,0.000425887
810300,0.67164704,0.000417442
811638,0.671643968,0.000408363
812975,0.671651776,0.0004193
814313,0.671651136,0.000398904
815650,0.671645696,0.000393778
816988,0.67165696,0.000381218
818325,0.671645568,0.00038543
819663,0.671646336,0.000366979
821000,0.67163296,0.000369835
822338,0.671646208,0.000345038
823675,0.671670016,0.000353571
825013,0.671635968,0.000347195
826350,0.671640512,0.000341783
827688,0.67162688,0.000333005
829025,0.671644928,0.000344538
