frequency_hz,s11_raw_real,s11_raw_imag
500000,-0.87685152,-0.002518864
501338,-0.876841152,-0.002507101
502675,-0.876826944,-0.002470426
504013,-0.876784192,-0.002466221
505350,-0.876837568,-0.002465089
506688,-0.876808192,-0.002435656
508025,-0.876788288,-0.002422812
509363,-0.8768064,-0.002434426
510700,-0.876806912,-0.002386014
512038,-0.876798144,-0.002386205
513375,-0.87680224,-0.002351812
514713,-0.876819264,-0.002344425
516050,-0.876787712,-0.002334895
517388,-0.876821952,-0.002310897
518725,-0.876818048,-0.002308394
520063,-0.87681152,-0.002280917
521400,-0.876816512,-0.002298923
522738,-0.876802432,-0.002261122
524075,-0.876779008,-0.002246838
525413,-0.876796864,-0.002228592
526750,-0.876800832,-0.002220206
528088,-0.87683968,-0.002196191
529425,-0.876787328,-0.002173909
530763,-0.876798656,-0.002167047
532100,-0.876779456,-0.002162464
533438,-0.876767488,-0.002131118
534775,-0.876793408,-0.002134362
536113,-0.876788992,-0.002110664
537450,-0.876785472,-0.00209817
538788,-0.876805568,-0.002094628
540125,-0.876774208,-0.002067235
541463,-0.876791808,-0.002046364
542800,-0.876796224,-0.00204332
544138,-0.876790912,-0.002041911
545475,-0.876816064,-0.002019864
546813,-0.876804224,-0.001976903
548150,-0.87679456,-0.001994358
549488,-0.876802624,-0.001966535
550825,-0.876811392,-0.001949266
552163,-0.87680512,-0.001939746
553500,-0.876771008,-0.001944498
554838,-0.876799104,-0.001906143
556175,-0.876785856,-0.001909443
557513,-0.87676384,-0.001885196
558850,-0.876793344,-0.001885441
560188,-0.87678304,-0.001862341
561525,-0.87678048,-0.001864427
562863,-0.876768576,-0.001840803
564200,-0.876811008,-0.001784526
565538,-0.876763136,-0.001798532
566875,-0.876771072,-0.001790924
568213,-0.87677792,-0.001782629
569550,-0.876778432,-0.001782564
570888,-0.876775296,-0.001739786
572225,-0.876781376,-0.001738622
573563,-0.876782208,-0.001732325
574900,-0.876779264,-0.001725452
576238,-0.87676032,-0.001706209
577575,-0.8767824,-0.001665359
578913,-0.876769088,-0.001663388
580250,-0.876782848,-0.001639494
581588,-0.87678176,-0.001660794
582925,-0.876785216,-0.001612774
584263,-0.876797632,-0.001607242
585600,-0.876764608,-0.001593164
586938,-0.87676352,-0.001590247
588275,-0.876782912,-0.001572516
589613,-0.876738752,-0.001528926
590950,-0.876778816,-0.001550072
592288,-0.876764992,-0.001532309
593625,-0.876746304,-0.001508894
594963,-0.87676256,-0.001493526
596300,-0.876763968,-0.001496598
597638,-0.876773696,-0.001473233
598975,-0.876748544,-0.001466796
600313,-0.876804544,-0.001450878
601650,-0.876735552,-0.001422104
602988,-0.87674688,-0.00141564
604325,-0.876777024,-0.001400078
