frequency_hz,s11_raw_real,s11_raw_imag
500000,0.536415872,-0.434009568
501338,0.535664608,-0.435069184
502675,0.534887488,-0.436164064
504013,0.534202944,-0.437280352
505350,0.533381408,-0.438288224
506688,0.532628768,-0.439369216
508025,0.531871616,-0.44043152
509363,0.531114816,-0.441488576
510700,0.530370176,-0.442561664
512038,0.529567136,-0.44361664
513375,0.528828928,-0.444695488
514713,0.528095488,-0.445746304
516050,0.52735936,-0.446844352
517388,0.526541056,-0.4478832
518725,0.525742816,-0.448910208
520063,0.524980896,-0.449983552
521400,0.524201408,-0.451045696
522738,0.523414144,-0.45208688
524075,0.522617504,-0.453148736
525413,0.521870848,-0.454212384
526750,0.5210536,-0.455238528
528088,0.52029456,-0.45631632
529425,0.519496864,-0.457354976
530763,0.518712288,-0.458414048
532100,0.517935328,-0.45947792
533438,0.517121088,-0.460502304
534775,0.516318368,-0.461573408
536113,0.51553024,-0.462614208
537450,0.514714112,-0.463642208
538788,0.51389456,-0.464684448
540125,0.512948384,-0.465630048
541463,0.512307296,-0.466775264
542800,0.511510016,-0.467829152
544138,0.51068736,-0.468880064
545475,0.509851168,-0.46991472
546813,0.509049184,-0.470947584
548150,0.508229312,-0.471957344
549488,0.507394784,-0.473023072
550825,0.50657536,-0.474067616
552163,0.505800128,-0.475101408
553500,0.504928288,-0.476121504
554838,0.504104736,-0.477154528
556175,0.503270976,-0.478201792
557513,0.502422496,-0.479207616
558850,0.50157856,-0.480227424
560188,0.500740544,-0.481281056
561525,0.499917952,-0.482305152
562863,0.499059424,-0.483312384
564200,0.498298336,-0.484418208
565538,0.497405216,-0.485432736
566875,0.496549664,-0.486427904
568213,0.495675072,-0.487414624
569550,0.4948256,-0.488427936
570888,0.493957504,-0.489451488
572225,0.493113312,-0.490503328
573563,0.492241248,-0.49147104
574900,0.491363712,-0.492520032
576238,0.49050624,-0.493480608
577575,0.489657408,-0.494545696
578913,0.48879072,-0.495559552
580250,0.487927264,-0.496561728
581588,0.487041248,-0.4975592
582925,0.486173824,-0.498580448
584263,0.485298048,-0.49957744
585600,0.48441072,-0.500581216
586938,0.483532832,-0.501606688
588275,0.482700864,-0.502635552
589613,0.481749088,-0.503635296
590950,0.480869984,-0.50460416
592288,0.479975872,-0.505599072
593625,0.479093696,-0.506605152
594963,0.478196448,-0.507595168
596300,0.477305856,-0.508624896
597638,0.476390464,-0.509593792
598975,0.47549552,-0.510607296
600313,0.474580192,-0.51159216
601650,0.473677088,-0.512571168
602988,0.472770848,-0.513565728
604325,0.471873984,-0.514574048
605663,0.470966112,-0.515543872
607000,0.470041152,-0.51654016
608338,0.469145696,-0.517529952
609675,0.468216608,-0.518512608
611013,0.467292672,-0.519492256
612350,0.466361696,-0.520487264
613688,0.465430112,-0.52145456
615025,0.464543968,-0.522467968
616363,0.463578688,-0.523411744
617700,0.462636576,-0.524407328
619038,0.461720416,-0.525371072
620375,0.460775072,-0.526346432
621713,0.459844608,-0.527338688
623050,0.458906912,-0.528301728
624388,0.458007648,-0.529298592
625725,0.45700192,-0.530241952
627063,0.45607904,-0.531226144
628400,0.45514208,-0.532192832
629738,0.454158304,-0.53317248
631075,0.453223008,-0.53410464
632413,0.452253984,-0.53510416
633750,0.4513184,-0.536038336
635088,0.450346816,-0.537015616
636425,0.449388448,-0.537963008
637763,0.448432832,-0.538915136
639100,0.447470784,-0.539876736
640438,0.44649056,-0.540846528
641775,0.44550432,-0.54176832
643113,0.444529952,-0.542749376
644450,0.443572672,-0.543692032
645788,0.442604608,-0.544641984
647125,0.441626912,-0.545624064
648463,0.440629568,-0.546529024
649800,0.439651328,-0.547489728
651138,0.438639264,-0.548456256
652475,0.437660544,-0.549375424
653813,0.436677344,-0.550317824
655150,0.435690688,-0.551266368
656488,0.43468256,-0.552205504
657825,0.43371408,-0.553139712
659163,0.43271712,-0.554093056
660500,0.431707584,-0.55501856
661838,0.430693728,-0.555945024
663175,0.429699136,-0.556892672
664513,0.428667552,-0.557807296
