frequency_hz,s11_raw_real,s11_raw_imag
500000,0.67156288,0.001999922
501338,0.671589696,0.001974834
502675,0.671583808,0.001960841
504013,0.671563968,0.00196102
505350,0.671577984,0.001949031
506688,0.671590464,0.001932096
508025,0.671594176,0.001914658
509363,0.671584256,0.001926236
510700,0.671580224,0.00190663
512038,0.671602368,0.001905532
513375,0.671591744,0.001884605
514713,0.671589376,0.001876979
516050,0.671602368,0.001891898
517388,0.67159456,0.001861995
518725,0.671586816,0.001857714
520063,0.671579712,0.001854788
521400,0.671578944,0.001844091
522738,0.671580992,0.001843047
524075,0.671576704,0.001828815
525413,0.671601024,0.001830539
526750,0.67159392,0.001817629
528088,0.671567104,0.001806983
529425,0.67159648,0.001807657
530763,0.671593152,0.001792944
532100,0.671602816,0.001793551
533438,0.671598016,0.001787485
534775,0.67159648,0.001772107
536113,0.67160288,0.001753286
537450,0.671586752,0.001766119
538788,0.671587328,0.001740076
540125,0.671585024,0.001733242
541463,0.671601664,0.001715699
542800,0.671596864,0.001723568
544138,0.67159936,0.001717526
545475,0.67159712,0.001712632
546813,0.67159936,0.001695009
548150,0.67159776,0.00167581
549488,0.671594752,0.001685054
550825,0.671592192,0.001679354
552163,0.67157984,0.001664678
553500,0.671603904,0.001654757
554838,0.671603136,0.001653107
556175,0.671591296,0.001623616
557513,0.67160384,0.001629925
558850,0.67159616,0.001633795
560188,0.671600064,0.001611728
561525,0.67159744,0.001615713
562863,0.671597568,0.001609264
564200,0.67157152,0.001591664
565538,0.671588416,0.001592195
566875,0.67161088,0.001565215
568213,0.671590528,0.001577746
569550,0.671580608,0.001567063
570888,0.671598464,0.001557478
572225,0.671580672,0.001549325
573563,0.671583104,0.001551914
574900,0.671612288,0.001545842
576238,0.67160192,0.001548534
577575,0.671599552,0.001515566
578913,0.671596736,0.001519407
580250,0.671602432,0.001518027
581588,0.671599552,0.001501483
582925,0.671590208,0.00150799
584263,0.67159744,0.001486036
585600,0.671611968,0.001494399
586938,0.671578432,0.001504332
588275,0.671593408,0.001478789
589613,0.67160128,0.001468831
590950,0.671602176,0.001430491
592288,0.67158976,0.001452825
593625,0.67159232,0.001454128
594963,0.671590144,0.001447838
596300,0.671608832,0.001435614
597638,0.671604608,0.001428158
598975,0.671599552,0.0014225
600313,0.671598848,0.001416698
601650,0.671589248,0.001409497
602988,0.671613952,0.001404169
604325,0.67159168,0.001395908
605663,0.67159552,0.001388133
607000,0.671603328,0.001401554
608338,0.67160064,0.001374101
609675,0.67159104,0.001350291
611013,0.671602304,0.001353915
612350,0.671597568,0.001346893
613688,0.67158176,0.001356465
615025,0.671599232,0.001337434
616363,0.671593472,0.001331986
617700,0.67160256,0.001325955
619038,0.671570048,0.001322957
620375,0.671596032,0.001305162
621713,0.671599616,0.001307587
623050,0.671582848,0.001292743
624388,0.671610944,0.001294601
625725,0.671594688,0.00127656
627063,0.671608064,0.001282241
628400,0.671586368,0.001272531
629738,0.671588992,0.001251586
631075,0.671602816,0.001275834
632413,0.671599168,0.001251185
633750,0.671593408,0.001254954
635088,0.67161536,0.001211412
636425,0.671617344,0.001199453
637763,0.671632704,0.001195673
639100,0.671631552,0.001187488
640438,0.671609216,0.00118775
641775,0.67161472,0.001178959
643113,0.671610304,0.001173553
644450,0.671622912,0.001165628
645788,0.67162848,0.001177811
647125,0.671627392,0.001145553
648463,0.671635904,0.001150031
649800,0.67161792,0.001132115
651138,0.671627328,0.001130572
652475,0.671617664,0.001124082
653813,0.671611584,0.001132674
655150,0.671633088,0.001118989
656488,0.671644928,0.001118776
657825,0.671617344,0.001106002
659163,0.671614976,0.001108903
660500,0.671617088,0.001094273
661838,0.671614976,0.001085568
663175,0.671613568,0.001089509
664513,0.67162336,0.001080563
665850,0.671636864,0.001072858
667188,0.671628544,0.001062231
668525,0.671628672,0.001055407
669863,0.67162112,0.001049549
671200,0.671618304,0.001045775
672538,0.671608832,0.00104617
673875,0.671621504,0.001034612
