frequency_hz,s11_raw_real,s11_raw_imag
500000,-0.876630912,-0.003252129
501338,-0.876612544,-0.003197525
502675,-0.876615168,-0.003190233
504013,-0.876516224,-0.003175766
505350,-0.876631744,-0.003160136
506688,-0.876612736,-0.003129107
508025,-0.87661056,-0.003128557
509363,-0.876619968,-0.00313086
510700,-0.876620672,-0.003106209
512038,-0.876623936,-0.003096579
513375,-0.876632832,-0.003072021
514713,-0.8766112,-0.003054862
516050,-0.876655808,-0.003022523
517388,-0.876626432,-0.003009045
518725,-0.87659616,-0.003014362
520063,-0.876604992,-0.003000852
521400,-0.876618048,-0.002986333
522738,-0.876603456,-0.002971202
524075,-0.876617408,-0.002949287
525413,-0.876618816,-0.002938242
526750,-0.8766,-0.002930396
528088,-0.876587456,-0.00292569
529425,-0.876609344,-0.002882812
530763,-0.876613312,-0.002862789
532100,-0.876598976,-0.002866145
533438,-0.876596032,-0.002837948
534775,-0.87661472,-0.00281284
536113,-0.876643904,-0.002828948
537450,-0.876622528,-0.002810408
538788,-0.87659104,-0.002778846
540125,-0.876525888,-0.002769103
541463,-0.876601088,-0.002765758
542800,-0.876583488,-0.002739817
544138,-0.876618176,-0.002736036
545475,-0.876607424,-0.002715401
546813,-0.876624448,-0.002717048
548150,-0.876608576,-0.002670874
549488,-0.87660608,-0.002655193
550825,-0.876596224,-0.002650273
552163,-0.876580736,-0.00261976
553500,-0.876612928,-0.00260398
554838,-0.8765968,-0.002637377
556175,-0.876595264,-0.002598186
557513,-0.876586496,-0.002578785
558850,-0.87658848,-0.002569346
560188,-0.87658912,-0.002559855
561525,-0.876587136,-0.002555764
562863,-0.876602816,-0.002548259
564200,-0.876540096,-0.002516302
565538,-0.876569792,-0.002553254
566875,-0.87658944,-0.00247245
568213,-0.876607552,-0.002471432
569550,-0.876590528,-0.002460009
570888,-0.876599424,-0.002447836
572225,-0.876571328,-0.002451244
573563,-0.876618624,-0.002435771
574900,-0.876575744,-0.002392447
576238,-0.876610304,-0.002375141
577575,-0.876595648,-0.002403025
578913,-0.876571712,-0.002369444
580250,-0.876579968,-0.002324085
581588,-0.876577664,-0.002324732
582925,-0.876573504,-0.002337564
584263,-0.87653984,-0.002304437
585600,-0.8765744,-0.002261481
586938,-0.87657952,-0.002296083
588275,-0.876564224,-0.002235955
589613,-0.876534848,-0.002249762
590950,-0.876556288,-0.002227013
592288,-0.876586112,-0.002213551
593625,-0.8765664,-0.00219825
594963,-0.876546816,-0.002184977
596300,-0.876569152,-0.002169338
597638,-0.876554752,-0.002169459
598975,-0.876578688,-0.002156519
600313,-0.876608256,-0.002147463
601650,-0.876584192,-0.002105769
602988,-0.87657696,-0.002102206
604325,-0.876570432,-0.002077382
605663,-0.87659296,-0.002072711
607000,-0.876571968,-0.002065955
608338,-0.876559936,-0.002061836
609675,-0.876569088,-0.002058927
611013,-0.876563008,-0.002039647
612350,-0.876598528,-0.0020014
613688,-0.87657088,-0.002019452
615025,-0.876571584,-0.001988066
616363,-0.87656064,-0.001977161
617700,-0.87659296,-0.001975519
619038,-0.87655712,-0.00195483
620375,-0.876552448,-0.001945377
621713,-0.8765696,-0.001927576
623050,-0.876557376,-0.001911944
624388,-0.876578624,-0.001896379
625725,-0.87656416,-0.001860039
627063,-0.876566528,-0.001861584
628400,-0.876538368,-0.00184063
629738,-0.876556288,-0.001854271
631075,-0.8765888,-0.001833937
632413,-0.87655936,-0.001823288
633750,-0.876545856,-0.001784988
635088,-0.87651872,-0.001811388
636425,-0.876549696,-0.001795864
637763,-0.87652384,-0.001769549
639100,-0.87653472,-0.001774053
640438,-0.876529792,-0.001743933
641775,-0.876552704,-0.001741012
643113,-0.876523648,-0.001708799
644450,-0.876529728,-0.001705351
645788,-0.87653344,-0.001675542
647125,-0.87652896,-0.001651432
648463,-0.876543104,-0.001652787
649800,-0.87655104,-0.001654786
651138,-0.876537152,-0.0016454
652475,-0.876556928,-0.001638689
653813,-0.876551232,-0.001600133
655150,-0.876539968,-0.001589392
656488,-0.87653568,-0.001591486
657825,-0.876542208,-0.001559164
659163,-0.876542208,-0.00156411
660500,-0.876548928,-0.001547254
661838,-0.876571136,-0.001522414
663175,-0.876556416,-0.001515388
664513,-0.876539008,-0.001505501
665850,-0.87651552,-0.001467142
667188,-0.87655136,-0.0014986
668525,-0.876540096,-0.001459386
669863,-0.876512192,-0.001463898
671200,-0.87654592,-0.001430438
672538,-0.876523072,-0.001436083
673875,-0.876504576,-0.001394981
675213,-0.876527232,-0.001405304
676550,-0.876545024,-0.001385849
677888,-0.876511744,-0.001365767
679225,-0.87655072,-0.001379437
680563,-0.876518016,-0.001350421
681900,-0.876515776,-0.001356328
683238,-0.876504768,-0.001316503
684575,-0.876523584,-0.001306037
685913,-0.876543488,-0.001295867
687250,-0.876540864,-0.001291018
688588,-0.876518528,-0.001273926
689925,-0.87655008,-0.001273061
691263,-0.87653344,-0.001231507
692600,-0.876527296,-0.001242627
693938,-0.876522752,-0.001242064
695275,-0.876505344,-0.00121905
696613,-0.876515264,-0.00121284
697950,-0.876496448,-0.001177495
699288,-0.876512064,-0.001203947
700625,-0.876522624,-0.001170679
701963,-0.876511872,-0.001140812
703300,-0.876548032,-0.001140398
704638,-0.876524032,-0.001131757
705975,-0.87651744,-0.001125812
707313,-0.876538496,-0.001103441
708650,-0.87650816,-0.001077644
709988,-0.876493952,-0.001081535
711325,-0.87651008,-0.001071353
712663,-0.8765248,-0.001069351
714000,-0.87648992,-0.001044522
715338,-0.876521856,-0.001039571
716675,-0.876535296,-0.001028353
718013,-0.876524928,-0.000997144
719350,-0.87654976,-0.000987566
720688,-0.876488896,-0.00098021
722025,-0.876494784,-0.000955537
723363,-0.876522304,-0.000955111
724700,-0.876501952,-0.000954241
726038,-0.876528256,-0.000948628
727375,-0.876511232,-0.000914076
728713,-0.876498432,-0.000912675
730050,-0.876508288,-0.000904333
731388,-0.876505344,-0.000895375
732725,-0.876516224,-0.00087185
734063,-0.876539776,-0.000855756
735400,-0.876508864,-0.000842952
736738,-0.876497024,-0.000817191
738075,-0.876477248,-0.000798519
739413,-0.876508864,-0.000825296
740750,-0.876507392,-0.00079398
742088,-0.876506432,-0.000773544
743425,-0.876514112,-0.000768559
744763,-0.876476032,-0.000751984
746100,-0.876472192,-0.000755036
747438,-0.876499008,-0.000722942
748775,-0.876499136,-0.000729256
750113,-0.87652096,-0.000726254
751450,-0.876487232,-0.000697375
752788,-0.876523264,-0.00066648
754125,-0.876510144,-0.000653735
755463,-0.876516224,-0.000650218
756800,-0.8765296,-0.000634682
758138,-0.87651168,-0.000643644
759475,-0.87651648,-0.000618186
760813,-0.876474368,-0.000622757
762150,-0.87650016,-0.00060169
763488,-0.87651904,-0.00059199
764825,-0.8765088,-0.00059497
766163,-0.876504,-0.000555059
767500,-0.876461696,-0.00053924
768838,-0.876506304,-0.000533776
770175,-0.876490112,-0.000537494
771513,-0.876475968,-0.000514396
772850,-0.876486464,-0.000521915
774188,-0.876471872,-0.000492789
775525,-0.876496448,-0.000485687
776863,-0.876493568,-0.000476997
778200,-0.876486016,-0.000442891
779538,-0.876491712,-0.000470732
780875,-0.876494976,-0.000436605
782213,-0.876483264,-0.000426753
783550,-0.876485312,-0.000406201
784888,-0.876474688,-0.00040608
786225,-0.876479296,-0.000392974
787563,-0.876490944,-0.000377766
788900,-0.876446336,-0.000343268
790238,-0.876483136,-0.000338801
791575,-0.876484544,-0.000343405
792913,-0.87649984,-0.000304405
794250,-0.87648832,-0.000320758
795588,-0.876476992,-0.00030377
796925,-0.876506048,-0.000304646
798263,-0.876489984,-0.000299807
799600,-0.876462848,-0.000253523
800938,-0.876458944,-0.000256245
802275,-0.876478528,-0.000245575
803613,-0.876470464,-0.0001996
804950,-0.876471872,-0.000241117
806288,-0.876454848,-0.000217365
807625,-0.876489408,-0.000179348
808963,-0.876478848,-0.000187845
810300,-0.876448256,-0.000165271
811638,-0.876465728,-0.000174416
812975,-0.876471616,-0.000153861
814313,-0.876476032,-0.000118336
815650,-0.876470016,-0.000145808
816988,-0.876470208,-0.000138837
818325,-0.876473536,-9.7622e-05
819663,-0.876480832,-8.4985e-05
821000,-0.876482112,-9.2003e-05
822338,-0.876466816,-7.1456e-05
823675,-0.876454208,-6.1926e-05
825013,-0.876492288,-4.4894e-05
826350,-0.876453632,-3.4185e-05
827688,-0.876488064,-4.4003e-05
829025,-0.8764576,-7.629e-06
830363,-0.876479424,-5.627e-06
831700,-0.87646784,2.8215e-05
833038,-0.876494016,6.759e-06
834375,-0.87646016,1.7702e-05
835713,-0.87649248,5.9536e-05
