frequency_hz,s11_raw_real,s11_raw_imag
500000,0.555025344,-0.405603904
501338,0.554311808,-0.406535392
502675,0.553646336,-0.407580384
504013,0.552963328,-0.408538112
505350,0.552363904,-0.409621984
506688,0.551705216,-0.41063856
508025,0.551071872,-0.411658592
509363,0.550403968,-0.41264992
510700,0.549759808,-0.41365008
512038,0.549102272,-0.414682464
513375,0.548457472,-0.415693664
514713,0.54780896,-0.41672848
516050,0.547023936,-0.41764544
517388,0.546432576,-0.418701088
518725,0.545817344,-0.419756064
520063,0.545148096,-0.420745056
521400,0.544458752,-0.42177184
522738,0.543789824,-0.422720992
524075,0.543106176,-0.423739744
525413,0.542457472,-0.4247568
526750,0.541789312,-0.425762048
528088,0.541188672,-0.426818688
529425,0.540411712,-0.427764544
530763,0.539752576,-0.428765696
532100,0.539049408,-0.429753664
533438,0.53836992,-0.430786272
534775,0.537688704,-0.431777056
536113,0.537006784,-0.432771936
537450,0.536319008,-0.433780896
538788,0.535589568,-0.434739616
540125,0.534737184,-0.43565264
541463,0.534233984,-0.436757024
542800,0.533531488,-0.437742848
544138,0.532835616,-0.438730272
545475,0.532121248,-0.439734944
546813,0.531410144,-0.440735392
548150,0.530753568,-0.441713376
549488,0.530024,-0.442720192
550825,0.52930336,-0.44371824
552163,0.528630784,-0.444702176
553500,0.52787776,-0.445674912
554838,0.52718176,-0.446672896
556175,0.526451456,-0.447639008
557513,0.52573328,-0.448635904
558850,0.525022016,-0.449608
560188,0.524291808,-0.450600416
561525,0.523565888,-0.451579616
562863,0.522871744,-0.452587264
564200,0.521979808,-0.453482016
565538,0.521364256,-0.454537472
566875,0.52066624,-0.45549808
568213,0.519901344,-0.456494848
569550,0.519235488,-0.457498048
570888,0.518445248,-0.458444352
572225,0.51772464,-0.459415808
573563,0.517010464,-0.460410848
574900,0.516235232,-0.461377248
576238,0.515549312,-0.462401728
577575,0.514756512,-0.4633192
578913,0.51399232,-0.464300864
580250,0.513271808,-0.46527104
581588,0.51251168,-0.46624112
582925,0.51178032,-0.467220192
584263,0.511013088,-0.468175552
585600,0.510247712,-0.4691432
586938,0.509487104,-0.470108064
588275,0.508777568,-0.471091232
589613,0.507976416,-0.472051008
590950,0.507213696,-0.473003328
592288,0.506440448,-0.473959936
593625,0.505679264,-0.474931808
594963,0.50490976,-0.475913408
596300,0.504133536,-0.4768656
597638,0.503353408,-0.477822752
598975,0.502609248,-0.478770176
600313,0.501729376,-0.479696256
601650,0.50103344,-0.48068784
602988,0.500239136,-0.48163776
604325,0.499484256,-0.48262
605663,0.498715008,-0.48354368
607000,0.49790976,-0.484495264
608338,0.49711632,-0.485472064
609675,0.49632752,-0.486402272
611013,0.495543904,-0.487359328
612350,0.494736096,-0.488335072
613688,0.493944928,-0.489251104
615025,0.49315184,-0.490205952
616363,0.492355968,-0.491177344
617700,0.491557632,-0.492095168
619038,0.490764192,-0.49304864
620375,0.489949248,-0.4940016
621713,0.489116192,-0.494926368
623050,0.488331232,-0.495893024
624388,0.487469216,-0.496791808
625725,0.486710048,-0.497772672
627063,0.485895904,-0.498701408
628400,0.485087392,-0.499629952
629738,0.484258016,-0.500580896
631075,0.483439712,-0.501519968
632413,0.48261472,-0.502415488
633750,0.481803392,-0.503377088
635088,0.480992608,-0.50430192
636425,0.480137792,-0.505240864
637763,0.47930272,-0.506177536
639100,0.478483456,-0.507100224
640438,0.477653248,-0.508044416
641775,0.476822048,-0.508960064
643113,0.475975392,-0.509877088
644450,0.475127008,-0.510833312
645788,0.474313696,-0.511717504
647125,0.473487616,-0.51267456
648463,0.47258704,-0.51356096
649800,0.471761216,-0.514500032
651138,0.470902784,-0.515424416
652475,0.470083232,-0.516318976
653813,0.469238592,-0.517244352
655150,0.46835056,-0.518186976
656488,0.467534048,-0.51910992
657825,0.466640352,-0.520003904
659163,0.4657824,-0.52091408
660500,0.464951552,-0.521820896
661838,0.464063168,-0.52275152
663175,0.463225152,-0.523675968
664513,0.462377024,-0.524562848
665850,0.46147328,-0.525479616
667188,0.4606072,-0.526374592
668525,0.459724288,-0.527295296
669863,0.458867776,-0.52822
671200,0.457999328,-0.52912064
672538,0.457092288,-0.5299896
673875,0.45624,-0.530921632
675213,0.455359328,-0.531811072
676550,0.454471104,-0.532730752
677888,0.453602976,-0.533630368
679225,0.452689536,-0.534490656
680563,0.451804128,-0.535438304
681900,0.450935008,-0.536301184
683238,0.449993568,-0.53717312
684575,0.449117152,-0.53809376
685913,0.448233248,-0.538968
687250,0.447315232,-0.539847232
688588,0.446433216,-0.540744448
689925,0.44552992,-0.54165824
691263,0.444624416,-0.542540352
692600,0.443731968,-0.543422464
693938,0.442818528,-0.5443056
695275,0.44193808,-0.545207296
696613,0.441038208,-0.546103488
697950,0.440082336,-0.54696672
699288,0.439184032,-0.547851648
700625,0.438275808,-0.548729536
701963,0.437338208,-0.549605184
703300,0.436442752,-0.550506432
704638,0.435497664,-0.551350016
705975,0.434573728,-0.552254528
707313,0.433663968,-0.553107456
708650,0.432706304,-0.553975616
709988,0.431783744,-0.55486208
711325,0.430884512,-0.555722624
712663,0.42991632,-0.556604416
714000,0.429008832,-0.557465088
715338,0.4280288,-0.55831392
716675,0.4271296,-0.559202304
718013,0.426177856,-0.560068672
719350,0.425220096,-0.560925376
720688,0.42425024,-0.561764032
722025,0.423345536,-0.56262816
723363,0.422381312,-0.563503296
724700,0.421472736,-0.564355584
726038,0.420483456,-0.565215616
727375,0.419536352,-0.566067328
728713,0.418585952,-0.566917248
730050,0.417615264,-0.567762048
731388,0.416654272,-0.56862016
732725,0.415705824,-0.569462976
734063,0.41471792,-0.570320896
735400,0.413777824,-0.571194432
736738,0.412802368,-0.571990592
738075,0.411838944,-0.572864768
739413,0.41088384,-0.57371552
740750,0.4099008,-0.57455008
742088,0.408907456,-0.575395712
743425,0.407955648,-0.57621312
744763,0.406964288,-0.57706336
746100,0.405986336,-0.57790112
747438,0.40498864,-0.578726976
748775,0.404026016,-0.579572416
750113,0.403033152,-0.580391616
751450,0.40204144,-0.58122016
752788,0.401027744,-0.582063616
754125,0.400070624,-0.582873472
755463,0.399055136,-0.58371168
756800,0.39807936,-0.58458208
758138,0.397084896,-0.585360576
759475,0.396061184,-0.586195584
760813,0.395086752,-0.58700256
