service,service_label,configuration,configuration_label,source,minimum_swr,median_swr,maximum_swr,coverage_at_or_below_2_percent,coverage_at_or_below_3_percent
6m,6m amateur,rh789:setting-6,setting 6,broadband,26.05857895818777,58.82004227637218,98.50672785285445,0.0,0.0
fm-broadcast,FM broadcast,rh789:setting-2,setting 2,averaged_zoom,1.4091793441830658,4.2354464808086725,16.888061617115714,19.1904047976012,37.23138430784608
civil-air,Civil air,rh789:setting-6,setting 6,broadband,10.931288904197528,27.997589509109996,46.81058904631718,0.0,0.0
2m,2m amateur,rh789:setting-6,setting 6,averaged_zoom,4.512775808361196,4.787819506075034,5.150218793270766,0.0,0.0
vhf-lmr,VHF LMR,rh789:setting-5,setting 5,averaged_zoom,2.011130833396138,3.5882911668896957,9.484617465472379,0.0,39.53023488255872
marine-vhf,Marine VHF,rh789:setting-5,setting 5,averaged_zoom,2.050857269636443,2.3473917198775274,3.3743041223598884,0.0,91.30869130869131
railroad,Railroad,rh789:setting-5,setting 5,averaged_zoom,2.139207989980587,2.1834898833053393,2.2353328334051334,0.0,100.0
noaa-weather,NOAA weather,rh789:setting-5,setting 5,averaged_zoom,2.3775722539601523,2.397057246026605,2.4192461977114075,0.0,100.0
1.25m,1.25m amateur,rh789:setting-3,setting 3,averaged_zoom,2.385730468680234,2.5399174212755784,2.624404052231737,0.0,100.0
military-air,Military air,rh789:setting-2,setting 2,broadband,1.7966941471532438,6.3971610118673015,130.52405193277156,4.402825694102185,29.34121899129292
federal-uhf,Federal UHF,rh789:setting-4,setting 4,averaged_zoom,1.2961437652269472,1.7359191746354468,2.3824299654591883,71.56421789105447,100.0
70cm,70cm amateur,rh789:setting-4,setting 4,averaged_zoom,2.337434166406473,3.7320854002541126,6.190409611900704,0.0,25.59146951016328
uhf-lmr,UHF LMR,rh789:setting-6,setting 6,averaged_zoom,1.0920098542598429,1.3705023651539798,1.8701703087777022,100.0,100.0
t-band,T-band,rh789:setting-3,setting 3,averaged_zoom,1.367716408394086,1.6265760206684499,2.633032659385258,76.83079230192452,100.0
700-public-safety-downlink,700 MHz public safety,rh789:setting-5,setting 5,broadband,31.703976344440186,48.06789823532607,93.09242711993612,0.0,0.0
800-public-safety-downlink,800 MHz public safety,rh789:setting-3,setting 3,broadband,5649.462421134617,very poor / outside calibrated dynamic range,very poor / outside calibrated dynamic range,0.0,0.0
33cm,33cm amateur,rh789:setting-3,setting 3,broadband,6.362604321288504,89.35174749395472,very poor / outside calibrated dynamic range,0.0,0.0
900-trunking-downlink,900 MHz trunking,rh789:setting-4,setting 4,broadband,13.317018387665989,16.290409328936573,27.327643953048568,0.0,0.0
uat-978,UAT 978,rh789:setting-4,setting 4,broadband,6.5292772814271505,7.728108681173969,25.661452997558793,0.0,0.0
ads-b-1090,ADS-B 1090,rh789:setting-1,setting 1,broadband,3.789852774828803,5.763544632858926,7.337658510358323,0.0,0.0
