frequency_hz,s11_real,s11_imag,swr,return_loss_db,resistance_ohm,reactance_ohm
976000000,0.07562900783065642,-0.46573489422370234,2.7866990262393836,6.524187745190093,36.27928432655781,-43.47093721020252
976004000,0.06642352572199611,-0.46468093678135475,2.7693487613850807,6.56905752616646,35.8466330775929,-42.7295406183748
976008000,0.06677343237887227,-0.4641833552318454,2.7662052000015915,6.577256391973011,35.90256391207353,-42.72760948219451
976012000,0.06829471267311006,-0.46625707424716256,2.7823788882993665,6.535300027402284,35.8342416202145,-42.954379364838665
976016000,0.06947064589911704,-0.4631366821870569,2.7616470592327103,6.589182835578043,36.1297833538884,-42.86792450363176
976020000,0.06561415438567203,-0.46689349001753394,2.784162281923007,6.530707974066249,35.639683504343786,-42.79239770488126
976024000,0.0641871789265754,-0.4651646968306122,2.770542483758185,6.5659497290874445,35.68742795322612,-42.592669760964945
976028000,0.0664026857775906,-0.4638462378953685,2.763467047526753,6.584415379677076,35.906700007727785,-42.68167763719353
976032000,0.06478403882293361,-0.4653552709579745,2.772467819512249,6.5609436958833465,35.70649856325592,-42.64680300319628
976036000,0.06408379797287547,-0.46498724134241304,2.7691929589844553,6.569463377312239,35.69466238078105,-42.57531237508591
976040000,0.06383349459447786,-0.46620108983351166,2.7775115438204616,6.547867406140532,35.59227370975508,-42.62405357851492
976044000,0.06271046274092244,-0.46804886041738825,2.7895383866541104,6.516905839429827,35.395901085392246,-42.643657694309496
976048000,0.06581831363268158,-0.469460948270851,2.8026598413375146,6.48347388827087,35.462545319970666,-42.94809901869387
976052000,0.06404434468399493,-0.4695212651121695,2.8013351617898024,6.486832727024262,35.36133718362358,-42.82143368489998
976056000,0.06477104821998596,-0.4704529781315395,2.808731756745491,6.468124465357048,35.33272843518126,-42.925356564307805
976060000,0.06374026181748578,-0.47143566896126143,2.8147928902980164,6.452877907432466,35.20484752013452,-42.90326994875693
976064000,0.06635696756113586,-0.47054029135956427,2.810947896366853,6.462541117903628,35.41260513249539,-43.04650782841405
976068000,0.06440596797254272,-0.4704149485311793,2.8080984079030396,6.469721980172347,35.315656990678285,-42.8965545079448
976072000,0.06647654047922386,-0.47246927431816466,2.824991257643016,6.427393169993812,35.277172123547274,-43.1599690593752
976076000,0.0606554184094502,-0.4722425640113555,2.817682438059116,6.445635778626086,34.97923718208794,-42.722142269290174
976080000,0.06334764206317434,-0.4712473234209711,2.813053817106062,6.457244788121731,35.19733007228627,-42.864370562857054
