frequency_hz,s11_raw_real,s11_raw_imag
50000000,-0.847596608,0.184672192
50028750,-0.847557568,0.184820128
50057500,-0.847533568,0.184940576
50086250,-0.847498048,0.18500064
50115000,-0.847467264,0.185095264
50143750,-0.84739296,0.185194848
50172500,-0.847390144,0.185324944
50201250,-0.84737472,0.18544928
50230000,-0.84739776,0.18558912
50258750,-0.847335424,0.185663232
50287500,-0.847254784,0.18579256
50316250,-0.847277696,0.185911648
50345000,-0.84726112,0.185995216
50373750,-0.84719648,0.186086352
50402500,-0.847136448,0.186197808
50431250,-0.847151296,0.186311232
50460000,-0.847107648,0.186423856
50488750,-0.84707744,0.186502688
50517500,-0.8470352,0.186600832
50546250,-0.846985024,0.18670408
50575000,-0.846942656,0.186842096
50603750,-0.846920576,0.186914208
50632500,-0.846933696,0.187027008
50661250,-0.846842496,0.187148816
50690000,-0.84679712,0.18725712
50718750,-0.846806016,0.187408176
50747500,-0.84677088,0.187475488
50776250,-0.84674784,0.187567952
50805000,-0.846727424,0.187662384
50833750,-0.846667648,0.187748224
50862500,-0.84661856,0.18792928
50891250,-0.846608768,0.188001696
50920000,-0.846573888,0.188095488
50948750,-0.84654336,0.188199344
50977500,-0.846504576,0.18830936
51006250,-0.846484224,0.188350896
51035000,-0.846443776,0.188479088
51063750,-0.846358528,0.188597888
51092500,-0.8463472,0.18876864
51121250,-0.846328704,0.188866976
51150000,-0.8462784,0.188960096
51178750,-0.846287424,0.189043152
51207500,-0.846239168,0.189125344
51236250,-0.846216704,0.18919624
51265000,-0.846153088,0.18934264
51293750,-0.846096,0.189454528
51322500,-0.84610048,0.189586224
51351250,-0.846076672,0.189644432
51380000,-0.846025216,0.189734672
51408750,-0.846001216,0.189835936
51437500,-0.84594048,0.190017136
51466250,-0.845938496,0.190071536
51495000,-0.845877952,0.190120752
51523750,-0.845853248,0.190271248
51552500,-0.845863296,0.190366496
51581250,-0.84582048,0.190451344
51610000,-0.845771072,0.190562448
51638750,-0.845728,0.190648608
51667500,-0.845674112,0.190733872
51696250,-0.845628032,0.19085904
51725000,-0.845603584,0.190963104
51753750,-0.845581696,0.191086016
51782500,-0.845574976,0.1911964
51811250,-0.845539776,0.191242784
51840000,-0.845564544,0.191366656
51868750,-0.845472128,0.191450864
51897500,-0.845420672,0.191558656
51926250,-0.84536448,0.191699184
51955000,-0.845366976,0.191827648
51983750,-0.845312384,0.191943584
52012500,-0.84528384,0.191991792
52041250,-0.845264448,0.192073904
52070000,-0.845196416,0.192176672
52098750,-0.8451776,0.1923212
52127500,-0.84516384,0.1924216
52156250,-0.845092864,0.192508336
52185000,-0.845064384,0.19261728
52213750,-0.84503904,0.192728752
52242500,-0.845011456,0.192819648
52271250,-0.844999936,0.192916944
52300000,-0.844969472,0.192983136
52328750,-0.844896,0.19310552
52357500,-0.844873472,0.193200464
52386250,-0.844814208,0.193302304
52415000,-0.844803584,0.193461488
52443750,-0.844788096,0.1935448
52472500,-0.844795072,0.193617232
52501250,-0.84473856,0.193718896
52530000,-0.844670528,0.193848592
52558750,-0.844658944,0.193931056
52587500,-0.844636864,0.194029536
52616250,-0.84463872,0.19415112
52645000,-0.844566784,0.194220896
52673750,-0.844513216,0.1943556
52702500,-0.844508096,0.194485856
52731250,-0.844465344,0.194582528
52760000,-0.8444272,0.194701312
52788750,-0.844412032,0.194776576
52817500,-0.844354944,0.1948448
52846250,-0.844329792,0.194947536
52875000,-0.844234496,0.195054496
52903750,-0.84427136,0.195162512
52932500,-0.844232576,0.195232352
52961250,-0.844197312,0.195365984
52990000,-0.844173888,0.195492464
53018750,-0.844172736,0.195581664
53047500,-0.844093568,0.19564072
53076250,-0.844039488,0.195749904
53105000,-0.843998656,0.195871392
53133750,-0.844017664,0.196010768
53162500,-0.843980608,0.196077888
53191250,-0.843959168,0.196192272
53220000,-0.843947584,0.19626528
53248750,-0.843871744,0.196344496
53277500,-0.843820864,0.196457408
53306250,-0.843828352,0.196576
53335000,-0.843790592,0.196643072
53363750,-0.843726528,0.196738496
53392500,-0.843693952,0.196887408
53421250,-0.843688768,0.196978432
53450000,-0.843640256,0.197053632
53478750,-0.843590208,0.197162432
53507500,-0.843582656,0.197312608
53536250,-0.843547968,0.197363664
53565000,-0.843489408,0.197469136
53593750,-0.843442048,0.19757896
53622500,-0.843481408,0.19770696
53651250,-0.84340544,0.197803952
53680000,-0.84340736,0.197868304
53708750,-0.843321088,0.197982432
53737500,-0.843306432,0.198090784
53766250,-0.843301888,0.198178208
53795000,-0.843245312,0.198278464
53823750,-0.843212928,0.19838352
53852500,-0.843181056,0.19853824
53881250,-0.843198848,0.198578736
