frequency_hz,s11_raw_real,s11_raw_imag
50000000,0.013759168,-0.008565296
50028750,0.01375981,-0.008576818
50057500,0.013749668,-0.00857626
50086250,0.013761346,-0.008561784
50115000,0.013761648,-0.00856713
50143750,0.013764488,-0.008569872
50172500,0.013751094,-0.00856153
50201250,0.01376042,-0.008574168
50230000,0.013739622,-0.008571304
50258750,0.013754448,-0.00859052
50287500,0.01376035,-0.008581858
50316250,0.013753858,-0.008588512
50345000,0.013746274,-0.008580788
50373750,0.013762026,-0.008583618
50402500,0.013762802,-0.008581504
50431250,0.013769988,-0.008571314
50460000,0.013773642,-0.008593442
50488750,0.013769642,-0.008589142
50517500,0.013772096,-0.008569958
50546250,0.013771848,-0.008583948
50575000,0.01377066,-0.008583694
50603750,0.013787256,-0.008584468
50632500,0.013775158,-0.008597678
50661250,0.013780812,-0.008587008
50690000,0.013780386,-0.0086001
50718750,0.01379511,-0.00859716
50747500,0.013789482,-0.008606454
50776250,0.01378864,-0.008615462
50805000,0.01380025,-0.008600104
50833750,0.01378783,-0.008605168
50862500,0.013783422,-0.008605734
50891250,0.0137913,-0.008605544
50920000,0.013786626,-0.008613152
50948750,0.013803394,-0.008616216
50977500,0.013804678,-0.00862541
51006250,0.013804182,-0.008611388
51035000,0.01381089,-0.008632544
51063750,0.013809542,-0.008635162
51092500,0.01380721,-0.008638492
51121250,0.013818914,-0.00863504
51150000,0.013818686,-0.008642938
51178750,0.013837138,-0.008646494
51207500,0.013820814,-0.008650712
51236250,0.013827512,-0.008661936
51265000,0.013836826,-0.008650458
51293750,0.013838088,-0.008656528
51322500,0.013841938,-0.008666176
51351250,0.013837942,-0.008665384
51380000,0.013839906,-0.00867849
51408750,0.013827222,-0.008672074
51437500,0.013833902,-0.008683818
51466250,0.013843198,-0.008681738
51495000,0.013849098,-0.008695054
51523750,0.013858036,-0.008695296
51552500,0.01385387,-0.008686446
51581250,0.01384468,-0.008692238
51610000,0.013850058,-0.008709432
51638750,0.013845372,-0.008719688
51667500,0.013844472,-0.008728708
51696250,0.0138665,-0.008723948
51725000,0.01385889,-0.008728458
51753750,0.013861536,-0.008731864
51782500,0.013869174,-0.00873528
51811250,0.013864002,-0.008747938
51840000,0.013855782,-0.00874122
51868750,0.013884192,-0.008756046
51897500,0.013859268,-0.008751248
51926250,0.013876062,-0.00877153
51955000,0.013863576,-0.008777296
51983750,0.013874688,-0.008758862
52012500,0.013867116,-0.00877877
52041250,0.013881142,-0.00878281
52070000,0.013879272,-0.00877899
52098750,0.013885862,-0.008787232
52127500,0.0138861,-0.008799174
52156250,0.013867436,-0.008803352
52185000,0.013887028,-0.008808322
52213750,0.013889264,-0.008800678
52242500,0.013875458,-0.00882224
52271250,0.013883188,-0.00882939
52300000,0.013889912,-0.008816478
52328750,0.01388824,-0.008831412
52357500,0.013902748,-0.008833306
52386250,0.013899444,-0.008856892
52415000,0.01389968,-0.00884747
52443750,0.013891562,-0.008848752
52472500,0.013897248,-0.008856104
52501250,0.013894926,-0.00885926
52530000,0.013900694,-0.008873396
52558750,0.013899706,-0.008868052
52587500,0.013901082,-0.008887106
52616250,0.013907268,-0.008886278
52645000,0.01389222,-0.008889516
52673750,0.013901758,-0.008902568
52702500,0.01389833,-0.008912378
52731250,0.01390306,-0.008916608
52760000,0.013915914,-0.008912956
52788750,0.013899438,-0.008918026
52817500,0.013903114,-0.008920784
52846250,0.013891112,-0.008939666
52875000,0.01391845,-0.008940194
52903750,0.013898966,-0.008954082
52932500,0.0138993,-0.008949148
52961250,0.013916516,-0.008950256
52990000,0.013916562,-0.008958338
53018750,0.013904716,-0.008963776
53047500,0.013904278,-0.008979714
53076250,0.013906414,-0.008976056
53105000,0.013917924,-0.008983488
53133750,0.013907922,-0.008988066
53162500,0.013906746,-0.00898629
53191250,0.013923934,-0.008987838
53220000,0.013914156,-0.009012262
53248750,0.013904788,-0.009003558
53277500,0.013912908,-0.0090259
53306250,0.01390689,-0.009027798
53335000,0.013922568,-0.00902548
53363750,0.013904462,-0.009025332
53392500,0.013911946,-0.009040442
53421250,0.013907882,-0.009034042
53450000,0.01391595,-0.009043152
53478750,0.013913188,-0.00906716
53507500,0.013922254,-0.009052902
53536250,0.013893602,-0.009073194
53565000,0.013917132,-0.009068528
53593750,0.013908252,-0.009080844
53622500,0.013906944,-0.009086642
53651250,0.013894348,-0.009087934
53680000,0.013900334,-0.009092628
53708750,0.013905948,-0.009105112
53737500,0.01391672,-0.009095294
53766250,0.013912982,-0.009113044
53795000,0.013915294,-0.00911205
53823750,0.01391601,-0.009123488
53852500,0.013912214,-0.009114322
53881250,0.013909306,-0.009144774
53910000,0.013905902,-0.009141056
53938750,0.013925152,-0.009144294
53967500,0.013902338,-0.009147256
53996250,0.013914268,-0.00916656
54025000,0.013921238,-0.009166066
54053750,0.013889382,-0.009161192
54082500,0.013915376,-0.009168528
54111250,0.0138954,-0.009178004
54140000,0.0139117,-0.009189332
54168750,0.013904934,-0.009189418
54197500,0.013909454,-0.009183276
54226250,0.013908008,-0.009190776
54255000,0.01391047,-0.009210236
54283750,0.01390506,-0.009191024
54312500,0.013904202,-0.009204692
54341250,0.013908408,-0.009223698
54370000,0.013908074,-0.009223592
54398750,0.013912602,-0.009220084
54427500,0.013902302,-0.009219604
54456250,0.013915704,-0.00923372
54485000,0.013915824,-0.009238496
54513750,0.0139037,-0.009253086
54542500,0.013904822,-0.009242318
54571250,0.01390103,-0.00926334
54600000,0.013911408,-0.009262878
54628750,0.013897382,-0.00928077
54657500,0.013887524,-0.009278086
54686250,0.013905478,-0.009271548
54715000,0.013898578,-0.009288594
54743750,0.013897698,-0.009287174
54772500,0.013902776,-0.009304856
54801250,0.013903912,-0.009295804
54830000,0.013895842,-0.009304272
54858750,0.013915312,-0.009309274
54887500,0.013908634,-0.009313942
54916250,0.013890998,-0.009347012
54945000,0.01389208,-0.00933825
54973750,0.013885482,-0.009340512
55002500,0.01390516,-0.00933976
55031250,0.01389301,-0.00935759
55060000,0.013891704,-0.009350642
55088750,0.01388788,-0.009352948
55117500,0.013889544,-0.009372714
55146250,0.013891496,-0.009372396
55175000,0.013911082,-0.00936918
55203750,0.013886306,-0.00938829
55232500,0.013898988,-0.009392834
55261250,0.01389662,-0.009391082
55290000,0.013905932,-0.009395448
55318750,0.013899478,-0.009394446
55347500,0.013890292,-0.009409564
55376250,0.0138814,-0.009420072
55405000,0.01388691,-0.009415762
55433750,0.013882986,-0.009424398
55462500,0.013882484,-0.00943637
55491250,0.0138906,-0.009437196
55520000,0.0138984,-0.009434422
55548750,0.013895508,-0.009445816
55577500,0.013889128,-0.009439582
55606250,0.013886642,-0.009447962
55635000,0.013884854,-0.009459352
55663750,0.01388565,-0.009471146
55692500,0.013891632,-0.009470348
55721250,0.01386769,-0.009473038
55750000,0.013901454,-0.009486156
55778750,0.013898484,-0.00948434
55807500,0.013887368,-0.00948274
55836250,0.013899246,-0.009480708
55865000,0.013868542,-0.0095062
55893750,0.013886372,-0.009503152
55922500,0.013876792,-0.009522994
55951250,0.013879006,-0.009529484
55980000,0.01388853,-0.009521698
56008750,0.013877012,-0.009537238
56037500,0.013871866,-0.009530448
56066250,0.01389327,-0.00952218
56095000,0.01386721,-0.009542962
56123750,0.013880844,-0.009542912
56152500,0.013891406,-0.009559114
56181250,0.013875738,-0.009571348
56210000,0.013880756,-0.009556642
56238750,0.013874534,-0.009566926
56267500,0.01386644,-0.00956015
56296250,0.013878754,-0.00959621
56325000,0.013878828,-0.009581542
56353750,0.01386939,-0.009605532
56382500,0.013865832,-0.009592838
56411250,0.013855116,-0.00960369
56440000,0.013868058,-0.009624004
56468750,0.013869736,-0.009600072
56497500,0.013864056,-0.009619142
56526250,0.013865896,-0.009614504
56555000,0.013852712,-0.0096279
56583750,0.013859822,-0.00963111
56612500,0.013853136,-0.009640518
56641250,0.01387221,-0.009637906
56670000,0.013869766,-0.009634688
56698750,0.013863926,-0.009652276
56727500,0.013866846,-0.009673582
56756250,0.013875236,-0.009653296
56785000,0.01386802,-0.009672342
56813750,0.01387163,-0.009677774
56842500,0.013861726,-0.009695858
56871250,0.013858348,-0.009682556
56900000,0.013861286,-0.009693584
56928750,0.013851658,-0.0096984
56957500,0.013847842,-0.009718152
56986250,0.013861706,-0.009704468
57015000,0.01384837,-0.009703442
57043750,0.013852328,-0.009716258
57072500,0.013850928,-0.00972077
57101250,0.013842722,-0.009718934
57130000,0.01385743,-0.009738488
57158750,0.0138404,-0.009719666
57187500,0.013841832,-0.009744326
57216250,0.013840318,-0.009747216
57245000,0.013865822,-0.009748728
57273750,0.013854272,-0.009765732
57302500,0.013841896,-0.009758818
57331250,0.013837144,-0.009770368
57360000,0.01384103,-0.009757236
57388750,0.013830852,-0.009786028
57417500,0.013838394,-0.009777794
57446250,0.013851264,-0.00979214
57475000,0.013843322,-0.009800124
57503750,0.01383961,-0.00979019
57532500,0.013837616,-0.009807334
57561250,0.013849448,-0.009810904
57590000,0.013829672,-0.009821454
57618750,0.013834782,-0.009809886
57647500,0.013825108,-0.009836822
57676250,0.01383247,-0.009830238
57705000,0.013840114,-0.009840068
57733750,0.013839106,-0.009823822
57762500,0.01383816,-0.00983628
57791250,0.013838524,-0.009841852
57820000,0.013835278,-0.009846534
57848750,0.01383379,-0.009860912
57877500,0.01383683,-0.009851252
57906250,0.013819992,-0.009867794
57935000,0.013826564,-0.00988483
57963750,0.013826754,-0.009877658
57992500,0.013825398,-0.00989875
58021250,0.013817402,-0.009870504
58050000,0.013804862,-0.009877928
58078750,0.013829256,-0.009892796
58107500,0.013838838,-0.009907956
58136250,0.01381782,-0.009912292
58165000,0.013826672,-0.00992297
58193750,0.013829896,-0.00992144
58222500,0.013828318,-0.009916268
58251250,0.013812336,-0.009930776
58280000,0.01381541,-0.009936776
58308750,0.013833046,-0.009939638
58337500,0.013824294,-0.009941604
58366250,0.01381104,-0.009935678
58395000,0.013813952,-0.009962418
58423750,0.01383115,-0.009964624
58452500,0.01380028,-0.009966962
58481250,0.013810314,-0.00997251
58510000,0.013815372,-0.009967648
58538750,0.013825158,-0.009992694
58567500,0.01380992,-0.009993066
58596250,0.013822344,-0.010005104
58625000,0.013803064,-0.010007414
58653750,0.013808052,-0.009996604
58682500,0.013816278,-0.010000442
58711250,0.013818486,-0.01001686
58740000,0.01380346,-0.01001002
58768750,0.013790944,-0.010022316
58797500,0.01380573,-0.010029608
58826250,0.013788282,-0.010027418
