frequency_hz,s11_raw_real,s11_raw_imag
50000000,0.664257472,-0.078790216
50028750,0.664246528,-0.078840824
50057500,0.66423296,-0.078877856
50086250,0.664222528,-0.078944328
50115000,0.664216512,-0.078995792
50143750,0.664245184,-0.07905144
50172500,0.664235904,-0.079070256
50201250,0.664211776,-0.079121104
50230000,0.664211072,-0.079158608
50258750,0.664206528,-0.079192096
50287500,0.66421728,-0.079224576
50316250,0.664191872,-0.079267568
50345000,0.664197952,-0.079315792
50373750,0.664202048,-0.079369344
50402500,0.664199488,-0.079397832
50431250,0.664182144,-0.079440832
50460000,0.664168064,-0.079454592
50488750,0.664169856,-0.079547024
50517500,0.664170624,-0.079582192
50546250,0.66417568,-0.07962896
50575000,0.664189888,-0.07965204
50603750,0.664155456,-0.079698936
50632500,0.664147648,-0.079759584
50661250,0.664142848,-0.079796048
50690000,0.664150528,-0.079833016
50718750,0.664146496,-0.07985932
50747500,0.664119872,-0.079907904
50776250,0.664125184,-0.079958136
50805000,0.664138368,-0.08001852
50833750,0.664123776,-0.080062504
50862500,0.664133056,-0.080074432
50891250,0.6641104,-0.080135888
50920000,0.664113344,-0.080199168
50948750,0.664112064,-0.080224504
50977500,0.664101632,-0.080267424
51006250,0.6640976,-0.08031196
51035000,0.664102208,-0.080362008
51063750,0.66410944,-0.080407272
51092500,0.6640912,-0.08044212
51121250,0.664075328,-0.08046868
51150000,0.664077312,-0.080523104
51178750,0.664076352,-0.080555648
51207500,0.664059392,-0.080617816
51236250,0.664075904,-0.08067324
51265000,0.664080704,-0.080703128
51293750,0.664064832,-0.08074072
51322500,0.6640672,-0.080791624
51351250,0.66404288,-0.08083528
51380000,0.664034944,-0.080878472
51408750,0.664024768,-0.080924648
51437500,0.664046912,-0.080949608
51466250,0.664036352,-0.081000488
51495000,0.664020992,-0.081070584
51523750,0.664032576,-0.08110656
51552500,0.664012352,-0.081132552
51581250,0.663989632,-0.081185368
51610000,0.664000896,-0.081236456
51638750,0.664008128,-0.081289136
51667500,0.66397984,-0.081336792
51696250,0.664002944,-0.081371152
51725000,0.664002688,-0.081431968
51753750,0.664007168,-0.081442064
51782500,0.663977472,-0.081486616
51811250,0.663974144,-0.081564448
51840000,0.663963264,-0.081592368
51868750,0.66394144,-0.081663856
51897500,0.66395712,-0.081702664
51926250,0.663968704,-0.081743888
51955000,0.663956352,-0.081755416
51983750,0.663933376,-0.081809312
52012500,0.66392832,-0.081861112
52041250,0.66393248,-0.081919808
52070000,0.663944,-0.081965968
52098750,0.663915904,-0.081982664
52127500,0.663923328,-0.082046464
52156250,0.663906176,-0.08210976
52185000,0.66392864,-0.082140496
52213750,0.663937664,-0.082187448
52242500,0.663903168,-0.082208248
52271250,0.663895872,-0.082271
52300000,0.663901184,-0.082301336
52328750,0.663875072,-0.082376144
52357500,0.66388896,-0.082432848
52386250,0.663891392,-0.082476744
52415000,0.66389376,-0.082496136
52443750,0.663873216,-0.082539952
52472500,0.663857856,-0.082586568
52501250,0.663851584,-0.082636712
52530000,0.663867968,-0.082695224
52558750,0.663840576,-0.082721648
52587500,0.663827584,-0.082753848
52616250,0.663836736,-0.082802256
52645000,0.66380832,-0.082858352
52673750,0.663826432,-0.082916704
52702500,0.663845248,-0.082947384
52731250,0.663815232,-0.083002184
52760000,0.6638256,-0.083050464
52788750,0.663819712,-0.083089184
52817500,0.663798208,-0.083149504
52846250,0.663799552,-0.083209552
52875000,0.663778752,-0.083253576
