frequency_hz,s11_raw_real,s11_raw_imag
50000000,-0.865230656,0.107432968
50028750,-0.865225216,0.107489456
50057500,-0.865198464,0.107569208
50086250,-0.865201792,0.107648248
50115000,-0.865231872,0.107690944
50143750,-0.865210752,0.1077786
50172500,-0.865181184,0.107838048
50201250,-0.865131456,0.107898768
50230000,-0.865143232,0.107967368
50258750,-0.865122048,0.108035336
50287500,-0.865116672,0.108095136
50316250,-0.865085376,0.108160864
50345000,-0.86509408,0.108231976
50373750,-0.865085376,0.108295264
50402500,-0.865064704,0.108345296
50431250,-0.865050688,0.108425944
50460000,-0.865020352,0.1085022
50488750,-0.865030208,0.108573232
50517500,-0.86502272,0.108648984
50546250,-0.864996928,0.108698056
50575000,-0.86499104,0.108719248
50603750,-0.864959936,0.108789408
50632500,-0.864943552,0.108909408
50661250,-0.864941568,0.108926288
50690000,-0.864919552,0.108985616
50718750,-0.864877312,0.109042544
50747500,-0.864866176,0.109152976
50776250,-0.86485984,0.109218008
50805000,-0.86484928,0.109304736
50833750,-0.864848832,0.109324664
50862500,-0.864788672,0.109361152
50891250,-0.864801344,0.109434592
50920000,-0.864787968,0.109516624
50948750,-0.864789376,0.109550088
50977500,-0.864759296,0.109644296
51006250,-0.86474464,0.109736424
51035000,-0.86472096,0.109791776
51063750,-0.864725184,0.109811488
51092500,-0.864700672,0.109870864
51121250,-0.864659328,0.109943712
51150000,-0.864657344,0.109992696
51178750,-0.8646176,0.110078696
51207500,-0.864636288,0.110172256
51236250,-0.864628352,0.110217264
51265000,-0.864590592,0.110258032
51293750,-0.864584384,0.110304776
51322500,-0.864557056,0.110381776
51351250,-0.864541568,0.110476736
51380000,-0.864548864,0.110535424
51408750,-0.86450528,0.110567208
51437500,-0.864503552,0.110623128
51466250,-0.864478848,0.110696176
51495000,-0.864498688,0.11076076
51523750,-0.864457216,0.11080356
51552500,-0.864439808,0.110906808
51581250,-0.864429376,0.110980056
51610000,-0.864396736,0.11103132
51638750,-0.864416448,0.111110672
51667500,-0.86438816,0.111154352
51696250,-0.86438976,0.111181032
51725000,-0.86436992,0.111254984
51753750,-0.864344448,0.111308744
51782500,-0.864305472,0.111372128
51811250,-0.864306112,0.111471992
51840000,-0.86428416,0.111523816
51868750,-0.864273536,0.111573016
51897500,-0.864262848,0.111636696
51926250,-0.864263616,0.111675856
51955000,-0.864222592,0.111744416
51983750,-0.864179008,0.111779168
52012500,-0.86418496,0.111857784
52041250,-0.864203136,0.111919456
52070000,-0.864177088,0.111999952
52098750,-0.864149056,0.112039096
52127500,-0.864152704,0.112107616
52156250,-0.864125824,0.112153024
52185000,-0.864106944,0.112212528
52213750,-0.864120128,0.112275816
52242500,-0.864082048,0.112322944
52271250,-0.86405472,0.112419584
52300000,-0.864035904,0.112477232
52328750,-0.864034624,0.112535976
52357500,-0.864040128,0.112610016
52386250,-0.864065664,0.112665928
52415000,-0.864006848,0.112703168
52443750,-0.86397152,0.112769104
52472500,-0.863946112,0.112799448
52501250,-0.863932608,0.112887896
52530000,-0.863931136,0.112938968
52558750,-0.863904256,0.113012496
52587500,-0.86389856,0.113056392
52616250,-0.863885056,0.113112016
52645000,-0.863890112,0.113164432
52673750,-0.863865344,0.113260976
52702500,-0.86386688,0.113317512
52731250,-0.863845312,0.113330296
52760000,-0.863846528,0.113446664
52788750,-0.8638464,0.113470312
52817500,-0.863805312,0.1135366
52846250,-0.863788096,0.113650488
52875000,-0.863785408,0.113700848
52903750,-0.863754112,0.113741784
52932500,-0.863746496,0.113793064
52961250,-0.863740928,0.113865288
52990000,-0.863738624,0.11391036
53018750,-0.863731008,0.113934016
53047500,-0.863685696,0.114006448
53076250,-0.863682048,0.114133752
53105000,-0.863654912,0.114182984
53133750,-0.863654016,0.11420676
53162500,-0.863640832,0.114282904
53191250,-0.863632704,0.11434016
53220000,-0.863622016,0.114374464
53248750,-0.86358976,0.114418456
53277500,-0.863597248,0.114526048
53306250,-0.863562624,0.114582416
53335000,-0.8635536,0.114626856
53363750,-0.863527488,0.114704024
53392500,-0.86353984,0.114763088
53421250,-0.863504064,0.114800448
53450000,-0.863489152,0.114860904
53478750,-0.863502656,0.11496348
53507500,-0.863500608,0.114998816
53536250,-0.863465152,0.11504372
53565000,-0.86342496,0.115122088
53593750,-0.863414208,0.115224944
53622500,-0.863429184,0.115239856
53651250,-0.86340448,0.115289224
53680000,-0.863371392,0.11532416
53708750,-0.863367808,0.115413704
53737500,-0.863356864,0.115505416
53766250,-0.863364608,0.115518272
53795000,-0.86334176,0.115578968
53823750,-0.863340352,0.1156676
53852500,-0.863320192,0.115744248
53881250,-0.86330912,0.115791016
53910000,-0.863282496,0.115828064
53938750,-0.863256384,0.11588972
53967500,-0.863255552,0.115950352
53996250,-0.863238144,0.116009504
54025000,-0.863232576,0.116099272
54053750,-0.863225216,0.116127424
54082500,-0.863173184,0.11619088
54111250,-0.863167808,0.116247032
54140000,-0.863176192,0.116315616
54168750,-0.863209536,0.11637188
54197500,-0.863130176,0.116415248
54226250,-0.863138048,0.1165134
