frequency_hz,s11_raw_real,s11_raw_imag
50000000,0.660828224,-0.107998208
50028750,0.660802176,-0.108077032
50057500,0.660799872,-0.108106584
50086250,0.660760768,-0.1081612
50115000,0.660742656,-0.108197232
50143750,0.660741504,-0.108276576
50172500,0.660729152,-0.108350896
50201250,0.660730752,-0.10839884
50230000,0.660742784,-0.108458272
50258750,0.660698944,-0.108513872
50287500,0.660689984,-0.108596984
50316250,0.660703296,-0.108642488
50345000,0.660690496,-0.108694576
50373750,0.66065088,-0.108749248
50402500,0.660654848,-0.10882812
50431250,0.660647616,-0.108891656
50460000,0.660657088,-0.108911672
50488750,0.660633408,-0.108964416
50517500,0.660613312,-0.109022552
50546250,0.660595456,-0.109082128
50575000,0.660591744,-0.109171416
50603750,0.660573248,-0.109220344
50632500,0.66057792,-0.109249504
50661250,0.66055424,-0.109321608
50690000,0.660554112,-0.10940412
50718750,0.660539136,-0.109474152
50747500,0.660546752,-0.109489712
50776250,0.660540416,-0.109560704
50805000,0.66051968,-0.109621112
50833750,0.660509184,-0.10967144
50862500,0.660486208,-0.109762528
50891250,0.660496,-0.10980668
50920000,0.660468608,-0.109853992
50948750,0.660458944,-0.109926984
50977500,0.660453504,-0.109973728
51006250,0.660441792,-0.110019912
51035000,0.6604304,-0.11006276
51063750,0.660407744,-0.110138072
51092500,0.660414976,-0.110214672
51121250,0.660402688,-0.110289144
51150000,0.6604016,-0.110354232
51178750,0.66041472,-0.110391456
51207500,0.66039136,-0.11045264
51236250,0.660372608,-0.110489616
51265000,0.66033824,-0.110570736
51293750,0.660328512,-0.110626288
51322500,0.660340096,-0.110712048
51351250,0.6603344,-0.110740728
51380000,0.660330752,-0.110789528
51408750,0.660328192,-0.11086696
51437500,0.660317568,-0.110934968
51466250,0.660307072,-0.110978808
51495000,0.660291456,-0.11102204
51523750,0.660283072,-0.111101976
51552500,0.660287232,-0.111169296
51581250,0.660289984,-0.111229232
51610000,0.660267776,-0.111277248
51638750,0.660266752,-0.111315656
51667500,0.660234688,-0.111373408
51696250,0.66024192,-0.111453456
51725000,0.66021376,-0.111501464
51753750,0.66021344,-0.111593504
51782500,0.660218752,-0.111638128
51811250,0.66019904,-0.11170052
51840000,0.660215616,-0.111772136
51868750,0.66019904,-0.111811688
51897500,0.660168256,-0.1118722
51926250,0.660163776,-0.111956104
51955000,0.660158208,-0.112021256
51983750,0.660151616,-0.112099264
52012500,0.660152192,-0.112130376
52041250,0.660131008,-0.112174064
52070000,0.660121664,-0.112249464
52098750,0.660100608,-0.112308696
52127500,0.660110464,-0.112375792
52156250,0.66009024,-0.112425528
52185000,0.660072384,-0.112487024
52213750,0.660062144,-0.11257096
52242500,0.660080832,-0.112642544
52271250,0.660078336,-0.112689576
52300000,0.6600864,-0.11273636
52328750,0.660057792,-0.11280732
52357500,0.660030656,-0.112865664
52386250,0.660009664,-0.112895608
52415000,0.660005056,-0.112989456
52443750,0.660017408,-0.113056112
52472500,0.660024448,-0.113129176
52501250,0.659990208,-0.113175864
52530000,0.659981312,-0.11323044
52558750,0.659995072,-0.113308848
52587500,0.659997632,-0.113384392
52616250,0.659962368,-0.113445464
52645000,0.659959616,-0.113500776
52673750,0.659927744,-0.11353912
52702500,0.659924224,-0.113613432
52731250,0.659892352,-0.113693464
52760000,0.659891328,-0.113733912
52788750,0.659881664,-0.113795176
52817500,0.659876224,-0.113851328
52846250,0.659886784,-0.113895184
52875000,0.659868928,-0.11395996
52903750,0.659868992,-0.114040328
52932500,0.659863936,-0.114100192
52961250,0.659853952,-0.114167232
52990000,0.659819072,-0.114225792
53018750,0.659819776,-0.114313832
53047500,0.659819456,-0.114358064
53076250,0.659817152,-0.114396872
53105000,0.659783296,-0.114469128
53133750,0.6597696,-0.114537608
53162500,0.659774976,-0.1146108
53191250,0.659753536,-0.114699808
53220000,0.659752256,-0.114744576
53248750,0.659766464,-0.114791584
53277500,0.659753024,-0.114835752
53306250,0.65973088,-0.114920512
53335000,0.659734208,-0.114971552
53363750,0.659717632,-0.115023304
53392500,0.659682688,-0.115085552
53421250,0.659692864,-0.1151832
53450000,0.659695296,-0.115228368
53478750,0.659677184,-0.115263168
53507500,0.659649536,-0.11534312
53536250,0.659644032,-0.115388176
53565000,0.659639744,-0.115443104
53593750,0.659645696,-0.115532416
53622500,0.659629184,-0.115580792
53651250,0.659618304,-0.115661168
53680000,0.659601856,-0.115712256
53708750,0.65958336,-0.11576156
53737500,0.659574592,-0.115813432
53766250,0.659563904,-0.115918936
53795000,0.65956064,-0.1159498
53823750,0.659560576,-0.116013456
53852500,0.659523456,-0.116071128
53881250,0.659508992,-0.116153728
53910000,0.659502016,-0.116223432
53938750,0.659515968,-0.116283768
53967500,0.659509312,-0.116331
53996250,0.659480192,-0.116384664
54025000,0.659429184,-0.116464096
54053750,0.659461632,-0.116521912
54082500,0.65945568,-0.116593048
54111250,0.659442816,-0.116643928
54140000,0.659421312,-0.116709816
54168750,0.659399936,-0.116759912
54197500,0.659412928,-0.116836432
54226250,0.659406272,-0.116882336
54255000,0.6593888,-0.1169186
54283750,0.659364032,-0.117006336
54312500,0.659362688,-0.117072864
54341250,0.659341504,-0.117140904
54370000,0.659330304,-0.117220768
54398750,0.659342592,-0.117270328
54427500,0.6593264,-0.117308392
54456250,0.6593072,-0.11737896
54485000,0.659282944,-0.117444208
54513750,0.659294272,-0.117528136
54542500,0.659314368,-0.117591888
54571250,0.659279808,-0.117637144
54600000,0.659249856,-0.117670272
54628750,0.659241728,-0.117727568
54657500,0.659230912,-0.117823128
54686250,0.659224256,-0.117904688
54715000,0.659227648,-0.117945896
54743750,0.659243648,-0.118002232
54772500,0.65920352,-0.118044312
54801250,0.65916864,-0.118110288
54830000,0.659178816,-0.118189128
54858750,0.65916512,-0.118249528
54887500,0.659147136,-0.118304664
54916250,0.659160896,-0.11837004
54945000,0.659113408,-0.11842372
54973750,0.659102336,-0.118487936
55002500,0.659086848,-0.11858104
55031250,0.65906176,-0.118643064
55060000,0.659097152,-0.118688152
55088750,0.659087104,-0.118733128
55117500,0.659061312,-0.118789168
55146250,0.659042816,-0.118864736
55175000,0.659042816,-0.11893628
55203750,0.659059328,-0.119004792
55232500,0.659030976,-0.1190308
55261250,0.658983808,-0.119102176
55290000,0.658981504,-0.119167576
