frequency_hz,s11_raw_real,s11_raw_imag
50000000,0.014507292,-0.008057646
50028750,0.014503708,-0.008055841
50057500,0.014513372,-0.00804591
50086250,0.014502604,-0.008054029
50115000,0.014504758,-0.008050556
50143750,0.014510418,-0.008055019
50172500,0.014522498,-0.008050368
50201250,0.01451546,-0.008060395
50230000,0.014514688,-0.00805626
50258750,0.01451454,-0.008061142
50287500,0.01451807,-0.008051642
50316250,0.014521228,-0.008044528
50345000,0.014517874,-0.00805008
50373750,0.01451385,-0.008064103
50402500,0.014530544,-0.008062412
50431250,0.01453278,-0.008061077
50460000,0.014522316,-0.008042052
50488750,0.014534314,-0.008073517
50517500,0.014521154,-0.008068213
50546250,0.014532132,-0.008072288
50575000,0.014536928,-0.008074808
50603750,0.014546214,-0.008079355
50632500,0.01453763,-0.00806052
50661250,0.014540566,-0.008062973
50690000,0.014541764,-0.008081444
50718750,0.014545066,-0.008072943
50747500,0.014553182,-0.008075332
50776250,0.014548638,-0.008095292
50805000,0.014546634,-0.008079786
50833750,0.014563642,-0.008088461
50862500,0.014554922,-0.008085961
50891250,0.014572304,-0.008092285
50920000,0.014584532,-0.008098699
50948750,0.014560808,-0.008109847
50977500,0.014574722,-0.008110091
51006250,0.01458067,-0.008094052
51035000,0.014592432,-0.008105318
51063750,0.01456235,-0.008122174
51092500,0.014572094,-0.00812084
51121250,0.014586084,-0.008116351
51150000,0.01458721,-0.008123944
51178750,0.014590724,-0.008117777
51207500,0.014587394,-0.00814943
51236250,0.014585268,-0.008126884
51265000,0.014598502,-0.008150528
51293750,0.014601246,-0.008143054
51322500,0.01460023,-0.008124907
51351250,0.014600628,-0.008137389
51380000,0.014612328,-0.008143933
51408750,0.014608184,-0.008156308
51437500,0.01460831,-0.008148437
51466250,0.014601848,-0.008168996
51495000,0.014620608,-0.008185328
51523750,0.014622032,-0.008159346
51552500,0.014607218,-0.008173652
51581250,0.014616936,-0.008169381
51610000,0.014616084,-0.00818158
51638750,0.014620058,-0.008194421
51667500,0.014628868,-0.00819921
51696250,0.014636192,-0.008194448
51725000,0.014638714,-0.008189336
51753750,0.014634796,-0.008199527
51782500,0.01463666,-0.008211584
51811250,0.014632632,-0.008210685
51840000,0.014646142,-0.008216333
51868750,0.014647688,-0.008206363
51897500,0.014650958,-0.008238985
51926250,0.014656248,-0.008243675
51955000,0.014634652,-0.008250598
51983750,0.01465044,-0.008250727
52012500,0.014655556,-0.008261902
52041250,0.014661866,-0.008263434
52070000,0.014658412,-0.008256245
52098750,0.014666846,-0.008274535
52127500,0.014666388,-0.008268154
52156250,0.014672802,-0.008275529
52185000,0.01466931,-0.008291542
52213750,0.014674808,-0.008279355
52242500,0.014681562,-0.00829753
52271250,0.014678662,-0.008311617
52300000,0.01467132,-0.008311905
52328750,0.014663516,-0.008318991
52357500,0.014667142,-0.00830226
52386250,0.014672586,-0.008326818
52415000,0.014691294,-0.008313515
52443750,0.014683928,-0.008332537
52472500,0.014684506,-0.008329945
52501250,0.014678628,-0.008342701
52530000,0.014684298,-0.008360609
52558750,0.014670988,-0.008360036
52587500,0.014691018,-0.008361963
52616250,0.01468771,-0.008378029
52645000,0.014700696,-0.008354416
52673750,0.014686002,-0.008371012
52702500,0.014693386,-0.008373503
52731250,0.01470714,-0.008376627
52760000,0.014685378,-0.008378438
52788750,0.014680582,-0.008382874
52817500,0.014692584,-0.008403478
52846250,0.014703076,-0.008403414
52875000,0.014701206,-0.008405526
52903750,0.014691386,-0.008417076
52932500,0.014697666,-0.008428792
52961250,0.014686684,-0.008431896
52990000,0.014698516,-0.008426736
53018750,0.014712044,-0.00844095
53047500,0.014715726,-0.008450658
53076250,0.014694944,-0.008454276
53105000,0.014696468,-0.008451958
53133750,0.014696602,-0.008457724
53162500,0.014709796,-0.008474202
53191250,0.014708532,-0.008468762
53220000,0.014701652,-0.008463682
53248750,0.014704506,-0.008494084
53277500,0.014709284,-0.008484022
53306250,0.0147103,-0.008492072
53335000,0.014707704,-0.008488942
53363750,0.014704336,-0.008520558
53392500,0.014700688,-0.008503458
53421250,0.014708508,-0.008517238
53450000,0.01470405,-0.008528926
53478750,0.014697368,-0.008528574
53507500,0.014710318,-0.008529564
53536250,0.014711266,-0.008533998
53565000,0.014717858,-0.008546804
53593750,0.014711008,-0.008558562
53622500,0.014718872,-0.00854497
53651250,0.014712304,-0.008567454
53680000,0.014712356,-0.008556156
53708750,0.01472739,-0.008570132
53737500,0.01471422,-0.008577558
53766250,0.014713652,-0.008588466
53795000,0.014722562,-0.008592396
53823750,0.014719084,-0.008582082
53852500,0.014723646,-0.008603018
53881250,0.014707234,-0.00858563
53910000,0.014711668,-0.008605696
53938750,0.014721622,-0.00861878
53967500,0.014722008,-0.008626796
53996250,0.014717622,-0.008623152
54025000,0.014713894,-0.008627048
54053750,0.014717276,-0.008648486
54082500,0.014707578,-0.008645428
54111250,0.014733982,-0.00867189
54140000,0.014724458,-0.008646886
54168750,0.014724646,-0.008657078
54197500,0.014716766,-0.008666404
54226250,0.014724558,-0.008667562
54255000,0.014710696,-0.008680852
54283750,0.014732244,-0.008696522
54312500,0.014704452,-0.008693226
54341250,0.014714962,-0.008697132
54370000,0.01471993,-0.00868738
54398750,0.01472728,-0.008699546
54427500,0.014706766,-0.008699948
54456250,0.014736716,-0.00870597
54485000,0.01472097,-0.008716068
54513750,0.014718518,-0.008715172
54542500,0.014718868,-0.008726992
54571250,0.014715954,-0.00873588
54600000,0.0147267,-0.008741898
54628750,0.014717828,-0.008727318
54657500,0.014727684,-0.00875494
54686250,0.01471685,-0.008751248
54715000,0.014715022,-0.008770296
54743750,0.01473016,-0.00877786
54772500,0.014710564,-0.008759038
54801250,0.014723736,-0.00876866
54830000,0.01472477,-0.00878498
54858750,0.014726868,-0.008794368
54887500,0.014730874,-0.008789062
54916250,0.014714226,-0.008812004
54945000,0.014717214,-0.008802584
54973750,0.01472968,-0.008813104
55002500,0.014725726,-0.008818346
55031250,0.014716192,-0.008801378
55060000,0.01470832,-0.008823422
55088750,0.01472322,-0.008832544
55117500,0.014703614,-0.008839152
55146250,0.014729546,-0.0088406
55175000,0.014715008,-0.008852938
55203750,0.014708902,-0.008847296
55232500,0.014725962,-0.00885462
55261250,0.014729894,-0.008860982
55290000,0.014730606,-0.008876976
55318750,0.014717884,-0.008861444
55347500,0.014711712,-0.008884
55376250,0.014717752,-0.008883336
55405000,0.01472585,-0.008897682
55433750,0.014704404,-0.008891398
55462500,0.014722618,-0.008892724
55491250,0.014714584,-0.008891522
55520000,0.01473071,-0.008904988
55548750,0.01471275,-0.00890939
55577500,0.014725784,-0.008920646
55606250,0.014722212,-0.008935066
55635000,0.014728378,-0.008933266
55663750,0.014715846,-0.008943172
55692500,0.014704544,-0.008951936
55721250,0.014717896,-0.008938516
55750000,0.01470884,-0.008942208
55778750,0.014716842,-0.008960272
55807500,0.014723378,-0.008954448
55836250,0.014720182,-0.008979528
55865000,0.01471824,-0.008983824
55893750,0.014716924,-0.00898371
55922500,0.014729288,-0.008989402
55951250,0.014704984,-0.008989258
55980000,0.014719758,-0.008999572
56008750,0.014713998,-0.009007052
56037500,0.014717024,-0.009016394
56066250,0.014701238,-0.009018346
56095000,0.014718322,-0.009031792
56123750,0.014712234,-0.00902862
56152500,0.014713636,-0.00902051
56181250,0.01470859,-0.00900683
56210000,0.014705894,-0.009039576
56238750,0.01470721,-0.00904846
56267500,0.014703752,-0.009040866
56296250,0.014698658,-0.009052616
