frequency_hz,s11_raw_real,s11_raw_imag
50000000,-0.83588288,0.22225608
50028750,-0.835780288,0.222414512
50057500,-0.83573568,0.222564192
50086250,-0.835740096,0.22265016
50115000,-0.83574016,0.222786048
50143750,-0.835669696,0.222869728
50172500,-0.835608512,0.222994704
50201250,-0.835547072,0.22319576
50230000,-0.835501696,0.223335152
50258750,-0.83547488,0.223425056
50287500,-0.835426624,0.223526064
50316250,-0.835382784,0.223634448
50345000,-0.83534784,0.223825744
50373750,-0.83530368,0.22391752
50402500,-0.835240896,0.224037824
50431250,-0.83519712,0.224183728
50460000,-0.835130752,0.224315504
50488750,-0.835126976,0.224426336
50517500,-0.835109952,0.224578432
50546250,-0.83504832,0.224670368
50575000,-0.834969792,0.224771632
50603750,-0.834912704,0.224918032
50632500,-0.834921344,0.225057744
50661250,-0.834858688,0.22514584
50690000,-0.834778816,0.225240368
50718750,-0.83472608,0.225413968
50747500,-0.834697216,0.225568624
50776250,-0.834667264,0.22569264
50805000,-0.834632128,0.22582624
50833750,-0.834572736,0.225922608
50862500,-0.834492608,0.226025008
50891250,-0.834482112,0.226169776
50920000,-0.834451712,0.226278
50948750,-0.834403456,0.226401024
50977500,-0.834365632,0.226579792
51006250,-0.834321088,0.226670896
51035000,-0.834302464,0.226797936
51063750,-0.8342256,0.226882096
51092500,-0.8341568,0.226987728
51121250,-0.834085696,0.227081408
51150000,-0.834051968,0.227207616
51178750,-0.833965504,0.227365824
51207500,-0.833969088,0.227550592
51236250,-0.833956928,0.227660496
51265000,-0.833912768,0.227718112
51293750,-0.833838912,0.227826992
51322500,-0.833787008,0.227974752
51351250,-0.833724032,0.228138288
51380000,-0.83369568,0.228250784
51408750,-0.833666944,0.228371552
51437500,-0.833593344,0.2284268
51466250,-0.83356768,0.22860568
51495000,-0.833535296,0.228772784
51523750,-0.833477376,0.228850208
51552500,-0.83339072,0.228975696
51581250,-0.83336352,0.229117392
51610000,-0.833330176,0.22927
51638750,-0.833311616,0.229368176
51667500,-0.833269696,0.22948704
51696250,-0.833232448,0.229589888
51725000,-0.833157952,0.229707616
51753750,-0.833072576,0.229807216
51782500,-0.833013056,0.22993576
51811250,-0.832984512,0.230096976
51840000,-0.8328976,0.230227712
51868750,-0.832908928,0.230321008
51897500,-0.832863808,0.230457472
51926250,-0.832824256,0.230505328
51955000,-0.832749184,0.230621584
51983750,-0.832683584,0.230771568
52012500,-0.8326416,0.230898224
52041250,-0.83261728,0.231049696
52070000,-0.8326016,0.231143392
52098750,-0.832549504,0.231255024
52127500,-0.832485632,0.231343664
52156250,-0.832477248,0.231505744
52185000,-0.832440704,0.231618992
52213750,-0.832386624,0.231675808
52242500,-0.832281664,0.231814688
52271250,-0.832221184,0.231986704
52300000,-0.832175744,0.23211032
52328750,-0.832160128,0.232264304
52357500,-0.832171904,0.23237368
52386250,-0.832120768,0.232495376
52415000,-0.832036928,0.232565824
52443750,-0.831963904,0.232682352
52472500,-0.831915392,0.232787024
52501250,-0.831881792,0.232933648
52530000,-0.831872576,0.233058752
52558750,-0.831799104,0.233153792
52587500,-0.831712512,0.2332492
52616250,-0.831685632,0.233366864
52645000,-0.831613632,0.233532112
52673750,-0.831632192,0.2336592
52702500,-0.8315632,0.233754096
52731250,-0.831549824,0.233832512
52760000,-0.831492992,0.233951136
52788750,-0.83142112,0.234103152
52817500,-0.83137376,0.234244352
52846250,-0.831361728,0.234406016
52875000,-0.831330816,0.234522048
52903750,-0.831266048,0.234612896
52932500,-0.831228096,0.234769552
52961250,-0.831198592,0.234865664
52990000,-0.831148288,0.234946352
53018750,-0.831088,0.235057552
53047500,-0.831013632,0.235224944
53076250,-0.830994304,0.235340656
53105000,-0.830969344,0.235483584
53133750,-0.830929472,0.23557168
53162500,-0.83084512,0.235639744
53191250,-0.830836544,0.235750432
53220000,-0.83075776,0.23587176
53248750,-0.830670208,0.236043024
53277500,-0.830665472,0.236196144
53306250,-0.830637952,0.236293616
53335000,-0.830571776,0.236381344
53363750,-0.830552768,0.236532896
53392500,-0.830508544,0.236616016
53421250,-0.830454528,0.236741056
53450000,-0.830364224,0.236848624
53478750,-0.83036704,0.237025136
53507500,-0.830312128,0.23713576
53536250,-0.830249408,0.23722912
53565000,-0.830222144,0.23738856
53593750,-0.830139776,0.237514352
53622500,-0.830135936,0.237598976
53651250,-0.830068352,0.237704288
53680000,-0.829998784,0.23780616
53708750,-0.830032704,0.237973936
53737500,-0.829974528,0.238092048
53766250,-0.829913088,0.238181856
53795000,-0.829847232,0.238324128
53823750,-0.82982272,0.23843744
53852500,-0.829799872,0.238554592
53881250,-0.829743168,0.238654624
53910000,-0.829665024,0.238763024
53938750,-0.829586944,0.238888624
53967500,-0.829568448,0.239042768
53996250,-0.82956224,0.239118768
54025000,-0.829551296,0.239221632
54053750,-0.829450112,0.239339184
54082500,-0.829349568,0.23949736
54111250,-0.82934816,0.23965288
54140000,-0.829332992,0.239739568
54168750,-0.829278976,0.239823712
54197500,-0.829191168,0.239984912
