frequency_hz,s11_raw_real,s11_raw_imag
50000000,0.013884132,-0.008719164
50028750,0.013876664,-0.008708404
50057500,0.013883328,-0.008710798
50086250,0.013865272,-0.008715184
50115000,0.013878948,-0.008706064
50143750,0.01387528,-0.008710168
50172500,0.013881892,-0.008708292
50201250,0.013868604,-0.008715664
50230000,0.013860448,-0.00871433
50258750,0.013870734,-0.008701778
50287500,0.01386561,-0.008728352
50316250,0.013869272,-0.008727236
50345000,0.013863632,-0.008724502
50373750,0.013861042,-0.008724546
50402500,0.013867708,-0.008736472
50431250,0.013883148,-0.008723348
50460000,0.013874498,-0.008725662
50488750,0.013867506,-0.00872804
50517500,0.013870906,-0.008721988
50546250,0.0138684,-0.00875096
50575000,0.013858544,-0.008740518
50603750,0.013872352,-0.008736322
50632500,0.013868094,-0.008730592
50661250,0.01387497,-0.008740492
50690000,0.013881662,-0.00873591
50718750,0.013864516,-0.008752014
50747500,0.013876134,-0.008754474
50776250,0.01386404,-0.008752986
50805000,0.0138848,-0.008758032
50833750,0.01388051,-0.00873985
50862500,0.013875922,-0.008748672
50891250,0.013877916,-0.008754456
50920000,0.013870042,-0.008746962
50948750,0.013878758,-0.008752474
50977500,0.013884372,-0.008770358
51006250,0.013882028,-0.008771276
51035000,0.013874688,-0.008764818
51063750,0.01389133,-0.008766562
51092500,0.013893958,-0.0087678
51121250,0.013884454,-0.00876812
51150000,0.013898748,-0.008784974
51178750,0.01389329,-0.008769742
51207500,0.013914366,-0.008775648
51236250,0.013876338,-0.008783642
51265000,0.01389526,-0.008772842
51293750,0.013906038,-0.008787156
51322500,0.013914736,-0.008800258
51351250,0.013913418,-0.008800776
51380000,0.013906952,-0.008800172
51408750,0.01389607,-0.008787408
51437500,0.013897154,-0.008811456
51466250,0.013921216,-0.008818496
51495000,0.01391319,-0.008811064
51523750,0.0139133,-0.008817658
51552500,0.013918586,-0.008817056
51581250,0.01390975,-0.008818218
51610000,0.013913686,-0.00884238
51638750,0.013917166,-0.008829144
51667500,0.01392166,-0.008835874
51696250,0.013930236,-0.00883728
51725000,0.013927,-0.008847512
51753750,0.013927568,-0.0088547
51782500,0.013938192,-0.008857636
51811250,0.013926784,-0.00886806
51840000,0.013940534,-0.00886287
51868750,0.013936566,-0.008864448
51897500,0.01393857,-0.008882144
51926250,0.01393473,-0.008888964
51955000,0.013948702,-0.008862702
51983750,0.013944754,-0.008876218
52012500,0.013944888,-0.00890243
52041250,0.013934398,-0.008896682
52070000,0.013923984,-0.008903092
52098750,0.01394913,-0.008899446
52127500,0.01393299,-0.00890359
52156250,0.013953084,-0.008923008
52185000,0.013956458,-0.00892283
52213750,0.013964512,-0.008910094
52242500,0.013956596,-0.00893731
52271250,0.013943574,-0.008928774
52300000,0.013964482,-0.008945336
52328750,0.0139663,-0.008933484
52357500,0.013950022,-0.008938076
52386250,0.013952904,-0.008966744
52415000,0.013956096,-0.008963484
52443750,0.013955318,-0.008966236
52472500,0.013959498,-0.008962428
52501250,0.01396434,-0.008976322
52530000,0.01397071,-0.008984008
52558750,0.013967942,-0.008981766
52587500,0.01396761,-0.008973564
52616250,0.013961074,-0.008995798
52645000,0.013977188,-0.008992338
52673750,0.013976828,-0.009004114
52702500,0.013978164,-0.009017314
52731250,0.013972212,-0.009005212
52760000,0.013972694,-0.009013392
52788750,0.013975092,-0.009033762
52817500,0.013988696,-0.00903835
52846250,0.013988618,-0.00903421
52875000,0.01397492,-0.0090524
