frequency_hz,s11_raw_real,s11_raw_imag
50000000,-0.865883136,0.10700864
50028750,-0.865886272,0.107082152
50057500,-0.865890624,0.107186608
50086250,-0.865887232,0.107246008
50115000,-0.865885888,0.107261992
50143750,-0.865870208,0.107312944
50172500,-0.865853824,0.107402992
50201250,-0.865846912,0.107477632
50230000,-0.865845824,0.1075728
50258750,-0.86582496,0.107594448
50287500,-0.865801088,0.107676008
50316250,-0.86579648,0.107757336
50345000,-0.865772672,0.107828472
50373750,-0.865772224,0.107868096
50402500,-0.865773504,0.10791308
50431250,-0.865741376,0.108003544
50460000,-0.8657472,0.10808888
50488750,-0.865742528,0.108144944
50517500,-0.8657376,0.10821968
50546250,-0.865697216,0.108270992
50575000,-0.865663616,0.108332424
50603750,-0.865672896,0.10840252
50632500,-0.865674752,0.10847628
50661250,-0.86563104,0.10854564
50690000,-0.865634752,0.108584744
50718750,-0.86560992,0.10865912
50747500,-0.865603328,0.108748392
50776250,-0.865609856,0.108805376
50805000,-0.865590336,0.108880488
50833750,-0.86556896,0.1089318
50862500,-0.865527936,0.109010936
50891250,-0.865544064,0.109064712
50920000,-0.865534336,0.109117624
50948750,-0.865533952,0.109186504
50977500,-0.865498752,0.109272272
51006250,-0.865505728,0.109320816
51035000,-0.865484992,0.109377264
51063750,-0.865470016,0.109433184
51092500,-0.865424512,0.109474528
51121250,-0.865405504,0.109586864
51150000,-0.865372224,0.109620136
51178750,-0.865382144,0.109678648
51207500,-0.865396352,0.109783112
51236250,-0.865388544,0.109838688
51265000,-0.865358144,0.109870168
51293750,-0.8653312,0.109949928
51322500,-0.865304576,0.11000916
51351250,-0.865308736,0.110079808
51380000,-0.86529728,0.110155904
51408750,-0.865271488,0.110213544
51437500,-0.86523552,0.110273288
51466250,-0.865217024,0.110333576
51495000,-0.865226304,0.110418296
51523750,-0.865203904,0.110458584
51552500,-0.865190272,0.110509216
51581250,-0.865149568,0.1105884
51610000,-0.86514272,0.11066512
51638750,-0.865156224,0.11073324
51667500,-0.865140736,0.110787384
51696250,-0.865124928,0.110844656
51725000,-0.86513504,0.110898864
51753750,-0.865084032,0.110953448
51782500,-0.865050752,0.11099852
51811250,-0.865055872,0.111115752
51840000,-0.865032768,0.1111412
51868750,-0.864987136,0.111181
51897500,-0.864988032,0.111278664
51926250,-0.86499776,0.111337136
51955000,-0.864969984,0.111368832
51983750,-0.864970624,0.111415448
52012500,-0.86492256,0.111511632
52041250,-0.864931904,0.111589672
52070000,-0.864926784,0.111645952
52098750,-0.864922432,0.11168724
52127500,-0.864891456,0.111755384
52156250,-0.864900416,0.111808344
52185000,-0.864857408,0.11186856
52213750,-0.864856128,0.111962656
52242500,-0.864864,0.111989392
52271250,-0.864791808,0.112050872
52300000,-0.864786816,0.112105776
52328750,-0.864794176,0.112179488
52357500,-0.864772032,0.112277168
52386250,-0.864743552,0.112318392
52415000,-0.864742272,0.11236408
52443750,-0.864747392,0.112415264
52472500,-0.864735616,0.112481208
52501250,-0.864681216,0.112551792
52530000,-0.864673664,0.112619464
52558750,-0.864675072,0.11267028
52587500,-0.864664512,0.112707064
52616250,-0.864680192,0.11275604
52645000,-0.864635648,0.112849656
52673750,-0.864613632,0.112922384
52702500,-0.86461632,0.112982384
52731250,-0.86457536,0.113048312
52760000,-0.864590464,0.113122824
52788750,-0.864568064,0.113137248
52817500,-0.864530432,0.113201664
52846250,-0.86452864,0.113272208
52875000,-0.864497216,0.113339424
52903750,-0.864518272,0.113405872
52932500,-0.86449728,0.113462808
52961250,-0.864462784,0.113527168
52990000,-0.864477696,0.113592832
53018750,-0.864463424,0.113653736
53047500,-0.864435328,0.113703984
53076250,-0.864386816,0.113769416
53105000,-0.86440288,0.11385648
53133750,-0.864388416,0.113914264
53162500,-0.864392256,0.113964768
53191250,-0.864402304,0.114027864
53220000,-0.86436576,0.114074136
53248750,-0.86433248,0.11412696
53277500,-0.864350336,0.11414196
