rank,configuration,configuration_label,family,family_label,kind,measurement_context,score,usable_bands,excellent_bands,6m__efficiency,fm-broadcast__efficiency,civil-air__efficiency,2m__efficiency,vhf-lmr__efficiency,marine-vhf__efficiency,railroad__efficiency,noaa-weather__efficiency,1.25m__efficiency,military-air__efficiency,federal-uhf__efficiency,70cm__efficiency,uhf-lmr__efficiency,t-band__efficiency,700-public-safety-downlink__efficiency,800-public-safety-downlink__efficiency,33cm__efficiency,900-trunking-downlink__efficiency,uat-978__efficiency,ads-b-1090__efficiency,6m__median_swr,fm-broadcast__median_swr,civil-air__median_swr,2m__median_swr,vhf-lmr__median_swr,marine-vhf__median_swr,railroad__median_swr,noaa-weather__median_swr,1.25m__median_swr,military-air__median_swr,federal-uhf__median_swr,70cm__median_swr,uhf-lmr__median_swr,t-band__median_swr,700-public-safety-downlink__median_swr,800-public-safety-downlink__median_swr,33cm__median_swr,900-trunking-downlink__median_swr,uat-978__median_swr,ads-b-1090__median_swr
1,taurus-triband-vehicle,installed on vehicle,taurus-triband-vehicle,Taurus triband vehicle antenna,vehicle,vehicle_installed,0.700604,9,0,0.527922,0.370991,0.474515,0.622687,0.834165,0.791818,0.803323,0.823008,0.631174,0.634421,0.692936,0.753712,0.767133,0.824093,0.736136,0.833254,0.756646,0.737466,0.693223,0.703455,5.1265,8.7224,6.1714,4.1985,2.4955,2.6849,2.5953,2.4525,4.0689,4.1191,3.5833,2.9458,2.8525,2.4076,3.2760,2.1713,3.1368,3.2073,3.6019,3.4750
2,smiley-halfwave:setting-5,setting 5 (69 cm),smiley-halfwave,Smiley 2m half-wave telescopic,telescopic,handheld_bench,0.657151,7,5,0.062880,0.438374,0.818210,0.862436,0.907335,0.957902,0.988903,0.996163,0.229417,0.560178,0.399687,0.442897,0.703663,0.697683,0.521364,0.667998,0.944695,0.703921,0.543837,0.695482,62.0664,7.7708,2.2596,2.1896,1.8300,1.5197,1.2237,1.1318,15.5229,5.9013,7.9179,7.2464,3.2397,3.4471,5.4917,3.7210,1.5410,3.3956,5.1600,3.4629
3,smiley-halfwave:setting-3,setting 3 (46 cm),smiley-halfwave,Smiley 2m half-wave telescopic,telescopic,handheld_bench,0.637306,5,1,0.041508,0.633164,0.738624,0.775897,0.635681,0.607571,0.556763,0.519301,0.879602,0.452282,0.690786,0.796774,0.785483,0.635199,0.643333,0.632690,0.927019,0.640486,0.492177,0.661769,94.3808,4.4702,3.2236,2.8215,4.0898,4.4284,4.9945,5.5215,2.0541,7.8987,3.5164,2.5620,2.6881,4.1338,3.9683,4.0819,1.6686,4.0130,5.9618,3.7797
4,smiley-halfwave:setting-6,setting 6 (80 cm),smiley-halfwave,Smiley 2m half-wave telescopic,telescopic,handheld_bench,0.605351,4,2,0.060688,0.395692,0.709625,0.970796,0.592396,0.663845,0.607548,0.559403,0.288171,0.604215,0.775532,0.764100,0.590537,0.510037,0.599936,0.635909,0.936939,0.681367,0.549742,0.610553,64.3954,8.8555,3.4926,1.3912,4.7952,3.8094,4.3620,4.9535,11.7938,4.5566,2.8121,2.8219,4.5451,5.7509,4.4426,4.0395,1.5937,3.6043,5.0778,4.3179
5,smiley-halfwave:setting-4,setting 4 (57.5 cm),smiley-halfwave,Smiley 2m half-wave telescopic,telescopic,handheld_bench,0.587111,3,1,0.053436,0.536354,0.720860,0.846697,0.806551,0.727414,0.703201,0.696715,0.343910,0.520903,0.541279,0.437428,0.368222,0.392906,0.622794,0.638307,0.928464,0.662288,0.500483,0.694013,73.1719,5.8118,3.4547,2.2974,2.5473,3.2483,3.3997,3.4518,9.5437,7.0509,5.2252,7.0025,8.8151,8.3933,4.1877,4.0200,1.6665,3.7931,5.8213,3.4750
6,smiley-halfwave:setting-7,setting 7 (fully extended),smiley-halfwave,Smiley 2m half-wave telescopic,telescopic,handheld_bench,0.554205,2,1,0.071180,0.327027,0.754949,0.741615,0.486155,0.476937,0.446259,0.422069,0.375179,0.613708,0.568516,0.538010,0.544967,0.638341,0.596713,0.631359,0.937975,0.683868,0.570503,0.658776,55.8529,11.2444,3.0614,3.0685,6.4910,6.3192,6.8290,7.3408,8.5325,4.1520,4.9519,5.0818,5.2017,3.9308,4.4858,4.0962,1.5977,3.5838,4.8033,3.8091
7,smiley-halfwave:setting-1,"setting 1 (collapsed, 22 cm)",smiley-halfwave,Smiley 2m half-wave telescopic,telescopic,handheld_bench,0.537613,2,1,0.041654,0.590770,0.812561,0.587403,0.365230,0.384424,0.332753,0.290542,0.273862,0.682956,0.713004,0.612258,0.544039,0.493011,0.595652,0.628900,0.936843,0.675377,0.545276,0.645748,93.7943,5.3392,2.7228,4.6421,10.9019,8.4572,9.9455,11.6968,12.5329,2.9635,3.3110,4.3862,5.2235,5.8051,4.4934,4.1276,1.6090,3.6634,5.1417,3.9352
8,smiley-halfwave:setting-2,setting 2 (34.5 cm),smiley-halfwave,Smiley 2m half-wave telescopic,telescopic,handheld_bench,0.529295,2,1,0.045331,0.682700,0.754359,0.686010,0.499152,0.506177,0.446199,0.399412,0.556338,0.620550,0.319766,0.290248,0.349075,0.541524,0.516457,0.565099,0.934033,0.673398,0.543124,0.656950,85.9204,3.1570,3.1372,3.5906,6.1929,5.8135,6.8347,7.9053,4.9946,4.4703,10.4285,11.7643,9.4593,5.0916,5.5656,4.8906,1.6275,3.6859,5.1722,3.8269
9,diamond-rh77ca,first mounting,diamond-rh77ca,Diamond RH77CA,fixed,handheld_bench,0.491567,2,1,0.050376,0.205280,0.841192,0.581295,0.690078,0.629052,0.608427,0.670740,0.558484,0.501283,0.928826,0.682468,0.516815,0.436012,0.374064,0.316449,0.299508,0.312877,0.323376,0.304745,78.5284,20.3445,2.1276,4.6220,4.1918,4.3573,4.3418,3.6988,5.0413,7.0666,1.7002,3.7685,5.5420,7.0643,8.5829,10.5415,11.3075,10.6865,10.2829,11.0240
10,diamond-rh77ca:second-mounting,second mounting,diamond-rh77ca,Diamond RH77CA,fixed,handheld_bench,0.482531,2,1,0.050414,0.319773,0.620524,0.512601,0.636092,0.508402,0.525745,0.568206,0.671194,0.527605,0.969766,0.752318,0.575931,0.500225,0.355049,0.345019,0.313105,0.313004,0.318676,0.266969,77.6520,12.7748,4.3568,5.5713,5.0375,5.7352,5.4405,4.8425,3.6771,5.8866,1.3698,3.0702,4.7964,5.8569,9.1573,9.5106,10.6920,10.6850,10.4603,12.9026
