"No.","Frequency[MHz]","Name"
"1","118.0000","ATIS"
"2","118.3000","KBFI Tower"
"3","119.1000","ZSE-1191"
"4","119.9000","KSEA Tower"
"5","120.2000","Tower"
"6","120.3000","ZSE-1203"
"7","120.6000","KBFI Tower 2"
"8","120.9500","KSEA Tower 2"
"9","121.5000","Civil Guard"
"10","121.7000","Ground"
"11","122.2000","FSS Seattle"
"12","122.8000","uncntrlld CTAF"
"13","124.8500","ZSE-12485"
"14","125.8000","ZSE-1258"
"15","126.1000","ZSE-1261"
"16","126.3000","Mt Vernon RCAG"
"17","128.3000","ZSE-1283"
"18","128.5000","ZSE-1285"
"19","132.6000","Yakima RCAG"
"20","132.9500","KPAE ATIS"
"21","133.6500","ZSE-13365"
"22","109.6000","McChord ATIS"
"23","118.2000","Approach"
"24","120.7000","Approach 2"
"25","123.1000","SAR Air"
"26","124.8000","Tower2"
"27","127.9000","NAS Whdby Twr"
"28","129.8250","Arlft NW ar-grnd"
