Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,RxDtcsCode,CrossMode,Mode,TStep,Skip,Power,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
1,GMRS1,462.562500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,"FRS/GMRS channel 1, shared; https://www.ecfr.gov/current/title-47/chapter-I/subchapter-D/part-95",,,,
2,GMRS2,462.587500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,"FRS/GMRS channel 2, shared; https://www.ecfr.gov/current/title-47/chapter-I/subchapter-D/part-95",,,,
3,GMRS3,462.612500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,"FRS/GMRS channel 3, shared; https://www.ecfr.gov/current/title-47/chapter-I/subchapter-D/part-95",,,,
4,GMRS4,462.637500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,"FRS/GMRS channel 4, shared; https://www.ecfr.gov/current/title-47/chapter-I/subchapter-D/part-95",,,,
5,GMRS5,462.662500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,"FRS/GMRS channel 5, shared; https://www.ecfr.gov/current/title-47/chapter-I/subchapter-D/part-95",,,,
6,GMRS6,462.687500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,"FRS/GMRS channel 6, shared; https://www.ecfr.gov/current/title-47/chapter-I/subchapter-D/part-95",,,,
7,GMRS7,462.712500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,"FRS/GMRS channel 7, shared; https://www.ecfr.gov/current/title-47/chapter-I/subchapter-D/part-95",,,,
8,FRS8,467.562500,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,10W,FRS-only interstitial channel 8; not authorized for GMRS transmit; https://www.ecfr.gov/current/title-47/chapter-I/subchapter-D/part-95,,,,
9,FRS9,467.587500,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,10W,FRS-only interstitial channel 9; not authorized for GMRS transmit; https://www.ecfr.gov/current/title-47/chapter-I/subchapter-D/part-95,,,,
10,FRS10,467.612500,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,10W,FRS-only interstitial channel 10; not authorized for GMRS transmit; https://www.ecfr.gov/current/title-47/chapter-I/subchapter-D/part-95,,,,
