Comment,Designator,Footprint,LCSC Part #
TL6300 tactile switch SPST-NO 12x12mm TH,"1,2,3,4,5,DEC,DOWN,LEFT,MEM,P/B,RIGHT,UP",SW-TH_TL6300_12x12mm,
22nF,C1,C_Radial_TH_P5.08mm,
47 ohm,R1,R_Axial_TH_L10mm,
820 ohm,"R2,R5",R_Axial_TH_L10mm,
330 ohm,R3,R_Axial_TH_L10mm,
1k,"R4,R6",R_Axial_TH_L10mm,
91 ohm,R7,R_Axial_TH_L10mm,
2k4,R8,R_Axial_TH_L10mm,
240 ohm,R9,R_Axial_TH_L10mm,
3k,R10,R_Axial_TH_L10mm,
220 ohm,R11,R_Axial_TH_L10mm,
3k9,R12,R_Axial_TH_L10mm,
270 ohm,R13,R_Axial_TH_L10mm,
5k1,R14,R_Axial_TH_L10mm,
6k8,R15,R_Axial_TH_L10mm,
12k,"R16,R19",R_Axial_TH_L10mm,
680 ohm,R17,R_Axial_TH_L10mm,
8k2,R18,R_Axial_TH_L10mm,
1k5,R20,R_Axial_TH_L10mm,
24k,R21,R_Axial_TH_L10mm,
