Designator,Mid X,Mid Y,Layer,Rotation
1,16.0350mm,72.2000mm,Top,0.00
2,37.6250mm,72.2000mm,Top,0.00
3,57.9450mm,72.2000mm,Top,0.00
4,16.0350mm,53.1500mm,Top,0.00
5,57.9450mm,53.1500mm,Top,0.00
C1,26.1450mm,81.2000mm,Top,90.00
DEC,16.0350mm,34.1000mm,Top,0.00
DOWN,37.6250mm,15.0500mm,Top,0.00
LEFT,16.0350mm,15.0500mm,Top,0.00
MEM,37.6250mm,53.1500mm,Top,0.00
P/B,57.9450mm,34.1000mm,Top,0.00
R1,26.1950mm,67.1200mm,Top,90.00
R2,16.0350mm,62.0400mm,Top,0.00
R3,47.7850mm,67.1200mm,Top,90.00
R4,37.6250mm,62.0400mm,Top,0.00
R5,68.1050mm,67.1200mm,Top,90.00
R6,57.9450mm,62.0400mm,Top,0.00
R7,26.1950mm,48.0700mm,Top,90.00
R8,16.0350mm,42.9900mm,Top,0.00
R9,68.1050mm,48.0700mm,Top,90.00
R10,57.9450mm,42.9900mm,Top,0.00
R11,47.7850mm,48.0700mm,Top,90.00
R12,37.6250mm,42.9900mm,Top,0.00
R13,26.1950mm,9.9700mm,Top,90.00
R14,16.0350mm,4.8900mm,Top,0.00
R15,37.6250mm,23.9400mm,Top,0.00
R16,57.9450mm,4.8900mm,Top,0.00
R17,69.0000mm,29.0000mm,Top,90.00
R18,57.9450mm,23.9400mm,Top,0.00
R19,37.6250mm,4.8900mm,Top,0.00
R20,26.1950mm,29.0200mm,Top,90.00
R21,16.0350mm,23.9400mm,Top,0.00
RIGHT,57.9450mm,15.0500mm,Top,0.00
UP,37.6250mm,34.1000mm,Top,0.00
