TotalQty,Boards,QtyPerBoard,BuildQty,SpareQty,Category,Value,References,Footprint,Description
63,5,12,60,3,Switch,TL6300 series,1 2 3 4 5 DEC DOWN LEFT MEM P/B RIGHT UP,TL6300-SPST,"Tactile switch, SPST-NO momentary, 12 x 12 mm, through hole, 7.3 mm plunger (DigiKey EG6117-ND per upstream README)"
7,5,1,5,2,Resistor,47 ohm,R1,0309/10,"Resistor, 1/4 W, 1% metal film, axial, 10 mm lead pitch"
7,5,1,5,2,Resistor,91 ohm,R7,0309/10,"Resistor, 1/4 W, 1% metal film, axial, 10 mm lead pitch"
7,5,1,5,2,Resistor,220 ohm,R11,0309/10,"Resistor, 1/4 W, 1% metal film, axial, 10 mm lead pitch"
7,5,1,5,2,Resistor,240 ohm,R9,0309/10,"Resistor, 1/4 W, 1% metal film, axial, 10 mm lead pitch"
7,5,1,5,2,Resistor,270 ohm,R13,0309/10,"Resistor, 1/4 W, 1% metal film, axial, 10 mm lead pitch"
7,5,1,5,2,Resistor,330 ohm,R3,0309/10,"Resistor, 1/4 W, 1% metal film, axial, 10 mm lead pitch"
7,5,1,5,2,Resistor,680 ohm,R17,0309/10,"Resistor, 1/4 W, 1% metal film, axial, 10 mm lead pitch"
12,5,2,10,2,Resistor,820 ohm,R2 R5,0309/10,"Resistor, 1/4 W, 1% metal film, axial, 10 mm lead pitch"
12,5,2,10,2,Resistor,1k,R4 R6,0309/10,"Resistor, 1/4 W, 1% metal film, axial, 10 mm lead pitch"
7,5,1,5,2,Resistor,1k5,R20,0309/10,"Resistor, 1/4 W, 1% metal film, axial, 10 mm lead pitch"
7,5,1,5,2,Resistor,2k4,R8,0309/10,"Resistor, 1/4 W, 1% metal film, axial, 10 mm lead pitch"
7,5,1,5,2,Resistor,3k,R10,0309/10,"Resistor, 1/4 W, 1% metal film, axial, 10 mm lead pitch"
7,5,1,5,2,Resistor,3k9,R12,0309/10,"Resistor, 1/4 W, 1% metal film, axial, 10 mm lead pitch"
7,5,1,5,2,Resistor,5k1,R14,0309/10,"Resistor, 1/4 W, 1% metal film, axial, 10 mm lead pitch"
7,5,1,5,2,Resistor,6k8,R15,0309/10,"Resistor, 1/4 W, 1% metal film, axial, 10 mm lead pitch"
7,5,1,5,2,Resistor,8k2,R18,0309/10,"Resistor, 1/4 W, 1% metal film, axial, 10 mm lead pitch"
12,5,2,10,2,Resistor,12k,R16 R19,0309/10,"Resistor, 1/4 W, 1% metal film, axial, 10 mm lead pitch"
7,5,1,5,2,Resistor,24k,R21,0309/10,"Resistor, 1/4 W, 1% metal film, axial, 10 mm lead pitch"
5,5,1,5,0,Capacitor,22nF,C1,5/3,"Capacitor, 22 nF 50 V film/ceramic, radial, 5 mm lead pitch"
