Reference,Category,Value,Footprint,Description
1,Switch,TL6300 series,TL6300-SPST,"Tactile switch, SPST-NO momentary, 12 x 12 mm, through hole, 7.3 mm plunger (DigiKey EG6117-ND per upstream README)"
2,Switch,TL6300 series,TL6300-SPST,"Tactile switch, SPST-NO momentary, 12 x 12 mm, through hole, 7.3 mm plunger (DigiKey EG6117-ND per upstream README)"
3,Switch,TL6300 series,TL6300-SPST,"Tactile switch, SPST-NO momentary, 12 x 12 mm, through hole, 7.3 mm plunger (DigiKey EG6117-ND per upstream README)"
4,Switch,TL6300 series,TL6300-SPST,"Tactile switch, SPST-NO momentary, 12 x 12 mm, through hole, 7.3 mm plunger (DigiKey EG6117-ND per upstream README)"
5,Switch,TL6300 series,TL6300-SPST,"Tactile switch, SPST-NO momentary, 12 x 12 mm, through hole, 7.3 mm plunger (DigiKey EG6117-ND per upstream README)"
C1,Capacitor,22nF,5/3,"Capacitor, 22 nF 50 V film/ceramic, radial, 5 mm lead pitch"
DEC,Switch,TL6300 series,TL6300-SPST,"Tactile switch, SPST-NO momentary, 12 x 12 mm, through hole, 7.3 mm plunger (DigiKey EG6117-ND per upstream README)"
DOWN,Switch,TL6300 series,TL6300-SPST,"Tactile switch, SPST-NO momentary, 12 x 12 mm, through hole, 7.3 mm plunger (DigiKey EG6117-ND per upstream README)"
LEFT,Switch,TL6300 series,TL6300-SPST,"Tactile switch, SPST-NO momentary, 12 x 12 mm, through hole, 7.3 mm plunger (DigiKey EG6117-ND per upstream README)"
MEM,Switch,TL6300 series,TL6300-SPST,"Tactile switch, SPST-NO momentary, 12 x 12 mm, through hole, 7.3 mm plunger (DigiKey EG6117-ND per upstream README)"
P/B,Switch,TL6300 series,TL6300-SPST,"Tactile switch, SPST-NO momentary, 12 x 12 mm, through hole, 7.3 mm plunger (DigiKey EG6117-ND per upstream README)"
R1,Resistor,47 ohm,0309/10,"Resistor, 1/4 W, 1% metal film, axial, 10 mm lead pitch"
R2,Resistor,820 ohm,0309/10,"Resistor, 1/4 W, 1% metal film, axial, 10 mm lead pitch"
R3,Resistor,330 ohm,0309/10,"Resistor, 1/4 W, 1% metal film, axial, 10 mm lead pitch"
R4,Resistor,1k,0309/10,"Resistor, 1/4 W, 1% metal film, axial, 10 mm lead pitch"
R5,Resistor,820 ohm,0309/10,"Resistor, 1/4 W, 1% metal film, axial, 10 mm lead pitch"
R6,Resistor,1k,0309/10,"Resistor, 1/4 W, 1% metal film, axial, 10 mm lead pitch"
R7,Resistor,91 ohm,0309/10,"Resistor, 1/4 W, 1% metal film, axial, 10 mm lead pitch"
R8,Resistor,2k4,0309/10,"Resistor, 1/4 W, 1% metal film, axial, 10 mm lead pitch"
R9,Resistor,240 ohm,0309/10,"Resistor, 1/4 W, 1% metal film, axial, 10 mm lead pitch"
R10,Resistor,3k,0309/10,"Resistor, 1/4 W, 1% metal film, axial, 10 mm lead pitch"
R11,Resistor,220 ohm,0309/10,"Resistor, 1/4 W, 1% metal film, axial, 10 mm lead pitch"
R12,Resistor,3k9,0309/10,"Resistor, 1/4 W, 1% metal film, axial, 10 mm lead pitch"
R13,Resistor,270 ohm,0309/10,"Resistor, 1/4 W, 1% metal film, axial, 10 mm lead pitch"
R14,Resistor,5k1,0309/10,"Resistor, 1/4 W, 1% metal film, axial, 10 mm lead pitch"
R15,Resistor,6k8,0309/10,"Resistor, 1/4 W, 1% metal film, axial, 10 mm lead pitch"
R16,Resistor,12k,0309/10,"Resistor, 1/4 W, 1% metal film, axial, 10 mm lead pitch"
R17,Resistor,680 ohm,0309/10,"Resistor, 1/4 W, 1% metal film, axial, 10 mm lead pitch"
R18,Resistor,8k2,0309/10,"Resistor, 1/4 W, 1% metal film, axial, 10 mm lead pitch"
R19,Resistor,12k,0309/10,"Resistor, 1/4 W, 1% metal film, axial, 10 mm lead pitch"
R20,Resistor,1k5,0309/10,"Resistor, 1/4 W, 1% metal film, axial, 10 mm lead pitch"
R21,Resistor,24k,0309/10,"Resistor, 1/4 W, 1% metal film, axial, 10 mm lead pitch"
RIGHT,Switch,TL6300 series,TL6300-SPST,"Tactile switch, SPST-NO momentary, 12 x 12 mm, through hole, 7.3 mm plunger (DigiKey EG6117-ND per upstream README)"
TP1,Test pad,-,PAD1-20Y,"Bare PCB pad, no part to buy"
TP2,Test pad,-,PAD1-20Y,"Bare PCB pad, no part to buy"
UP,Switch,TL6300 series,TL6300-SPST,"Tactile switch, SPST-NO momentary, 12 x 12 mm, through hole, 7.3 mm plunger (DigiKey EG6117-ND per upstream README)"
