Quantity,Manufacturer Part Number,Customer Reference,Description
63,TL6300AF260QP,SWITCHES,"Tact switch 12x12mm SPST-NO thru-hole - 60 used (5 boards) + 3 spare"
5,C322C223K5R5TA,C1,"22nF 50V X7R ceramic radial 5.08mm LS"
7,MFR-25FBF52-47R,R1,"47 ohm 1% 1/4W metal film axial"
12,MFR-25FBF52-820R,"R2, R5","820 ohm 1% 1/4W metal film axial"
7,MFR-25FBF52-330R,R3,"330 ohm 1% 1/4W metal film axial"
12,MFR-25FBF52-1K,"R4, R6","1k ohm 1% 1/4W metal film axial"
7,MFR-25FBF52-91R,R7,"91 ohm 1% 1/4W metal film axial"
7,MFR-25FBF52-2K4,R8,"2.4k ohm 1% 1/4W metal film axial"
7,MFR-25FBF52-240R,R9,"240 ohm 1% 1/4W metal film axial"
7,MFR-25FBF52-3K,R10,"3k ohm 1% 1/4W metal film axial"
7,MFR-25FBF52-220R,R11,"220 ohm 1% 1/4W metal film axial"
7,MFR-25FBF52-3K9,R12,"3.9k ohm 1% 1/4W metal film axial"
7,MFR-25FBF52-270R,R13,"270 ohm 1% 1/4W metal film axial"
7,MFR-25FBF52-5K1,R14,"5.1k ohm 1% 1/4W metal film axial"
7,MFR-25FBF52-6K8,R15,"6.8k ohm 1% 1/4W metal film axial"
12,MFR-25FBF52-12K,"R16, R19","12k ohm 1% 1/4W metal film axial"
7,MFR-25FBF52-680R,R17,"680 ohm 1% 1/4W metal film axial"
7,MFR-25FBF52-8K2,R18,"8.2k ohm 1% 1/4W metal film axial"
7,MFR-25FBF52-1K5,R20,"1.5k ohm 1% 1/4W metal film axial"
7,MFR-25FBF52-24K,R21,"24k ohm 1% 1/4W metal film axial"
